skills,experience,salary,location,job_interest,sector,education_level
"JavaScript, CSS, React",8,77669,Skikda,Web Development,Information Technology,No Formal Education
"Data Visualization, R, Python, Statistics, SQL, TensorFlow",2,187585,Setif,Data Science,Information Technology,No Formal Education
"Branding, Google Ads, Content Creation, Analytics, Copywriting, Social Media",2,76075,Ouargla,Marketing,Business,Bachelor's
"C++, REST, Git, Java, JavaScript",1,94211,Constantine,Software Engineering,Information Technology,Ingénieur
"Lead Generation, Cold Calling, Negotiation, Sales Forecasting, CRM, Customer Service",5,90566,Constantine,Sales,Business,High School
"Medical Terminology, Phlebotomy, EMR, CPR, Patient Care, Anatomy",3,93469,Bejaia,Healthcare,Health,No Formal Education
"Windows Server, Security, Virtualization, Linux, Scripting",1,125276,Mostaganem,System Administration,Information Technology,High School
"Mentoring, Classroom Management, Assessment, E-Learning",6,70724,Tizi Ouzou,Education,Education,No Formal Education
"Anatomy, Patient Care, EMR, CPR, Phlebotomy, Medical Terminology",9,177775,Ouargla,Healthcare,Health,High School
"Assessment, Curriculum Design, Teaching, Classroom Management",4,72510,Batna,Education,Education,Doctorate
"Investment, Accounting, Excel, Auditing, Financial Analysis",3,54350,Annaba,Finance,Business,No Formal Education
"Machine Learning, R, SQL",6,52680,Sidi Bel Abbès,Data Science,Information Technology,Master's
"Reservation Systems, Front Desk, Customer Service, Food Safety, Event Planning",5,106848,Annaba,Hospitality,Tourism & Hospitality,High School
"Front Desk, Food Safety, Customer Service, Reservation Systems",15,135814,Bordj Bou Arreridj,Hospitality,Tourism & Hospitality,No Formal Education
"Responsive Design, Node.js, WordPress, CSS, JavaScript, React",1,89418,M'Sila,Web Development,Information Technology,Technical Diploma
"SEO, Google Ads, Branding, Social Media, Analytics",7,91644,Bordj Bou Arreridj,Marketing,Business,Doctorate
"Anatomy, Phlebotomy, Patient Care, CPR, EMR, Medical Terminology",7,73821,Tipaza,Healthcare,Health,Ingénieur
"Blueprint Reading, Project Management, AutoCAD, SolidWorks, Design",1,122966,Bejaia,Engineering,Engineering,Bachelor's
"Pandas, R, Statistics, Python, Data Visualization, TensorFlow",8,84544,Blida,Data Science,Information Technology,Bachelor's
"Blueprint Reading, Site Management, Plumbing, Masonry, Carpentry",7,80058,Constantine,Construction,Construction,No Formal Education
"Sales Forecasting, Cold Calling, Lead Generation",2,107945,Mostaganem,Sales,Business,Bachelor's
"Irrigation, Agro-tech, Soil Testing, Crop Management",1,69761,Chlef,Agriculture,Agriculture,Ingénieur
"Customer Service, Front Desk, Food Safety, Event Planning",3,131571,Setif,Hospitality,Tourism & Hospitality,Technical Diploma
"Masonry, Carpentry, Plumbing, Site Management, Safety Procedures",6,62215,Algiers,Construction,Construction,Bachelor's
"JavaScript, CSS, React, HTML, Responsive Design",13,105528,Bordj Bou Arreridj,Web Development,Information Technology,Technical Diploma
"Fleet Management, Inventory Management, Supply Chain",10,66315,Tipaza,Logistics,Supply Chain,High School
"JavaScript, Node.js, Responsive Design, WordPress",8,190080,Constantine,Web Development,Information Technology,Ingénieur
"Patient Care, CPR, Anatomy",1,48019,Biskra,Healthcare,Health,Doctorate
"Forensics, Firewalls, Ethical Hacking, SIEM, Penetration Testing",1,129043,Batna,Cybersecurity,Information Technology,Ingénieur
"Creativity, Photoshop, Illustrator, 3D Modeling",3,136005,Bejaia,Art & Design,Creative,Master's
"Case Management, Regulatory Compliance, Contracts, Litigation, Negotiation",8,90401,Batna,Legal,Legal,Master's
"Reservation Systems, Front Desk, Event Planning, Food Safety",2,142085,Skikda,Hospitality,Tourism & Hospitality,Bachelor's
"Machine Learning, SQL, TensorFlow",1,84187,Ghardaia,Data Science,Information Technology,No Formal Education
"Pandas, Statistics, R, Machine Learning, Python",1,147478,Relizane,Data Science,Information Technology,No Formal Education
"Litigation, Negotiation, Regulatory Compliance, Contracts, Legal Research",1,74424,Annaba,Legal,Legal,No Formal Education
"Windows Server, Scripting, Linux, Virtualization",5,101094,Bejaia,System Administration,Information Technology,No Formal Education
"Regulatory Compliance, Negotiation, Case Management",1,120221,Tizi Ouzou,Legal,Legal,Doctorate
"Illustrator, Photoshop, 3D Modeling, Graphic Design, UI/UX",1,65158,Batna,Art & Design,Creative,Technical Diploma
"Financial Analysis, Risk Management, Excel",9,155439,Chlef,Finance,Business,High School
"Security, Networking, Linux, Scripting, Virtualization",10,81437,Setif,System Administration,Information Technology,Bachelor's
"Supply Chain, Fleet Management, Inventory Management",1,168083,Tlemcen,Logistics,Supply Chain,Master's
"Regulatory Compliance, Case Management, Contracts",1,82586,Blida,Legal,Legal,Doctorate
"Mentoring, Assessment, Curriculum Design, E-Learning, Classroom Management, Teaching",1,43336,Tizi Ouzou,Education,Education,Ingénieur
"Sales Forecasting, Negotiation, Lead Generation, Cold Calling, CRM",4,132455,Bordj Bou Arreridj,Sales,Business,Ingénieur
"WordPress, JavaScript, React",6,109653,Bejaia,Web Development,Information Technology,Bachelor's
"Irrigation, Agro-tech, Crop Management, Soil Testing",2,164725,Oran,Agriculture,Agriculture,No Formal Education
"Graphic Design, Photoshop, UI/UX, Creativity",1,50323,Relizane,Art & Design,Creative,Master's
"Social Media, Content Creation, Google Ads, Copywriting, SEO",4,131056,Oran,Marketing,Business,Bachelor's
"Branding, Analytics, Copywriting, SEO, Google Ads, Social Media",5,49898,Chlef,Marketing,Business,Ingénieur
"Customer Service, Event Planning, Front Desk, Food Safety, Reservation Systems",7,55791,Ouargla,Hospitality,Tourism & Hospitality,Technical Diploma
"Virtualization, Linux, Security, Networking, Windows Server",11,138943,Tizi Ouzou,System Administration,Information Technology,Doctorate
"Git, Django, SQL, Spring",3,161282,Biskra,Software Engineering,Information Technology,Doctorate
"Machine Learning, Statistics, Python",12,111117,Ghardaia,Data Science,Information Technology,No Formal Education
"Event Planning, Customer Service, Front Desk, Reservation Systems, Food Safety",11,167258,Chlef,Hospitality,Tourism & Hospitality,Master's
"Food Safety, Event Planning, Reservation Systems, Customer Service",1,71811,Algiers,Hospitality,Tourism & Hospitality,Ingénieur
"Reservation Systems, Front Desk, Customer Service, Event Planning",2,172900,Bordj Bou Arreridj,Hospitality,Tourism & Hospitality,Master's
"Irrigation, Agro-tech, Tractor Operation",11,94437,Relizane,Agriculture,Agriculture,Master's
"Tractor Operation, Crop Management, Agro-tech",1,128528,Batna,Agriculture,Agriculture,No Formal Education
"Front Desk, Reservation Systems, Food Safety, Event Planning, Customer Service",5,138555,Relizane,Hospitality,Tourism & Hospitality,Bachelor's
"Machine Learning, TensorFlow, R",4,101934,Batna,Data Science,Information Technology,Bachelor's
"Ethical Hacking, Penetration Testing, Firewalls, Network Security",2,117527,Bordj Bou Arreridj,Cybersecurity,Information Technology,Ingénieur
"Auditing, Budgeting, Accounting, Excel, Investment",3,123010,Biskra,Finance,Business,Master's
"Python, JavaScript, Java, C++, Git",6,134138,Mostaganem,Software Engineering,Information Technology,Bachelor's
"E-Learning, Assessment, Mentoring, Classroom Management, Teaching",12,83367,M'Sila,Education,Education,Doctorate
"UI/UX, Photoshop, 3D Modeling",6,37928,Ghardaia,Art & Design,Creative,High School
"CSS, WordPress, Responsive Design, Node.js",9,41567,Tlemcen,Web Development,Information Technology,No Formal Education
"Virtualization, Linux, Scripting",10,79464,Chlef,System Administration,Information Technology,Doctorate
"Litigation, Contracts, Legal Research",2,175370,Chlef,Legal,Legal,No Formal Education
"Case Management, Legal Research, Negotiation, Litigation, Contracts, Regulatory Compliance",3,102733,Annaba,Legal,Legal,High School
"Assessment, Classroom Management, E-Learning, Mentoring, Curriculum Design",6,129280,Tlemcen,Education,Education,High School
"Plumbing, Carpentry, Site Management, Blueprint Reading, Masonry",4,121897,Chlef,Construction,Construction,Bachelor's
"Routing, Fleet Management, Supply Chain, Inventory Management, Warehouse Ops",2,64683,Tlemcen,Logistics,Supply Chain,Ingénieur
"JavaScript, Responsive Design, WordPress",4,151913,Setif,Web Development,Information Technology,Bachelor's
"Branding, Copywriting, Analytics, Social Media",1,68581,Batna,Marketing,Business,Master's
"Soil Testing, Crop Management, Tractor Operation, Pest Control",1,101472,Biskra,Agriculture,Agriculture,Ingénieur
"Java, Django, SQL, REST, C++",6,43557,Tizi Ouzou,Software Engineering,Information Technology,Bachelor's
"Sales Forecasting, CRM, Cold Calling",2,88959,Bordj Bou Arreridj,Sales,Business,No Formal Education
"Customer Service, Negotiation, Cold Calling, Sales Forecasting",8,52034,Chlef,Sales,Business,Ingénieur
"Tractor Operation, Agro-tech, Crop Management, Irrigation, Soil Testing, Pest Control",2,39027,Tipaza,Agriculture,Agriculture,Master's
"Copywriting, Content Creation, SEO, Branding",4,45733,Algiers,Marketing,Business,Ingénieur
"Network Security, SIEM, Penetration Testing, Forensics",5,125997,Biskra,Cybersecurity,Information Technology,Ingénieur
"Customer Service, Reservation Systems, Food Safety, Event Planning, Front Desk",1,132045,Mostaganem,Hospitality,Tourism & Hospitality,Doctorate
"Investment, Risk Management, Financial Analysis, Accounting",2,110983,Blida,Finance,Business,High School
"Front Desk, Event Planning, Customer Service",6,66623,Oran,Hospitality,Tourism & Hospitality,Technical Diploma
"Pandas, Statistics, SQL, Data Visualization, Python",10,80347,Batna,Data Science,Information Technology,Technical Diploma
"SQL, TensorFlow, Statistics, Pandas",1,67858,Setif,Data Science,Information Technology,No Formal Education
"Soil Testing, Agro-tech, Pest Control, Tractor Operation",9,141222,Ouargla,Agriculture,Agriculture,High School
"Regulatory Compliance, Negotiation, Legal Research, Litigation, Contracts, Case Management",2,108059,Algiers,Legal,Legal,Ingénieur
"Networking, Scripting, Linux, Security, Windows Server",1,90354,Tipaza,System Administration,Information Technology,No Formal Education
"Scripting, Windows Server, Networking",6,65443,Annaba,System Administration,Information Technology,No Formal Education
"Site Management, Carpentry, Plumbing",8,167733,Algiers,Construction,Construction,High School
"Cold Calling, Lead Generation, Customer Service",7,122656,Tipaza,Sales,Business,Master's
"Firewalls, Forensics, SIEM, Penetration Testing, Ethical Hacking",1,72706,Oran,Cybersecurity,Information Technology,No Formal Education
"Sales Forecasting, Negotiation, CRM",6,134633,Bejaia,Sales,Business,Ingénieur
"Mentoring, Assessment, Teaching, E-Learning, Curriculum Design",4,116714,Ghardaia,Education,Education,Technical Diploma
"CPR, EMR, Anatomy, Patient Care, Medical Terminology, Phlebotomy",1,159707,Chlef,Healthcare,Health,Bachelor's
"Penetration Testing, Firewalls, Network Security",1,162441,Ouargla,Cybersecurity,Information Technology,High School
"Graphic Design, UI/UX, Photoshop",9,88255,Relizane,Art & Design,Creative,Ingénieur
"Classroom Management, Curriculum Design, E-Learning, Mentoring, Assessment, Teaching",2,122217,Mostaganem,Education,Education,Technical Diploma
"Litigation, Regulatory Compliance, Legal Research, Negotiation",1,99660,Skikda,Legal,Legal,Technical Diploma
"Inventory Management, Supply Chain, Warehouse Ops, Fleet Management",7,60001,Constantine,Logistics,Supply Chain,Ingénieur
"Negotiation, Sales Forecasting, CRM",8,97856,Algiers,Sales,Business,Technical Diploma
"Design, Blueprint Reading, MATLAB",2,102037,Tlemcen,Engineering,Engineering,Master's
"Agro-tech, Tractor Operation, Soil Testing, Pest Control, Irrigation",6,84956,Sidi Bel Abbès,Agriculture,Agriculture,Master's
"UI/UX, Creativity, Photoshop, Graphic Design",6,66843,Bordj Bou Arreridj,Art & Design,Creative,No Formal Education
"HTML, CSS, JavaScript, Responsive Design, Node.js, React",15,105878,Setif,Web Development,Information Technology,Master's
"Illustrator, Graphic Design, Photoshop",6,100887,Skikda,Art & Design,Creative,Doctorate
"Sales Forecasting, Cold Calling, Lead Generation, Customer Service, CRM",4,70429,Blida,Sales,Business,High School
"3D Modeling, Creativity, Photoshop, Graphic Design",3,39802,Skikda,Art & Design,Creative,Technical Diploma
"Medical Terminology, CPR, Anatomy",6,65669,Bejaia,Healthcare,Health,Master's
"Django, SQL, Spring, Git",2,163744,Ouargla,Software Engineering,Information Technology,Ingénieur
"TensorFlow, Machine Learning, Pandas, Python, Data Visualization, SQL",5,105534,Setif,Data Science,Information Technology,No Formal Education
"Contracts, Negotiation, Legal Research",2,127952,M'Sila,Legal,Legal,Doctorate
"Copywriting, SEO, Analytics, Branding, Google Ads",11,72889,Annaba,Marketing,Business,Master's
"Analytics, Branding, Google Ads",15,162995,Bordj Bou Arreridj,Marketing,Business,Technical Diploma
"WordPress, HTML, JavaScript, Node.js",4,92067,Tipaza,Web Development,Information Technology,No Formal Education
"Project Management, AutoCAD, SolidWorks, Design, Blueprint Reading, MATLAB",4,68737,Relizane,Engineering,Engineering,No Formal Education
"Pest Control, Tractor Operation, Agro-tech, Irrigation, Crop Management, Soil Testing",1,78161,Mostaganem,Agriculture,Agriculture,Technical Diploma
"WordPress, Responsive Design, CSS, Node.js, JavaScript, React",3,112492,Batna,Web Development,Information Technology,No Formal Education
"Anatomy, Phlebotomy, Patient Care, CPR, Medical Terminology, EMR",2,73919,Algiers,Healthcare,Health,No Formal Education
"React, Node.js, Responsive Design, JavaScript, CSS",2,60978,Relizane,Web Development,Information Technology,Doctorate
"Creativity, Graphic Design, 3D Modeling, Photoshop, Illustrator",6,82378,Blida,Art & Design,Creative,Bachelor's
"Event Planning, Front Desk, Customer Service, Reservation Systems, Food Safety",3,77006,Relizane,Hospitality,Tourism & Hospitality,High School
"Git, JavaScript, Spring, C++",7,138047,Ouargla,Software Engineering,Information Technology,High School
"AutoCAD, Project Management, Design, Blueprint Reading, MATLAB, SolidWorks",3,161071,M'Sila,Engineering,Engineering,Doctorate
"Copywriting, Content Creation, Social Media",3,63040,Relizane,Marketing,Business,Bachelor's
"Carpentry, Safety Procedures, Site Management",3,75985,Oran,Construction,Construction,No Formal Education
"AutoCAD, Blueprint Reading, Project Management, Design, SolidWorks, MATLAB",1,143417,Tlemcen,Engineering,Engineering,Doctorate
"Supply Chain, Inventory Management, Routing, Warehouse Ops",4,175984,Tlemcen,Logistics,Supply Chain,Doctorate
"Scripting, Windows Server, Linux",14,74217,Oran,System Administration,Information Technology,Master's
"Content Creation, Copywriting, Google Ads",4,136430,Setif,Marketing,Business,High School
"Auditing, Accounting, Excel",1,112128,Ouargla,Finance,Business,Master's
"CSS, Responsive Design, Node.js, React",6,42912,Bordj Bou Arreridj,Web Development,Information Technology,Technical Diploma
"AutoCAD, SolidWorks, Blueprint Reading",2,148941,Bordj Bou Arreridj,Engineering,Engineering,Master's
"Mentoring, E-Learning, Teaching, Classroom Management, Curriculum Design",1,162689,Tlemcen,Education,Education,Bachelor's
"Assessment, Curriculum Design, Mentoring",3,124320,Chlef,Education,Education,Ingénieur
"UI/UX, Photoshop, Creativity",3,47566,Bordj Bou Arreridj,Art & Design,Creative,No Formal Education
"Food Safety, Event Planning, Reservation Systems, Customer Service, Front Desk",4,174159,Blida,Hospitality,Tourism & Hospitality,High School
"Event Planning, Food Safety, Reservation Systems, Front Desk, Customer Service",14,45632,Oran,Hospitality,Tourism & Hospitality,Ingénieur
"Spring, Java, REST",14,132379,Annaba,Software Engineering,Information Technology,No Formal Education
"Crop Management, Irrigation, Agro-tech, Tractor Operation",1,74753,Relizane,Agriculture,Agriculture,Ingénieur
"Supply Chain, Inventory Management, Fleet Management",1,122317,Ghardaia,Logistics,Supply Chain,No Formal Education
"Design, Blueprint Reading, AutoCAD, Project Management, MATLAB",1,49715,Tipaza,Engineering,Engineering,High School
"Networking, Security, Linux, Virtualization",6,111756,Skikda,System Administration,Information Technology,High School
"React, WordPress, Responsive Design",10,151493,Batna,Web Development,Information Technology,Bachelor's
"CSS, React, HTML, Responsive Design, WordPress",4,130668,Setif,Web Development,Information Technology,Doctorate
"Routing, Inventory Management, Warehouse Ops, Supply Chain, Fleet Management",1,50504,Ouargla,Logistics,Supply Chain,Bachelor's
"Legal Research, Litigation, Case Management, Regulatory Compliance, Negotiation",2,71195,Ouargla,Legal,Legal,Technical Diploma
"Site Management, Masonry, Plumbing, Blueprint Reading, Safety Procedures",9,106615,Tizi Ouzou,Construction,Construction,Ingénieur
"Branding, Analytics, SEO, Content Creation",2,54847,Relizane,Marketing,Business,High School
"Risk Management, Accounting, Auditing, Excel, Budgeting, Investment",2,75942,Oran,Finance,Business,No Formal Education
"UI/UX, Graphic Design, Illustrator",11,179002,M'Sila,Art & Design,Creative,Ingénieur
"Agro-tech, Tractor Operation, Pest Control, Irrigation, Soil Testing",2,159507,Oran,Agriculture,Agriculture,Technical Diploma
"SEO, Analytics, Content Creation, Google Ads, Copywriting",1,102040,Tlemcen,Marketing,Business,Technical Diploma
"Ethical Hacking, Forensics, Firewalls",1,101941,Blida,Cybersecurity,Information Technology,High School
"TensorFlow, Python, Statistics, R",4,140637,M'Sila,Data Science,Information Technology,High School
"Java, Python, JavaScript",3,124160,Bordj Bou Arreridj,Software Engineering,Information Technology,High School
"Carpentry, Safety Procedures, Blueprint Reading, Masonry, Plumbing",1,164952,Bejaia,Construction,Construction,High School
"Regulatory Compliance, Legal Research, Contracts, Litigation, Case Management, Negotiation",2,52785,Mostaganem,Legal,Legal,High School
"Git, Java, Python",1,151569,Batna,Software Engineering,Information Technology,No Formal Education
"Customer Service, Front Desk, Food Safety, Reservation Systems",4,39140,Constantine,Hospitality,Tourism & Hospitality,High School
"Contracts, Case Management, Regulatory Compliance, Legal Research",3,152267,Annaba,Legal,Legal,Ingénieur
"Content Creation, Social Media, Branding, SEO, Copywriting",5,87392,Ouargla,Marketing,Business,High School
"Mentoring, E-Learning, Curriculum Design",9,95434,Sidi Bel Abbès,Education,Education,Bachelor's
"Assessment, Curriculum Design, Teaching",11,82633,Skikda,Education,Education,Technical Diploma
"Mentoring, Curriculum Design, E-Learning",4,138156,Constantine,Education,Education,Ingénieur
"Litigation, Contracts, Legal Research",2,57337,Setif,Legal,Legal,Master's
"Scripting, Linux, Networking, Security, Windows Server",6,152538,M'Sila,System Administration,Information Technology,High School
"Scripting, Linux, Security",3,119160,M'Sila,System Administration,Information Technology,High School
"Graphic Design, Creativity, 3D Modeling, Photoshop",5,55294,Ouargla,Art & Design,Creative,Ingénieur
"Regulatory Compliance, Legal Research, Contracts",2,47564,Relizane,Legal,Legal,High School
"Lead Generation, CRM, Customer Service, Negotiation, Cold Calling",9,49753,Tipaza,Sales,Business,Bachelor's
"Firewalls, SIEM, Forensics, Ethical Hacking, Penetration Testing",13,88260,Ouargla,Cybersecurity,Information Technology,Technical Diploma
"Front Desk, Food Safety, Customer Service, Event Planning",8,80299,Setif,Hospitality,Tourism & Hospitality,Bachelor's
"Creativity, Graphic Design, Illustrator",8,99520,Tizi Ouzou,Art & Design,Creative,Technical Diploma
"Creativity, Graphic Design, Photoshop, 3D Modeling",3,90904,Biskra,Art & Design,Creative,No Formal Education
"Regulatory Compliance, Case Management, Legal Research, Negotiation, Litigation",7,63562,Mostaganem,Legal,Legal,Ingénieur
"SolidWorks, Blueprint Reading, AutoCAD, Project Management, Design",2,100155,Tipaza,Engineering,Engineering,Master's
"WordPress, React, CSS, Node.js",1,105505,Biskra,Web Development,Information Technology,Ingénieur
"Lead Generation, Customer Service, Cold Calling, Sales Forecasting, CRM",10,87089,Relizane,Sales,Business,Doctorate
"Customer Service, Negotiation, Lead Generation, Cold Calling, Sales Forecasting, CRM",7,79689,Ouargla,Sales,Business,Bachelor's
"Copywriting, Branding, Content Creation",1,134808,Bordj Bou Arreridj,Marketing,Business,Doctorate
"Irrigation, Agro-tech, Crop Management, Soil Testing",5,46385,Sidi Bel Abbès,Agriculture,Agriculture,Technical Diploma
"Branding, Copywriting, SEO, Analytics",1,90672,Bejaia,Marketing,Business,Doctorate
"Agro-tech, Irrigation, Tractor Operation, Soil Testing, Crop Management",1,53720,Tlemcen,Agriculture,Agriculture,Ingénieur
"Curriculum Design, E-Learning, Assessment, Teaching, Classroom Management",1,53913,Tipaza,Education,Education,Doctorate
"Front Desk, Event Planning, Customer Service",2,67113,Biskra,Hospitality,Tourism & Hospitality,No Formal Education
"Inventory Management, Fleet Management, Routing, Warehouse Ops, Supply Chain",1,74170,Bordj Bou Arreridj,Logistics,Supply Chain,High School
"SEO, Google Ads, Branding, Copywriting, Analytics",4,68151,Constantine,Marketing,Business,High School
"Safety Procedures, Masonry, Plumbing",2,62949,Bejaia,Construction,Construction,Ingénieur
"Medical Terminology, Patient Care, Anatomy, EMR, Phlebotomy, CPR",2,98393,Ouargla,Healthcare,Health,Doctorate
"Django, C++, Spring, Python, REST, SQL",6,130158,Oran,Software Engineering,Information Technology,Master's
"Git, SQL, Python, Spring",1,152058,Blida,Software Engineering,Information Technology,No Formal Education
"Pandas, Machine Learning, R, Statistics",3,79678,Bordj Bou Arreridj,Data Science,Information Technology,No Formal Education
"Analytics, Social Media, SEO, Content Creation, Copywriting",14,71372,Batna,Marketing,Business,Technical Diploma
"Google Ads, Content Creation, Social Media",1,120860,Biskra,Marketing,Business,Master's
"Irrigation, Tractor Operation, Pest Control, Crop Management, Agro-tech, Soil Testing",2,79356,Chlef,Agriculture,Agriculture,Ingénieur
"Pest Control, Irrigation, Tractor Operation, Soil Testing, Crop Management, Agro-tech",5,53401,Ghardaia,Agriculture,Agriculture,Master's
"Django, Java, Python, Git",6,103791,Relizane,Software Engineering,Information Technology,High School
"Legal Research, Contracts, Case Management, Litigation, Regulatory Compliance",4,81234,Relizane,Legal,Legal,No Formal Education
"Illustrator, 3D Modeling, Graphic Design",12,111100,Mostaganem,Art & Design,Creative,Master's
"Crop Management, Irrigation, Pest Control, Soil Testing, Agro-tech",12,89704,Ouargla,Agriculture,Agriculture,Doctorate
"Front Desk, Customer Service, Event Planning, Reservation Systems",1,157429,Sidi Bel Abbès,Hospitality,Tourism & Hospitality,Doctorate
"Photoshop, Creativity, Illustrator, Graphic Design, UI/UX, 3D Modeling",9,57968,Bejaia,Art & Design,Creative,Ingénieur
"Branding, Content Creation, Copywriting, Google Ads, Analytics",1,76599,Tizi Ouzou,Marketing,Business,No Formal Education
"Windows Server, Virtualization, Networking, Linux, Security",4,82938,Algiers,System Administration,Information Technology,High School
"C++, Git, Django, REST, JavaScript, Java",1,116741,Constantine,Software Engineering,Information Technology,Ingénieur
"TensorFlow, Pandas, Data Visualization, Python",6,56590,Chlef,Data Science,Information Technology,No Formal Education
"Fleet Management, Warehouse Ops, Supply Chain",5,88901,Bordj Bou Arreridj,Logistics,Supply Chain,Technical Diploma
"Food Safety, Event Planning, Customer Service, Reservation Systems",1,139362,Constantine,Hospitality,Tourism & Hospitality,Technical Diploma
"Photoshop, Creativity, 3D Modeling, Illustrator, Graphic Design, UI/UX",2,61736,Ghardaia,Art & Design,Creative,Doctorate
"SEO, Google Ads, Copywriting",1,61263,Sidi Bel Abbès,Marketing,Business,No Formal Education
"CSS, Node.js, WordPress, Responsive Design, JavaScript",13,117129,Biskra,Web Development,Information Technology,Ingénieur
"Scripting, Networking, Virtualization, Linux, Security, Windows Server",1,123140,Chlef,System Administration,Information Technology,Ingénieur
"Supply Chain, Routing, Warehouse Ops",13,114180,Ghardaia,Logistics,Supply Chain,No Formal Education
"Accounting, Auditing, Risk Management, Investment, Financial Analysis",4,61099,Tizi Ouzou,Finance,Business,Technical Diploma
"Agro-tech, Pest Control, Crop Management, Irrigation, Tractor Operation",2,136158,Batna,Agriculture,Agriculture,High School
"Supply Chain, Inventory Management, Warehouse Ops, Routing, Fleet Management",2,73425,Tizi Ouzou,Logistics,Supply Chain,Master's
"Phlebotomy, CPR, EMR, Patient Care, Anatomy",1,109848,Constantine,Healthcare,Health,High School
"Routing, Warehouse Ops, Fleet Management, Supply Chain, Inventory Management",1,85543,Algiers,Logistics,Supply Chain,Doctorate
"Accounting, Risk Management, Investment, Financial Analysis, Auditing",13,105230,M'Sila,Finance,Business,High School
"Project Management, SolidWorks, AutoCAD, Design, MATLAB",4,64034,Relizane,Engineering,Engineering,Bachelor's
"Pandas, Data Visualization, SQL, Statistics",2,151018,Bordj Bou Arreridj,Data Science,Information Technology,Master's
"Financial Analysis, Auditing, Budgeting, Risk Management, Accounting, Investment",1,94549,Constantine,Finance,Business,Bachelor's
"AutoCAD, Design, SolidWorks",2,83385,Tizi Ouzou,Engineering,Engineering,Master's
"Tractor Operation, Soil Testing, Pest Control",4,92276,Algiers,Agriculture,Agriculture,Bachelor's
"Design, AutoCAD, SolidWorks, Project Management, Blueprint Reading, MATLAB",8,157770,Relizane,Engineering,Engineering,Ingénieur
"Irrigation, Pest Control, Agro-tech, Crop Management",8,90141,Blida,Agriculture,Agriculture,High School
"React, WordPress, Node.js, JavaScript, Responsive Design",1,107138,Mostaganem,Web Development,Information Technology,Technical Diploma
"3D Modeling, UI/UX, Graphic Design, Creativity",5,60077,Bordj Bou Arreridj,Art & Design,Creative,Master's
"Warehouse Ops, Fleet Management, Routing",1,130442,Biskra,Logistics,Supply Chain,Doctorate
"Machine Learning, Python, TensorFlow, Data Visualization",6,194724,Bejaia,Data Science,Information Technology,High School
"Risk Management, Auditing, Investment, Excel, Financial Analysis",7,115298,Tizi Ouzou,Finance,Business,Technical Diploma
"Branding, Google Ads, Copywriting",12,64223,Bordj Bou Arreridj,Marketing,Business,Bachelor's
"Fleet Management, Warehouse Ops, Inventory Management, Routing",9,139619,Oran,Logistics,Supply Chain,Master's
"WordPress, HTML, Responsive Design, JavaScript, CSS, React",2,111313,M'Sila,Web Development,Information Technology,Ingénieur
"Investment, Budgeting, Accounting, Excel, Auditing, Financial Analysis",4,139317,Skikda,Finance,Business,Master's
"EMR, Anatomy, CPR",12,162945,Biskra,Healthcare,Health,No Formal Education
"Accounting, Excel, Budgeting, Financial Analysis",2,86971,Blida,Finance,Business,No Formal Education
"UI/UX, 3D Modeling, Graphic Design, Creativity, Photoshop, Illustrator",9,38231,Sidi Bel Abbès,Art & Design,Creative,No Formal Education
"Java, Django, C++, REST, SQL",8,45606,Constantine,Software Engineering,Information Technology,High School
"Scripting, Virtualization, Networking",15,65980,Constantine,System Administration,Information Technology,Doctorate
"Litigation, Negotiation, Contracts, Regulatory Compliance, Case Management",4,73806,M'Sila,Legal,Legal,Bachelor's
"CRM, Cold Calling, Lead Generation, Sales Forecasting",15,101810,Ghardaia,Sales,Business,Ingénieur
"CRM, Negotiation, Cold Calling, Sales Forecasting, Lead Generation",1,87013,Batna,Sales,Business,Doctorate
"Phlebotomy, Patient Care, EMR, Anatomy, CPR, Medical Terminology",1,104414,Ouargla,Healthcare,Health,High School
"Event Planning, Customer Service, Reservation Systems",3,67008,Tlemcen,Hospitality,Tourism & Hospitality,Technical Diploma
"Assessment, Classroom Management, Mentoring",1,175987,Ouargla,Education,Education,Technical Diploma
"Reservation Systems, Event Planning, Front Desk, Food Safety, Customer Service",5,95479,Biskra,Hospitality,Tourism & Hospitality,Master's
"Sales Forecasting, Negotiation, CRM, Cold Calling",4,62799,Annaba,Sales,Business,Master's
"WordPress, JavaScript, Node.js, HTML, React",12,98671,Tlemcen,Web Development,Information Technology,Master's
"R, SQL, Machine Learning",4,65791,Sidi Bel Abbès,Data Science,Information Technology,High School
"Litigation, Case Management, Negotiation, Legal Research, Contracts",10,108049,Mostaganem,Legal,Legal,Master's
"Negotiation, Cold Calling, Lead Generation, Sales Forecasting, CRM",5,62220,Algiers,Sales,Business,Bachelor's
"Mentoring, Assessment, Curriculum Design",1,85588,Ouargla,Education,Education,Doctorate
"Routing, Supply Chain, Inventory Management, Warehouse Ops, Fleet Management",2,86280,Annaba,Logistics,Supply Chain,Master's
"Inventory Management, Supply Chain, Fleet Management, Warehouse Ops, Routing",1,101021,Bejaia,Logistics,Supply Chain,Technical Diploma
"Fleet Management, Inventory Management, Supply Chain, Warehouse Ops, Routing",4,71745,Bejaia,Logistics,Supply Chain,Doctorate
"Front Desk, Food Safety, Reservation Systems, Event Planning, Customer Service",12,74862,Biskra,Hospitality,Tourism & Hospitality,Doctorate
