job title,department,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,benefits,technical_skills,experience_min_req,experience_max_req,edu_value,language_proficiency,education_requirement_std,salary
Logistics Coordinator,Operations,2025-04-21,2025-05-04,2025-06-03,Public Sector,Illizi,Ingénieur d'État,19,CDD,7,"Télétravail partiel, Prime de performance, Assurance maladie","French Bilingual, Project Management, Team Leadership, Report Writing, Microsoft Office",1,14,19,"Arabic, French",Ingénieur d'État,46400.0
Project Manager,General Management,2025-04-09,2025-04-26,2025-05-26,Mining,Chlef,Licence,15,Freelance,13,"Tickets restaurant, Formation continue, Voiture de fonction","Team Leadership, Microsoft Office, French Bilingual, Report Writing, Project Management",3,3,15,"Arabic, French",License,46200.0
Operations Manager,Operations,2025-04-22,2025-04-30,2025-05-30,Telecommunications,Saïda,Ingénieur d'État,19,Alternance,10,"Épargne entreprise, Télétravail partiel, Tickets restaurant","Microsoft Office, Report Writing, Team Leadership, Project Management, French Bilingual",1,10,19,"Arabic, French",Ingénieur d'État,42900.0
Administrative Manager,General Management,2025-04-09,2025-04-19,2025-05-19,Manufacturing,Oran,Doctorat,20,Alternance,13,"Formation continue, Assurance maladie, Voiture de fonction","Microsoft Office, Team Leadership, Project Management, French Bilingual, Report Writing",0,6,20,"Arabic, French",Doctorat,41800.0
Operations Manager,General Management,2025-04-14,2025-05-11,2025-06-10,Pharmaceuticals,Béchar,Doctorat,20,Alternance,6,"Voiture de fonction, Prime de performance, Formation continue","Report Writing, French Bilingual, Microsoft Office, Team Leadership, Project Management",2,12,20,"Arabic, French",Doctorat,45500.0
Operations Manager,Operations,2025-04-08,2025-05-11,2025-06-10,Pharmaceuticals,M'sila,Master,17,CDD,13,"Prime de performance, Tickets restaurant, Formation continue","French Bilingual, Microsoft Office, Project Management, Report Writing, Team Leadership",5,4,17,"Arabic, French",Master,57600.0
Pharmaceutical Researcher,Pharmaceutical Development,2025-03-30,2025-05-27,2025-06-26,Healthcare,Béjaïa,Licence,15,Freelance,11,"Épargne entreprise, Assurance maladie, Crèche d'entreprise","French Bilingual, Report Writing, Team Leadership, Project Management, Microsoft Office",0,11,15,"Arabic, French",License,66200.0
Assessment Coordinator,Vocational Training,2025-03-27,2025-04-24,2025-05-24,Education,Blida,Doctorat,20,CDD,15,"Tickets restaurant, Prime de performance, Épargne entreprise","Team Leadership, Project Management, French Bilingual, Microsoft Office, Report Writing",1,15,20,"Arabic, French",Doctorat,40500.0
Logistics Coordinator,Operations,2025-04-17,2025-05-05,2025-06-04,Manufacturing,Annaba,Licence,15,Freelance,1,"Prime de performance, Crèche d'entreprise, Voiture de fonction","French Bilingual, Team Leadership, Microsoft Office, Project Management, Report Writing",1,12,15,"Arabic, French",License,58100.0
Department Director,General Management,2025-04-11,2025-06-06,2025-07-06,Transport & Logistics,El Tarf,Bac,12,Stage,13,"Formation continue, Prime de performance, Assurance maladie","French Bilingual, Report Writing, Microsoft Office, Project Management, Team Leadership",1,11,12,"Arabic, French",Baccalaureate,43800.0
Operations Manager,General Management,2025-04-04,2025-05-24,2025-06-23,Public Sector,Tlemcen,Bac,12,CDI,11,"Assurance maladie, Épargne entreprise, Voiture de fonction","Microsoft Office, Team Leadership, Project Management, French Bilingual, Report Writing",1,13,12,"Arabic, French",Baccalaureate,45500.0
Administrative Manager,General Management,2025-04-04,2025-05-08,2025-06-07,Construction,Oran,Ingénieur d'État,19,Freelance,8,"Épargne entreprise, Formation continue, Voiture de fonction","Team Leadership, Report Writing, French Bilingual, Microsoft Office, Project Management",0,6,19,"Arabic, French",Ingénieur d'État,46200.0
Operations Manager,Operations,2025-04-15,2025-05-01,2025-05-31,Telecommunications,Ghardaïa,Bac,12,CDI,6,"Tickets restaurant, Épargne entreprise, Formation continue","Project Management, Microsoft Office, Team Leadership, French Bilingual, Report Writing",1,11,12,"Arabic, French",Baccalaureate,43800.0
Logistics Coordinator,Operations,2025-04-14,2025-06-02,2025-07-02,Tourism & Hospitality,Béchar,Doctorat,20,Alternance,9,"Prime de performance, Crèche d'entreprise, Épargne entreprise","Report Writing, Microsoft Office, Project Management, Team Leadership, French Bilingual",0,9,20,"Arabic, French",Doctorat,41100.0
Production Supervisor,Operations,2025-04-12,2025-05-02,2025-06-01,Public Sector,Algiers,Bac,12,Alternance,7,"Épargne entreprise, Télétravail partiel, Formation continue","Report Writing, Project Management, Team Leadership, French Bilingual, Microsoft Office",5,9,12,"Arabic, French",Baccalaureate,45500.0
Production Supervisor,Food Processing,2025-04-08,2025-05-27,2025-06-26,Agriculture,In Salah,Bac,12,Alternance,5,"Tickets restaurant, Voiture de fonction, Assurance maladie","Team Leadership, Microsoft Office, Report Writing, Project Management, French Bilingual",3,10,12,"Arabic, French",Baccalaureate,44600.0
Administrative Manager,General Management,2025-04-06,2025-05-09,2025-06-08,Aerospace & Defense,Ouargla,Bac,12,Freelance,5,"Télétravail partiel, Assurance maladie, Formation continue","Report Writing, Project Management, Team Leadership, Microsoft Office, French Bilingual",5,8,12,"Arabic, French",Baccalaureate,44600.0
Digital Banking Specialist,FinTech Innovation,2025-04-04,2025-04-23,2025-05-23,Banking & Finance,Mostaganem,Doctorat,20,Alternance,10,"Formation continue, Épargne entreprise, Voiture de fonction","Microsoft Office, Project Management, French Bilingual, Report Writing, Team Leadership",1,10,20,"Arabic, French",Doctorat,42900.0
Team Leader,General Management,2025-03-28,2025-04-08,2025-05-08,Fisheries,Tamanrasset,Licence,15,Freelance,7,"Prime de performance, Formation continue, Télétravail partiel","Team Leadership, Report Writing, Project Management, French Bilingual, Microsoft Office",3,5,15,"Arabic, French",License,48300.0
General Director,General Management,2025-03-27,2025-04-12,2025-05-12,Media & Entertainment,Béjaïa,Bac,12,Alternance,6,"Prime de performance, Épargne entreprise, Voiture de fonction","Report Writing, Microsoft Office, French Bilingual, Team Leadership, Project Management",3,7,12,"Arabic, French, English",Baccalaureate,54000.0
Logistics Coordinator,Operations,2025-04-02,2025-04-21,2025-05-21,Renewable Energy,Aïn Témouchent,Ingénieur d'État,19,CDI,13,"Télétravail partiel, Épargne entreprise, Tickets restaurant","French Bilingual, Team Leadership, Report Writing, Project Management, Microsoft Office",2,3,19,"Arabic, French",Ingénieur d'État,37600.0
Supply Chain Manager,Operations,2025-04-23,2025-05-16,2025-06-15,Manufacturing,Annaba,Master,17,CDD,7,"Télétravail partiel, Formation continue, Crèche d'entreprise","French Bilingual, Microsoft Office, Team Leadership, Project Management, Report Writing",1,7,17,"Arabic, French",Master,61200.0
Supply Chain Manager,Operations,2025-04-06,2025-05-21,2025-06-20,Retail,Oran,Doctorat,20,CDI,10,"Épargne entreprise, Voiture de fonction, Assurance maladie","French Bilingual, Team Leadership, Microsoft Office, Report Writing, Project Management",4,6,20,"Arabic, French",Doctorat,42000.0
Project Manager,General Management,2025-04-10,2025-06-06,2025-07-06,Construction,Tamanrasset,Doctorat,20,CDI,9,"Voiture de fonction, Assurance maladie, Tickets restaurant","Report Writing, Team Leadership, Microsoft Office, French Bilingual, Project Management",1,8,20,"Arabic, French",Doctorat,49400.0
Department Director,General Management,2025-04-05,2025-04-15,2025-05-15,Tourism & Hospitality,Laghouat,Bac,12,CDI,12,"Télétravail partiel, Formation continue, Voiture de fonction","Team Leadership, French Bilingual, Report Writing, Project Management, Microsoft Office",3,5,12,"Arabic, French",Baccalaureate,40200.0
Research Director,Higher Education,2025-04-20,2025-06-03,2025-07-03,Education,Naama,Bac,12,Freelance,13,"Voiture de fonction, Formation continue, Épargne entreprise","French Bilingual, Report Writing, Microsoft Office, Project Management, Team Leadership",5,12,12,"Arabic, French",Baccalaureate,41200.0
Production Supervisor,Operations,2025-04-19,2025-06-06,2025-07-06,Telecommunications,M'sila,Ingénieur d'État,19,Freelance,6,"Télétravail partiel, Crèche d'entreprise, Assurance maladie","French Bilingual, Project Management, Report Writing, Microsoft Office, Team Leadership",0,14,19,"Arabic, French",Ingénieur d'État,45500.0
Supply Chain Manager,Export Operations,2025-04-20,2025-05-10,2025-06-09,Agriculture,El Tarf,Bac,12,CDD,5,"Formation continue, Voiture de fonction, Crèche d'entreprise","Team Leadership, Project Management, Microsoft Office, Report Writing, French Bilingual",1,7,12,"Arabic, French",Baccalaureate,40200.0
FinTech Product Manager,FinTech Innovation,2025-04-10,2025-05-09,2025-06-08,Banking & Finance,El Tarf,Doctorat,20,Freelance,9,"Prime de performance, Télétravail partiel, Épargne entreprise","Microsoft Office, Report Writing, Project Management, French Bilingual, Team Leadership",2,12,20,"Arabic, French",Doctorat,45500.0
Team Leader,General Management,2025-04-12,2025-05-21,2025-06-20,Fisheries,Tizi Ouzou,Doctorat,20,Alternance,10,"Voiture de fonction, Télétravail partiel, Formation continue","Team Leadership, Microsoft Office, French Bilingual, Project Management, Report Writing",1,11,20,"Arabic, French",Doctorat,43800.0
Supply Chain Manager,Operations,2025-04-12,2025-04-23,2025-05-23,Pharmaceuticals,Oran,Bac,12,CDI,12,"Prime de performance, Voiture de fonction, Télétravail partiel","Report Writing, Project Management, Team Leadership, Microsoft Office, French Bilingual",2,6,12,"Arabic, French",Baccalaureate,40200.0
Department Director,General Management,2025-04-02,2025-05-21,2025-06-20,Public Sector,Béchar,Ingénieur d'État,19,Stage,2,"Épargne entreprise, Voiture de fonction, Crèche d'entreprise","Microsoft Office, Team Leadership, French Bilingual, Project Management, Report Writing",2,15,19,"Arabic, French",Ingénieur d'État,48100.0
Facilities Manager,Operations,2025-03-26,2025-04-03,2025-05-03,Media & Entertainment,Algiers,Licence,15,CDD,4,"Épargne entreprise, Prime de performance, Crèche d'entreprise","Report Writing, Team Leadership, Project Management, French Bilingual, Microsoft Office",5,15,15,"Arabic, French, English",License,78300.0
Mobile App Developer,Mobile Development,2025-03-28,2025-04-28,2025-05-28,Information Technology,Tamanrasset,Licence,15,Freelance,11,"Épargne entreprise, Voiture de fonction, Formation continue","Report Writing, French Bilingual, Team Leadership, Project Management, Microsoft Office",4,13,15,"Arabic, French",License,57800.0
Production Supervisor,Operations,2025-04-24,2025-06-04,2025-07-04,Fisheries,El Oued,Master,17,CDD,1,"Épargne entreprise, Tickets restaurant, Télétravail partiel","Report Writing, Microsoft Office, Project Management, Team Leadership, French Bilingual",2,5,17,"Arabic, French",Master,55100.0
Project Manager,General Management,2025-04-21,2025-06-05,2025-07-05,Renewable Energy,Naama,Master,17,Stage,7,"Voiture de fonction, Assurance maladie, Tickets restaurant","Report Writing, Team Leadership, Project Management, French Bilingual, Microsoft Office",3,13,17,"Arabic, French",Master,66200.0
Team Leader,General Management,2025-04-07,2025-05-15,2025-06-14,Public Sector,Timimoun,Ingénieur d'État,19,Stage,5,"Crèche d'entreprise, Prime de performance, Formation continue","Microsoft Office, Project Management, Report Writing, Team Leadership, French Bilingual",2,4,19,"Arabic, French",Ingénieur d'État,38500.0
Wellsite Manager,Drilling Operations,2025-04-22,2025-05-28,2025-06-27,Energy & Petroleum,In Salah,Licence,15,CDD,1,"Voiture de fonction, Tickets restaurant, Formation continue","Project Management, Team Leadership, French Bilingual, Report Writing, Microsoft Office",5,14,15,"Arabic, French",License,102600.0
Operations Manager,Operations,2025-03-26,2025-04-08,2025-05-08,Retail,Ghardaïa,Bac,12,CDI,10,"Épargne entreprise, Voiture de fonction, Assurance maladie","Team Leadership, Project Management, French Bilingual, Microsoft Office, Report Writing",4,4,12,"Arabic, French",Baccalaureate,40200.0
General Director,General Management,2025-04-24,2025-06-02,2025-07-02,Tourism & Hospitality,In Salah,Ingénieur d'État,19,CDD,4,"Télétravail partiel, Crèche d'entreprise, Voiture de fonction","Team Leadership, Report Writing, French Bilingual, Project Management, Microsoft Office",3,11,19,"Arabic, French",Ingénieur d'État,45500.0
Logistics Coordinator,Operations,2025-04-23,2025-05-03,2025-06-02,Construction,El Oued,Bac,12,Freelance,11,"Télétravail partiel, Tickets restaurant, Formation continue","Project Management, Team Leadership, Report Writing, Microsoft Office, French Bilingual",5,7,12,"Arabic, French",Baccalaureate,52500.0
General Director,General Management,2025-04-15,2025-05-18,2025-06-17,Aerospace & Defense,Algiers,Licence,15,Freelance,14,"Assurance maladie, Télétravail partiel, Voiture de fonction","Report Writing, Project Management, French Bilingual, Team Leadership, Microsoft Office",2,10,15,"Arabic, French",License,52500.0
General Director,General Management,2025-04-05,2025-05-07,2025-06-06,Public Sector,Saïda,Master,17,CDD,9,"Épargne entreprise, Assurance maladie, Formation continue","Team Leadership, French Bilingual, Report Writing, Project Management, Microsoft Office",5,6,17,"Arabic, French",Master,60000.0
Logistics Coordinator,Operations,2025-04-05,2025-04-22,2025-05-22,Tourism & Hospitality,Tlemcen,Doctorat,20,Stage,6,"Assurance maladie, Prime de performance, Épargne entreprise","Microsoft Office, Project Management, French Bilingual, Report Writing, Team Leadership",2,12,20,"Arabic, French",Doctorat,45500.0
Team Leader,General Management,2025-03-28,2025-04-13,2025-05-13,Tourism & Hospitality,In Salah,Bac,12,Stage,14,"Tickets restaurant, Voiture de fonction, Télétravail partiel","Report Writing, Project Management, Team Leadership, French Bilingual, Microsoft Office",4,13,12,"Arabic, French",Baccalaureate,48100.0
Department Director,General Management,2025-04-17,2025-05-19,2025-06-18,E-Commerce,Mostaganem,Bac,12,CDD,8,"Tickets restaurant, Épargne entreprise, Assurance maladie","French Bilingual, Report Writing, Microsoft Office, Team Leadership, Project Management",3,12,12,"Arabic, French, English",Baccalaureate,72900.0
Biostatistician,Medical Research,2025-04-12,2025-06-08,2025-07-08,Healthcare,Tiaret,Ingénieur d'État,19,CDD,14,"Épargne entreprise, Assurance maladie, Prime de performance","Epidemiology, Medical Writing, Research Ethics, Clinical Trials, Laboratory Management, Biostatistics, Regulatory Affairs",5,4,19,"Arabic, French",Ingénieur d'État,52900.0
Logistics Coordinator,Operations,2025-03-28,2025-05-12,2025-06-11,Tourism & Hospitality,Béchar,Doctorat,20,CDD,15,"Épargne entreprise, Crèche d'entreprise, Assurance maladie","Project Management, Team Leadership, Report Writing, Microsoft Office, French Bilingual",5,3,20,"Arabic, French",Doctorat,40200.0
Administrative Manager,General Management,2025-04-05,2025-04-17,2025-05-17,Tourism & Hospitality,Batna,Bac,12,CDD,15,"Crèche d'entreprise, Épargne entreprise, Voiture de fonction","Team Leadership, Microsoft Office, Report Writing, Project Management, French Bilingual",2,8,12,"Arabic, French",Baccalaureate,42000.0
General Director,General Management,2025-04-06,2025-05-06,2025-06-05,Transport & Logistics,Béchar,Doctorat,20,CDD,5,"Tickets restaurant, Crèche d'entreprise, Télétravail partiel","Project Management, Report Writing, French Bilingual, Microsoft Office, Team Leadership",3,4,20,"Arabic, French",Doctorat,39400.0
Operations Manager,General Management,2025-04-16,2025-05-31,2025-06-30,Tourism & Hospitality,Oran,Bac,12,Alternance,2,"Formation continue, Télétravail partiel, Assurance maladie","French Bilingual, Team Leadership, Report Writing, Microsoft Office, Project Management",5,11,12,"Arabic, French",Baccalaureate,47200.0
Logistics Coordinator,Export Operations,2025-03-26,2025-05-17,2025-06-16,Agriculture,Constantine,Bac,12,Alternance,8,"Épargne entreprise, Prime de performance, Formation continue","Microsoft Office, Team Leadership, French Bilingual, Project Management, Report Writing",5,11,12,"Arabic, French",Baccalaureate,47200.0
Grant Writer,Research & Development,2025-03-31,2025-05-09,2025-06-08,Education,Skikda,Doctorat,20,Stage,14,"Prime de performance, Télétravail partiel, Assurance maladie","French Bilingual, Team Leadership, Microsoft Office, Report Writing, Project Management",3,14,20,"Arabic, French",Doctorat,41200.0
Field Trials Manager,Agronomy Research,2025-04-11,2025-06-07,2025-07-07,Agriculture,Tindouf,Master,17,Alternance,5,"Crèche d'entreprise, Épargne entreprise, Assurance maladie","French Bilingual, Team Leadership, Microsoft Office, Project Management, Report Writing",0,6,17,"Arabic, French",Master,53900.0
Instructional Designer,E-Learning Platforms,2025-04-05,2025-05-03,2025-06-02,Education,El Tarf,Ingénieur d'État,19,Alternance,14,"Voiture de fonction, Crèche d'entreprise, Télétravail partiel","Team Leadership, Project Management, Microsoft Office, Report Writing, French Bilingual",0,15,19,"Arabic, French",Ingénieur d'État,39800.0
Medical Director,Clinical Operations,2025-04-09,2025-06-02,2025-07-02,Healthcare,Tindouf,Licence,15,Alternance,10,"Crèche d'entreprise, Assurance maladie, Formation continue","Project Management, Team Leadership, Microsoft Office, French Bilingual, Report Writing",3,9,15,"Arabic, French",License,67500.0
E-Learning Developer,E-Learning Platforms,2025-04-18,2025-04-28,2025-05-28,Education,Constantine,Bac,12,CDD,2,"Prime de performance, Assurance maladie, Voiture de fonction","Microsoft Office, Project Management, Report Writing, French Bilingual, Team Leadership",0,13,12,"Arabic, French",Baccalaureate,38200.0
Logistics Coordinator,Operations,2025-04-21,2025-06-02,2025-07-02,Construction,Tiaret,Doctorat,20,Stage,8,"Assurance maladie, Télétravail partiel, Formation continue","Team Leadership, Report Writing, Microsoft Office, French Bilingual, Project Management",1,5,20,"Arabic, French",Doctorat,46200.0
Security Operations Specialist,Cybersecurity,2025-04-02,2025-05-08,2025-06-07,Information Technology,Constantine,Bac,12,CDI,8,"Tickets restaurant, Prime de performance, Épargne entreprise","Ethical Hacking, Firewall Configuration, SIEM Tools, Incident Response, Cryptography, Network Security, GDPR Compliance, SOC Operations",1,7,12,"Arabic, French",Baccalaureate,40200.0
Geophysicist,Exploration & Production,2025-04-21,2025-06-16,2025-07-16,Energy & Petroleum,Béjaïa,Licence,15,CDD,13,"Crèche d'entreprise, Télétravail partiel, Formation continue","Geological Modeling, Petrel Software, Well Logging, Reservoir Simulation, HYSYS, Enhanced Oil Recovery, Drilling Optimization",4,7,15,"Arabic, French",License,88200.0
Supply Chain Manager,Operations,2025-03-28,2025-05-01,2025-05-31,Construction,Timimoun,Licence,15,CDI,5,"Crèche d'entreprise, Tickets restaurant, Assurance maladie","Report Writing, Microsoft Office, French Bilingual, Team Leadership, Project Management",1,12,15,"Arabic, French",License,64300.0
Supply Chain Manager,Operations,2025-04-12,2025-04-28,2025-05-28,E-Commerce,Ouargla,Bac,12,Alternance,12,"Voiture de fonction, Épargne entreprise, Télétravail partiel","Report Writing, Project Management, Microsoft Office, French Bilingual, Team Leadership",1,15,12,"Arabic, French, English",Baccalaureate,74200.0
Logistics Coordinator,Operations,2025-04-13,2025-06-05,2025-07-05,Telecommunications,Tiaret,Bac,12,CDI,10,"Voiture de fonction, Épargne entreprise, Tickets restaurant","Project Management, Team Leadership, Microsoft Office, Report Writing, French Bilingual",2,4,12,"Arabic, French",Baccalaureate,38500.0
Project Manager,General Management,2025-04-12,2025-05-31,2025-06-30,Renewable Energy,Béjaïa,Licence,15,CDI,13,"Voiture de fonction, Assurance maladie, Prime de performance","Team Leadership, Report Writing, French Bilingual, Microsoft Office, Project Management",2,7,15,"Arabic, French",License,49400.0
Sustainability Manager,Sustainable Farming,2025-04-07,2025-05-09,2025-06-08,Agriculture,Aïn Témouchent,Doctorat,20,CDI,13,"Voiture de fonction, Tickets restaurant, Télétravail partiel","Permaculture Design, Water Conservation, Agroecology, Organic Certification, Soil Health Management, Precision Agriculture",5,4,20,"Arabic, French",Doctorat,41100.0
Production Supervisor,Operations,2025-04-08,2025-05-28,2025-06-27,Transport & Logistics,Batna,Master,17,CDI,10,"Assurance maladie, Tickets restaurant, Crèche d'entreprise","Team Leadership, Report Writing, French Bilingual, Project Management, Microsoft Office",1,14,17,"Arabic, French",Master,64900.0
Production Supervisor,Operations,2025-04-04,2025-04-16,2025-05-16,Renewable Energy,Sétif,Bac,12,CDI,9,"Prime de performance, Crèche d'entreprise, Voiture de fonction","Report Writing, Team Leadership, French Bilingual, Microsoft Office, Project Management",3,5,12,"Arabic, French",Baccalaureate,40200.0
Security Operations Specialist,Cybersecurity,2025-03-30,2025-05-19,2025-06-18,Information Technology,Illizi,Master,17,Alternance,12,"Crèche d'entreprise, Prime de performance, Formation continue","Incident Response, SOC Operations, GDPR Compliance, Cryptography, SIEM Tools, Network Security, Firewall Configuration, Ethical Hacking",4,11,17,"Arabic, French",Master,64900.0
Team Leader,General Management,2025-04-08,2025-05-20,2025-06-19,Mining,Blida,Doctorat,20,Freelance,7,"Assurance maladie, Épargne entreprise, Formation continue","Team Leadership, French Bilingual, Microsoft Office, Project Management, Report Writing",2,15,20,"Arabic, French",Doctorat,48100.0
Operations Manager,Operations,2025-04-08,2025-04-17,2025-05-17,Aerospace & Defense,Mostaganem,Master,17,Freelance,7,"Crèche d'entreprise, Formation continue, Tickets restaurant","French Bilingual, Microsoft Office, Project Management, Report Writing, Team Leadership",4,11,17,"Arabic, French",Master,64900.0
Operations Supervisor,Pipeline Management,2025-04-07,2025-05-18,2025-06-17,Energy & Petroleum,Blida,Licence,15,Stage,11,"Formation continue, Tickets restaurant, Télétravail partiel","French Bilingual, Team Leadership, Report Writing, Microsoft Office, Project Management",0,10,15,"Arabic, French",License,86400.0
Biomedical Engineer,Medical Equipment Maintenance,2025-04-24,2025-05-05,2025-06-04,Healthcare,Ghardaïa,Bac,12,Stage,13,"Tickets restaurant, Télétravail partiel, Formation continue","Team Leadership, French Bilingual, Microsoft Office, Report Writing, Project Management",4,12,12,"Arabic, French",Baccalaureate,60800.0
Team Leader,General Management,2025-04-16,2025-06-13,2025-07-13,Manufacturing,Tindouf,Licence,15,Freelance,4,"Tickets restaurant, Télétravail partiel, Voiture de fonction","Report Writing, French Bilingual, Microsoft Office, Project Management, Team Leadership",0,10,15,"Arabic, French",License,54700.0
General Director,General Management,2025-04-13,2025-05-16,2025-06-15,Aerospace & Defense,Oran,Bac,12,Freelance,6,"Formation continue, Assurance maladie, Tickets restaurant","Report Writing, French Bilingual, Team Leadership, Project Management, Microsoft Office",0,9,12,"Arabic, French",Baccalaureate,41100.0
Chemical Engineer,Refining & Processing,2025-04-02,2025-04-17,2025-05-17,Energy & Petroleum,Mostaganem,Master,17,Freelance,12,"Voiture de fonction, Épargne entreprise, Assurance maladie","Team Leadership, French Bilingual, Report Writing, Project Management, Microsoft Office",3,7,17,"Arabic, French",Master,100800.0
Logistics Coordinator,Operations,2025-04-05,2025-05-17,2025-06-16,Pharmaceuticals,Constantine,Doctorat,20,CDI,13,"Tickets restaurant, Crèche d'entreprise, Formation continue","French Bilingual, Project Management, Team Leadership, Microsoft Office, Report Writing",1,8,20,"Arabic, French",Doctorat,41100.0
Tax Specialist,Accounting & Auditing,2025-04-13,2025-05-04,2025-06-03,Banking & Finance,Laghouat,Ingénieur d'État,19,Stage,14,"Voiture de fonction, Prime de performance, Télétravail partiel","Project Management, Report Writing, Team Leadership, French Bilingual, Microsoft Office",0,12,19,"Arabic, French",Ingénieur d'État,43800.0
Operations Manager,General Management,2025-03-31,2025-05-19,2025-06-18,Fisheries,Ouargla,Master,17,CDD,1,"Épargne entreprise, Tickets restaurant, Crèche d'entreprise","Microsoft Office, Team Leadership, Project Management, Report Writing, French Bilingual",0,4,17,"Arabic, French",Master,51400.0
Career Counselor,Vocational Training,2025-04-15,2025-05-16,2025-06-15,Education,Tlemcen,Master,17,Alternance,11,"Formation continue, Télétravail partiel, Crèche d'entreprise","French Bilingual, Report Writing, Project Management, Team Leadership, Microsoft Office",1,14,17,"Arabic, French",Master,55600.0
Project Manager,General Management,2025-04-10,2025-06-08,2025-07-08,Renewable Energy,Oran,Master,17,Freelance,8,"Assurance maladie, Tickets restaurant, Formation continue","Microsoft Office, French Bilingual, Project Management, Team Leadership, Report Writing",1,11,17,"Arabic, French",Master,61200.0
Medical Equipment Technician,Medical Equipment Maintenance,2025-03-26,2025-05-05,2025-06-04,Healthcare,Illizi,Bac,12,CDI,13,"Formation continue, Épargne entreprise, Assurance maladie","Project Management, Team Leadership, French Bilingual, Report Writing, Microsoft Office",1,6,12,"Arabic, French",Baccalaureate,50600.0
Administrative Manager,General Management,2025-04-18,2025-05-20,2025-06-19,Pharmaceuticals,Saïda,Ingénieur d'État,19,Stage,1,"Crèche d'entreprise, Télétravail partiel, Épargne entreprise","Microsoft Office, Team Leadership, Report Writing, Project Management, French Bilingual",0,4,19,"Arabic, French",Ingénieur d'État,36800.0
Team Leader,General Management,2025-04-17,2025-05-02,2025-06-01,Tourism & Hospitality,Djanet,Master,17,Freelance,14,"Crèche d'entreprise, Télétravail partiel, Assurance maladie","Project Management, Report Writing, Team Leadership, French Bilingual, Microsoft Office",3,13,17,"Arabic, French",Master,66200.0
Production Supervisor,Operations,2025-04-06,2025-06-05,2025-07-05,Fisheries,Tindouf,Bac,12,CDD,13,"Assurance maladie, Prime de performance, Télétravail partiel","Project Management, Microsoft Office, Report Writing, French Bilingual, Team Leadership",1,12,12,"Arabic, French",Baccalaureate,44600.0
Administrative Manager,General Management,2025-04-24,2025-05-26,2025-06-25,Aerospace & Defense,Sétif,Bac,12,Alternance,10,"Télétravail partiel, Prime de performance, Tickets restaurant","Project Management, Team Leadership, Microsoft Office, Report Writing, French Bilingual",2,8,12,"Arabic, French",Baccalaureate,42000.0
Administrative Manager,General Management,2025-04-18,2025-05-24,2025-06-23,Pharmaceuticals,Blida,Master,17,CDI,7,"Prime de performance, Tickets restaurant, Crèche d'entreprise","Project Management, French Bilingual, Report Writing, Team Leadership, Microsoft Office",1,13,17,"Arabic, French",Master,63700.0
Facilities Manager,Operations,2025-04-20,2025-06-05,2025-07-05,Media & Entertainment,Sétif,Doctorat,20,CDD,7,"Assurance maladie, Tickets restaurant, Crèche d'entreprise","Project Management, Team Leadership, French Bilingual, Microsoft Office, Report Writing",3,7,20,"Arabic, French, English",Doctorat,54000.0
Research Director,Research & Development,2025-04-16,2025-06-06,2025-07-06,Education,Tamanrasset,Doctorat,20,CDD,4,"Épargne entreprise, Formation continue, Voiture de fonction","Report Writing, Microsoft Office, French Bilingual, Project Management, Team Leadership",3,9,20,"Arabic, French",Doctorat,37500.0
Facilities Manager,Operations,2025-03-26,2025-05-16,2025-06-15,Retail,Algiers,Ingénieur d'État,19,Alternance,11,"Voiture de fonction, Formation continue, Épargne entreprise","Report Writing, French Bilingual, Project Management, Microsoft Office, Team Leadership",4,4,19,"Arabic, French",Ingénieur d'État,40200.0
Financial Controller,Accounting & Auditing,2025-04-21,2025-06-03,2025-07-03,Banking & Finance,Blida,Doctorat,20,Alternance,5,"Voiture de fonction, Tickets restaurant, Télétravail partiel","Microsoft Office, French Bilingual, Report Writing, Project Management, Team Leadership",0,10,20,"Arabic, French",Doctorat,42000.0
General Director,General Management,2025-03-28,2025-04-19,2025-05-19,Pharmaceuticals,Jijel,Doctorat,20,Alternance,9,"Épargne entreprise, Prime de performance, Voiture de fonction","Microsoft Office, Report Writing, Project Management, French Bilingual, Team Leadership",1,11,20,"Arabic, French",Doctorat,43800.0
Data Analyst,Data Science & AI,2025-04-23,2025-05-17,2025-06-16,Information Technology,Blida,Ingénieur d'État,19,Freelance,7,"Formation continue, Télétravail partiel, Prime de performance","Team Leadership, Microsoft Office, Project Management, French Bilingual, Report Writing",2,15,19,"Arabic, French",Ingénieur d'État,48100.0
Logistics Coordinator,Operations,2025-04-24,2025-06-05,2025-07-05,Media & Entertainment,Algiers,Master,17,Stage,6,"Formation continue, Tickets restaurant, Assurance maladie","Microsoft Office, Team Leadership, French Bilingual, Project Management, Report Writing",5,9,17,"Arabic, French, English",Master,81900.0
Supply Chain Manager,Operations,2025-04-19,2025-05-08,2025-06-07,Telecommunications,In Salah,Doctorat,20,Freelance,6,"Épargne entreprise, Tickets restaurant, Formation continue","Report Writing, French Bilingual, Microsoft Office, Team Leadership, Project Management",5,10,20,"Arabic, French",Doctorat,46400.0
Department Director,General Management,2025-04-12,2025-04-26,2025-05-26,Retail,Tizi Ouzou,Licence,15,Alternance,2,"Crèche d'entreprise, Formation continue, Prime de performance","Report Writing, Project Management, Microsoft Office, French Bilingual, Team Leadership",4,6,15,"Arabic, French",License,50400.0
