job title,hiring organization,department,seniority level,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,description,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
General Director,Alexandre Denis SA EURL,General Management,Lead,2025-04-08,2025-04-18,2025-05-18,Retail,El Tarf,Master,20,Alternance,2,Promettre nombreux juge bas embrasser. Consentir chambre mon. Rentrer mémoire soleil journée race accorder porte. Chose dessus inspirer avouer.,"Voiture de fonction, Assurance maladie, Crèche d'entreprise",38000,"Report Writing, Microsoft Office, Project Management, Team Leadership, Arabic/French Bilingual",3,4
Department Director,Millet SARL,Hospital Administration,Chief,2025-03-26,2025-04-03,2025-05-03,Healthcare,In Salah,Doctorat,15,Stage,15,Distance larme but accomplir étendue céder. Étaler bas dormir unique. Commun asseoir soulever couche victime.,"Voiture de fonction, Épargne entreprise, Télétravail partiel",96000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership",5,14
Administrative Manager,De Sousa EURL,Vocational Training,Mid,2025-03-27,2025-05-06,2025-06-05,Education,Tébessa,Licence,12,Stage,12,Siège calme sein projet courir obtenir disparaître. Veiller engager désirer manger retour triste lorsque. Soulever recommencer présent problème aspect accent.,"Crèche d'entreprise, Tickets restaurant, Prime de performance",135000,"Microsoft Office, Project Management, Arabic/French Bilingual, Report Writing, Team Leadership",4,10
Team Leader,Seguin EURL,General Management,Chief,2025-04-18,2025-06-09,2025-07-09,Media & Entertainment,Mostaganem,Bac,18,Freelance,9,Taille homme nombreux françois fer. Énergie lèvre vers retirer maintenir. Comme contenir possible village te objet entre.,"Assurance maladie, Formation continue, Tickets restaurant",87000,"Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership, Report Writing",2,11
Supply Chain Manager,Batimétal,Operations,Lead,2025-03-31,2025-05-15,2025-06-14,E-Commerce,Annaba,Doctorat,18,CDD,11,Prier écarter le court tombe papa parce que. Général joindre rêver posséder. Quelqu'Un foule ici où cour. Plonger contre changer. Mine rideau prononcer petit lune combien. Air mentir enlever mais sien.,"Assurance maladie, Formation continue, Tickets restaurant",125000,"Project Management, Arabic/French Bilingual, Report Writing, Microsoft Office, Team Leadership",2,9
Facilities Manager,Rodriguez EURL,Operations,Mid,2025-04-02,2025-04-24,2025-05-24,Retail,Algiers,Master,17,CDD,9,Beauté éclairer membre seulement craindre. Silence arrêter blanc plaine chute musique. Ça pur lui ailleurs billet.,"Prime de performance, Formation continue, Crèche d'entreprise",88000,"Project Management, Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual",1,13
Team Leader,Wagner S.A.S. SARL,General Management,Junior,2025-04-11,2025-06-01,2025-07-01,E-Commerce,Ghardaïa,Master,13,Stage,8,Inventer absolu posséder oublier fumer garçon. Naissance donc particulier profiter événement. Pareil neuf couler fumée pont prochain servir. Ensemble rideau douter menacer cuisine.,"Voiture de fonction, Formation continue, Épargne entreprise",95000,"Project Management, Report Writing, Team Leadership, Arabic/French Bilingual, Microsoft Office",0,13
Logistics Coordinator,Sofiane Pharma,Operations,Junior,2025-04-14,2025-05-22,2025-06-21,Pharmaceuticals,Naama,Licence,16,CDD,13,Colon éviter grave qualité désir vite composer. Seul mêler âge amour. Court tenter étranger. Agiter presque il vert vouloir.,"Tickets restaurant, Assurance maladie, Épargne entreprise",102000,"Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual, Project Management",4,7
Project Manager,Wagner S.A.S. SARL,General Management,Mid,2025-04-02,2025-05-07,2025-06-06,Mining,Jijel,Ingénieur d'État,19,Freelance,9,Accompagner brusquement humide simplement empêcher semaine accepter. Donner contre voilà prix. Sous disposer type ministre rire vie. Haut masse animal bouche tour colline. Libre accepter comment siège l'une. Général que folie.,"Prime de performance, Épargne entreprise, Crèche d'entreprise",52000,"Project Management, Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual",5,6
Production Supervisor,Mobilis,Operations,Chief,2025-04-14,2025-05-14,2025-06-13,Fisheries,El Oued,Bac,12,CDD,4,Banc mourir demande écrire quinze. Quatre aucun disparaître complètement mine maintenir commencement. En travailler amuser quoi appartenir. Espace livre droit grave retenir. Ouvert selon déclarer côté premier inquiétude vivre attaquer. Lire grâce hiver quelque.,"Tickets restaurant, Prime de performance, Formation continue",73000,"Project Management, Team Leadership, Arabic/French Bilingual, Microsoft Office, Report Writing",4,8
Operations Manager,Chauvet S.A.R.L. SARL,General Management,Mid,2025-04-02,2025-04-17,2025-05-17,Transport & Logistics,Laghouat,Doctorat,19,Stage,10,Lier aujourd'hui sens banc. Quarante soleil oser politique condition escalier le. Simplement banc valeur.,"Crèche d'entreprise, Formation continue, Assurance maladie",74000,"Microsoft Office, Project Management, Arabic/French Bilingual, Team Leadership, Report Writing",4,7
Team Leader,Lagarde Bourgeois SARL SARL,General Management,Senior,2025-03-31,2025-05-26,2025-06-25,Renewable Energy,Biskra,Ingénieur d'État,15,CDI,8,Fixer d'autres cou malade hasard. Tempête forêt partir profond alors lieu risquer. Ajouter succès parent. Grave chose loi cruel retomber. Gris presque second chien révéler bande. Course proposer fusil ennemi.,"Épargne entreprise, Télétravail partiel, Voiture de fonction",128000,"Project Management, Report Writing, Team Leadership, Arabic/French Bilingual, Microsoft Office",4,11
Supply Chain Manager,Lagarde Bourgeois SARL SARL,Operations,Senior,2025-04-23,2025-05-27,2025-06-26,Manufacturing,El Tarf,Master,18,Freelance,5,Sept condition chanter fumer ça au. Image avis social admettre françois herbe. Robe trois colon conseil baisser.,"Formation continue, Prime de performance, Crèche d'entreprise",70000,"Project Management, Report Writing, Microsoft Office, Arabic/French Bilingual, Team Leadership",1,14
Project Manager,CNAN,General Management,Chief,2025-04-03,2025-04-23,2025-05-23,Public Sector,Biskra,Licence,13,CDI,3,Billet étaler public défaut direction. Verre garçon créer étranger interroger attacher du année. Crainte pauvre poche véritable terreur signe. Mort fier serrer cesser éviter faute. Presser vaste soutenir vaincre rapport obliger réunir éloigner. Y terme place cou content.,"Crèche d'entreprise, Télétravail partiel, Prime de performance",69000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership",3,7
General Director,Legendre SPA,Clinical Operations,Senior,2025-04-12,2025-06-05,2025-07-05,Healthcare,Biskra,Ingénieur d'État,16,Freelance,1,Douter yeux violent. Hasard question monde président année. Troubler devoir poitrine taire presque triste.,"Épargne entreprise, Télétravail partiel, Formation continue",107000,"Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management, Report Writing",1,12
Logistics Coordinator,Millet SARL,Operations,Junior,2025-04-05,2025-05-14,2025-06-13,Manufacturing,Mostaganem,Doctorat,17,Stage,4,Lors autour train. Rompre poursuivre moyen pourquoi briser. Le principe place tirer. Complètement fumer nul commencement siècle. Mouvement paysan lever.,"Crèche d'entreprise, Formation continue, Assurance maladie",148000,"Arabic/French Bilingual, Team Leadership, Report Writing, Project Management, Microsoft Office",3,3
Facilities Manager,Delattre SPA,Operations,Chief,2025-04-07,2025-05-07,2025-06-06,Retail,Biskra,Licence,17,Alternance,14,Existence accrocher quant à pont mettre froid ou militaire. Rompre fait douceur casser petit vieil. Terre tourner verre soudain pierre. Solitude fort minute aider saluer neuf.,"Voiture de fonction, Assurance maladie, Formation continue",119000,"Arabic/French Bilingual, Project Management, Microsoft Office, Report Writing, Team Leadership",3,11
Administrative Manager,Boulay Benard SA SARL,Sustainable Farming,Senior,2025-04-05,2025-06-03,2025-07-03,Agriculture,M'sila,Doctorat,19,CDI,8,Long noir loin vin. Épais nouveau bouche lune plan me rond. Sien volonté moi. Pièce effet souffler. Plaisir quant à afin de rentrer.,"Prime de performance, Voiture de fonction, Épargne entreprise",107000,"Agroecology, Soil Health Management, Organic Certification, Precision Agriculture, Water Conservation, Permaculture Design",5,3
Production Supervisor,CEVITAL,Operations,Mid,2025-04-07,2025-04-16,2025-05-16,Public Sector,Tindouf,Master,14,CDI,14,Six occasion rideau public traverser. Quarante toit repousser cher mari. Autre milieu installer santé idée réclamer même neuf. Banc autre continuer calmer encore.,"Assurance maladie, Voiture de fonction, Télétravail partiel",109000,"Microsoft Office, Report Writing, Team Leadership, Project Management, Arabic/French Bilingual",2,15
Operations Manager,Chauvet S.A.R.L. SARL,General Management,Mid,2025-04-24,2025-06-14,2025-07-14,Pharmaceuticals,Blida,Doctorat,18,Stage,15,Comme nez accent ruine. Autre fixe éternel apparence son supérieur. Reprendre rester oublier révolution vague. Séparer chaleur dont mon interroger voile.,"Formation continue, Épargne entreprise, Crèche d'entreprise",95000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Report Writing, Project Management",0,13
Integrity Manager,Boulay Benard SA SARL,Pipeline Management,Lead,2025-04-03,2025-05-11,2025-06-10,Energy & Petroleum,Illizi,Master,20,Stage,4,Bataille acheter geste. Ou demi fortune examiner. Cent rouge court ici. Passé soit gagner genou réponse. Enfermer continuer habiller parce que article.,"Assurance maladie, Formation continue, Prime de performance",51000,"Report Writing, Project Management, Team Leadership, Microsoft Office, Arabic/French Bilingual",2,7
Project Manager,Duhamel SARL,General Management,Mid,2025-04-16,2025-05-11,2025-06-10,Retail,El Oued,Doctorat,17,Stage,14,Si ensemble couleur inventer. Port joindre midi peuple. Depuis travers réflexion fatiguer plaindre convenir. Delà arracher fleur tuer.,"Formation continue, Tickets restaurant, Crèche d'entreprise",36000,"Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office, Team Leadership",5,4
Production Supervisor,Fontaine SPA,Operations,Senior,2025-04-18,2025-05-11,2025-06-10,Tourism & Hospitality,Mostaganem,Master,14,Alternance,1,Le soit je goût intérieur direction. Doute mort nommer violence profiter nu unique. Ancien comme troubler soldat hier.,"Formation continue, Télétravail partiel, Crèche d'entreprise",136000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Team Leadership, Project Management",3,15
Administrative Manager,SNVI,Accounting & Auditing,Junior,2025-04-04,2025-05-30,2025-06-29,Banking & Finance,Ouargla,Ingénieur d'État,16,Freelance,7,Croire comme champ règle. Étaler mauvais fonction projet. Satisfaire doux écouter désormais voix sept. Sang accepter absolu vue son soirée. Derrière d'autres sombre sauter. Essuyer hésiter pierre.,"Épargne entreprise, Télétravail partiel, Assurance maladie",69000,"Report Writing, Project Management, Arabic/French Bilingual, Team Leadership, Microsoft Office",4,11
Operations Manager,Gaillard SARL,Investment Management,Senior,2025-03-31,2025-05-20,2025-06-19,Banking & Finance,Béchar,Licence,20,Freelance,8,Prouver poste enfant réunir. Eh fois valeur marché joue bientôt fixe. Satisfaire rapport trait principe inconnu perdu. Ouvrage brusquement puis mille perte étroit être.,"Assurance maladie, Prime de performance, Tickets restaurant",150000,"Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership, Report Writing",0,9
Production Supervisor,Algérie Télécom,Operations,Senior,2025-03-26,2025-04-19,2025-05-19,Renewable Energy,Illizi,Ingénieur d'État,19,Alternance,13,Fin long un pousser. Douze scène joie chasse professeur. Foule établir ruine problème. Impossible réfléchir aucun tel accomplir prince accompagner.,"Assurance maladie, Télétravail partiel, Tickets restaurant",102000,"Report Writing, Team Leadership, Microsoft Office, Project Management, Arabic/French Bilingual",0,14
Department Director,Manadjim El Djazaïr,General Management,Lead,2025-04-23,2025-06-19,2025-07-19,Pharmaceuticals,Annaba,Master,13,Stage,9,Compter occasion changer habiter séparer cent tromper tenter. Dormir armer pencher cacher voix nation. As écarter souhaiter main poitrine.,"Tickets restaurant, Télétravail partiel, Formation continue",102000,"Arabic/French Bilingual, Project Management, Microsoft Office, Team Leadership, Report Writing",2,9
Pipeline Engineer,Laurent SPA,Pipeline Management,Lead,2025-03-30,2025-05-14,2025-06-13,Energy & Petroleum,Chlef,Doctorat,15,Stage,8,Arrière terminer annoncer à rocher race cou. Ramener conversation rare. Situation subir avis étage traîner propos riche. Transformer monter réclamer malade nourrir reculer feuille. Découvrir dimanche politique meilleur chose auteur moi.,"Crèche d'entreprise, Épargne entreprise, Formation continue",127000,"Report Writing, Microsoft Office, Project Management, Team Leadership, Arabic/French Bilingual",4,9
Project Manager,Jacquot Payet et Fils SPA,Higher Education,Junior,2025-04-24,2025-05-01,2025-05-31,Education,Ouargla,Ingénieur d'État,17,Stage,2,Couper appartement soirée ajouter parole user silence défaut. Impossible un retomber deviner gens. Raconter mort angoisse que chez. Fleur commun ancien cri. Temps lettre livre reste fidèle devenir occasion. Examiner saint présent inquiétude façon retourner douter.,"Crèche d'entreprise, Prime de performance, Assurance maladie",129000,"Team Leadership, Report Writing, Microsoft Office, Project Management, Arabic/French Bilingual",3,6
Supply Chain Manager,Raynaud S.A.S. EURL,Operations,Chief,2025-04-24,2025-05-02,2025-06-01,Renewable Energy,In Salah,Master,17,CDI,12,Retomber près aujourd'hui passer quelqu'un moindre chat. Étonner unique terme. Supporter lien dix juger oncle.,"Épargne entreprise, Crèche d'entreprise, Télétravail partiel",103000,"Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual, Project Management",2,10
Team Leader,Mobilis,Food Processing,Lead,2025-04-10,2025-04-28,2025-05-28,Agriculture,Annaba,Ingénieur d'État,20,Stage,4,Arme présence or partager en. Discussion été agiter léger. Parfaitement importer tourner tellement mien jusque. Soi unique marche travail courant.,"Formation continue, Épargne entreprise, Assurance maladie",87000,"Project Management, Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual",5,6
Department Director,Mobilis,General Management,Junior,2025-04-19,2025-06-11,2025-07-11,Public Sector,Oran,Doctorat,16,Stage,2,Or troubler beauté douze cas soir. Tout quart maladie. Éloigner trouver sérieux. Douze médecin fonction lutte toute condition ouvrir. Marché roi vite professeur rouler.,"Épargne entreprise, Crèche d'entreprise, Formation continue",135000,"Microsoft Office, Report Writing, Project Management, Team Leadership, Arabic/French Bilingual",2,3
Project Manager,Baudry S.A.S. SARL,Agronomy Research,Mid,2025-03-30,2025-04-30,2025-05-30,Agriculture,Laghouat,Master,17,CDD,5,Groupe exposer asseoir leur lui. Pensée ailleurs que pourquoi pas cacher fixe. Acheter pur village. Accent briser précis haut changement surveiller. Décider perdu pousser fonder taille résistance ramener fête. Nuit politique battre vivant force donner travail.,"Télétravail partiel, Épargne entreprise, Assurance maladie",75000,"Team Leadership, Microsoft Office, Project Management, Arabic/French Bilingual, Report Writing",5,11
Department Director,Baudry S.A.S. SARL,General Management,Junior,2025-04-02,2025-05-05,2025-06-04,Aerospace & Defense,Tiaret,Ingénieur d'État,18,Stage,1,Rôle or mer si davantage. Froid répondre poète conseil violence devoir savoir. Rien époque promener juste valeur ou enfermer. Accent colon noir.,"Voiture de fonction, Prime de performance, Assurance maladie",145000,"Team Leadership, Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management",1,4
General Director,Manadjim El Djazaïr,General Management,Chief,2025-04-01,2025-04-26,2025-05-26,Tourism & Hospitality,Saïda,Master,17,Freelance,6,Sourire ignorer toile retrouver manger quant à brûler. Me coin place aujourd'hui. Gouvernement tout céder. Tout éclairer curieux. Tempête retrouver achever conseil moins baisser paraître.,"Tickets restaurant, Crèche d'entreprise, Prime de performance",91000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Team Leadership, Project Management",3,3
Team Leader,Jourdan S.A.R.L. SPA,Hospital Administration,Mid,2025-04-20,2025-06-04,2025-07-04,Healthcare,El Tarf,Bac,14,CDI,10,Elle désir rendre lequel savoir. Loi sol autre aujourd'hui manquer pauvre. Nommer lorsque décrire durer assurer accorder précieux composer. Si voilà horizon afin de.,"Formation continue, Voiture de fonction, Télétravail partiel",39000,"Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership, Report Writing",3,9
Administrative Manager,Cevital Agro-Industry,General Management,Mid,2025-04-02,2025-05-13,2025-06-12,Mining,Chlef,Bac,20,Stage,5,Saisir nu visite distinguer mari continuer moyen cerveau. Part lien trou petit éloigner. Mince puis rue durant.,"Tickets restaurant, Crèche d'entreprise, Prime de performance",91000,"Arabic/French Bilingual, Microsoft Office, Team Leadership, Report Writing, Project Management",1,4
General Director,Mobilis,General Management,Junior,2025-04-20,2025-05-23,2025-06-22,Renewable Energy,Adrar,Doctorat,13,Stage,15,Voix passer emporter naître haute manquer qui. Français vin montrer page. Mieux fruit convenir pièce retenir valoir d'autres. Vide seigneur voix ça sec lune résultat. Tel regard deux police d'abord accorder reconnaître après.,"Assurance maladie, Crèche d'entreprise, Prime de performance",149000,"Team Leadership, Project Management, Arabic/French Bilingual, Report Writing, Microsoft Office",2,13
General Director,Condor Electronics,General Management,Mid,2025-04-17,2025-05-12,2025-06-11,Renewable Energy,Batna,Bac,19,Stage,14,Découvrir condition subir veille. Miser conscience naturellement beaucoup. Douter circonstance yeux somme sien calme.,"Épargne entreprise, Assurance maladie, Tickets restaurant",117000,"Report Writing, Arabic/French Bilingual, Project Management, Team Leadership, Microsoft Office",3,15
Team Leader,Bruneau SARL,General Management,Mid,2025-03-27,2025-04-27,2025-05-27,Tourism & Hospitality,Tizi Ouzou,Ingénieur d'État,19,Freelance,5,Puissance répéter divers clef entourer découvrir chez. Caresser rouge ombre que effort dieu devant corps. Promener coûter rocher pendre.,"Télétravail partiel, Assurance maladie, Voiture de fonction",85000,"Microsoft Office, Team Leadership, Report Writing, Project Management, Arabic/French Bilingual",0,9
Security Consultant,CEVITAL,Cybersecurity,Senior,2025-04-18,2025-06-06,2025-07-06,Information Technology,M'sila,Master,18,Stage,4,Chien effet faible matin. Même jeu appuyer froid presser. Honneur pendant nez passage cuisine camarade sable. Volonté désir fin menacer. Consulter nul arbre charge. Flot habitude trace lever là attention frais.,"Crèche d'entreprise, Prime de performance, Formation continue",58000,"Firewall Configuration, Cryptography, Incident Response, SIEM Tools, SOC Operations, GDPR Compliance, Network Security, Ethical Hacking",1,9
Operations Manager,Algérie Télécom,General Management,Mid,2025-04-19,2025-05-02,2025-06-01,Tourism & Hospitality,Sétif,Doctorat,18,CDI,3,Nombreux bas simple herbe retirer demain désirer. Allumer oh veiller rappeler question nature blanc. Monde cruel manger employer foule bouche passé métier. Silencieux chasser troisième revenir midi loin.,"Tickets restaurant, Télétravail partiel, Prime de performance",110000,"Project Management, Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing",2,15
Production Supervisor,Jacquot Payet et Fils SPA,Operations,Chief,2025-03-26,2025-04-13,2025-05-13,Transport & Logistics,Tamanrasset,Ingénieur d'État,18,Freelance,8,Recherche enfoncer peu commencement avant facile appartenir moi. An pied ni. Portier imposer perdu puis. Silencieux maladie rêver. Ignorer sourire époque. Que horizon endroit source nuage beau personnage.,"Épargne entreprise, Crèche d'entreprise, Télétravail partiel",98000,"Project Management, Arabic/French Bilingual, Microsoft Office, Report Writing, Team Leadership",4,6
Operations Manager,Leclerc EURL,Higher Education,Chief,2025-04-09,2025-04-20,2025-05-20,Education,M'sila,Master,18,Freelance,3,Plan embrasser grâce important. Entrée suivant rencontre élever prière gouvernement mouvement. Du vent inquiéter personne abandonner. Rire sept saint jeune lendemain droite lire. Assurer certes réflexion parce que.,"Voiture de fonction, Épargne entreprise, Crèche d'entreprise",137000,"Project Management, Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual",0,3
Administrative Manager,Alexandre Denis SA EURL,General Management,Senior,2025-04-24,2025-05-06,2025-06-05,Public Sector,Biskra,Ingénieur d'État,20,CDI,14,Solitude étendue gauche ramasser pareil. Marchand essuyer rompre vers maison. Caractère présent troisième journal. Rencontre avant demi. Journée léger apporter achever marcher famille lumière.,"Tickets restaurant, Télétravail partiel, Prime de performance",102000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Report Writing, Project Management",2,13
Operations Manager,CEVITAL,Medical Equipment Maintenance,Lead,2025-04-15,2025-06-08,2025-07-08,Healthcare,Constantine,Licence,15,Alternance,6,Étudier donner marche réserver. Lieu prêt en droit habiller sang côté. Pierre machine toi avoir complètement appeler pendant. Un très petit dessus combat. Demander ça ramasser mieux mêler consulter poésie. Larme silence maître lever saint.,"Crèche d'entreprise, Prime de performance, Formation continue",48000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Team Leadership, Project Management",3,4
General Director,Batimétal,General Management,Junior,2025-04-03,2025-05-18,2025-06-17,Public Sector,Naama,Master,15,CDD,15,Mariage accord juste fleur fil approcher. Pointe depuis lorsque chasse. Puissant vers lendemain fille blanc. Ouvert flot taire peur. Donc puis garçon.,"Voiture de fonction, Tickets restaurant, Épargne entreprise",146000,"Report Writing, Team Leadership, Project Management, Arabic/French Bilingual, Microsoft Office",5,6
Administrative Manager,Dubois S.A. EURL,Retail Banking,Lead,2025-04-18,2025-05-01,2025-05-31,Banking & Finance,Batna,Bac,12,Freelance,10,Détail passé parent. Français événement faim solitude lendemain. Court terme chasser regretter ciel. Coucher fou port interrompre heureux.,"Assurance maladie, Tickets restaurant, Crèche d'entreprise",71000,"Project Management, Team Leadership, Microsoft Office, Arabic/French Bilingual, Report Writing",0,12
Supply Chain Manager,Chauvet S.A.R.L. SARL,Operations,Junior,2025-04-23,2025-05-28,2025-06-27,Aerospace & Defense,Timimoun,Master,19,Stage,10,Agiter franchir prendre. Mur auprès sorte sec apparaître dimanche or indiquer. Vie souffrir âgé réunir commencer politique.,"Assurance maladie, Crèche d'entreprise, Télétravail partiel",96000,"Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing, Project Management",4,11
General Director,Air Algérie,General Management,Mid,2025-04-11,2025-05-13,2025-06-12,Fisheries,Tizi Ouzou,Bac,16,Stage,9,Depuis parce que étaler elle compte naître. Plaine accuser courant près. Printemps moindre pourtant objet surprendre. Armée doucement approcher attention. Lendemain juger soit cabinet. Endroit protéger ce refuser descendre tuer gros.,"Épargne entreprise, Voiture de fonction, Prime de performance",88000,"Report Writing, Project Management, Team Leadership, Microsoft Office, Arabic/French Bilingual",2,7
Supply Chain Manager,Louis et Fils SARL,Operations,Mid,2025-04-16,2025-05-23,2025-06-22,Mining,Annaba,Ingénieur d'État,13,Alternance,11,Somme bas soumettre produire derrière fine ouvrir. Rideau honneur chemin naître volonté petit déchirer. Ci quant à simple. Oncle arrêter soumettre. Savoir plaine aussitôt retirer marchand eh.,"Crèche d'entreprise, Voiture de fonction, Prime de performance",116000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management",4,6
Production Supervisor,CEVITAL,Operations,Mid,2025-04-09,2025-06-02,2025-07-02,Retail,Tizi Ouzou,Master,20,Freelance,10,Ne flamme valeur oncle mort pouvoir supposer. Toute chaîne presque sourd. Davantage ceci demain prince finir risquer admettre pur.,"Prime de performance, Télétravail partiel, Assurance maladie",51000,"Report Writing, Project Management, Microsoft Office, Arabic/French Bilingual, Team Leadership",1,4
Project Manager,Baudry S.A.S. SARL,General Management,Mid,2025-03-31,2025-04-22,2025-05-22,Transport & Logistics,El Oued,Master,16,CDD,12,Justice absence personne complet propre quant à besoin. Plaindre suivre digne théâtre mode. Phrase morceau envelopper expliquer rose tant poste françois. Calmer point repousser intelligence. Toujours étrange plaisir fois partout autour. Eh mort prière inventer aventure.,"Télétravail partiel, Voiture de fonction, Tickets restaurant",76000,"Arabic/French Bilingual, Team Leadership, Project Management, Microsoft Office, Report Writing",1,6
Mobile QA Tester,Boucher SPA,Mobile Development,Chief,2025-03-30,2025-05-18,2025-06-17,Information Technology,Tiaret,Doctorat,12,CDD,4,Rencontrer père ajouter paix aussitôt si. Cheval marcher chez long. Comment intéresser bataille parfois.,"Crèche d'entreprise, Voiture de fonction, Prime de performance",141000,"Arabic/French Bilingual, Microsoft Office, Team Leadership, Report Writing, Project Management",0,10
Operations Manager,Chauvet S.A.R.L. SARL,Operations,Senior,2025-04-01,2025-05-04,2025-06-03,Manufacturing,Béchar,Doctorat,13,Alternance,12,Assister dresser forcer discours bientôt montagne. Oreille compagnon auquel colline remonter toi cinquante. Appartement violence poche sien. Monsieur roman erreur jambe voisin déchirer rayon. Permettre haut fleur valoir.,"Tickets restaurant, Épargne entreprise, Formation continue",94000,"Microsoft Office, Team Leadership, Arabic/French Bilingual, Project Management, Report Writing",2,3
Facilities Manager,Rodriguez EURL,Operations,Senior,2025-03-28,2025-05-12,2025-06-11,Construction,Skikda,Bac,18,CDI,4,Simple livre bleu vert. Souvenir pareil poche traiter repas enfin profond. Recueillir douleur secret pénétrer. Roman pitié paix oh ci préférer. Groupe leur ça sec si mourir. Quinze pleurer désigner réclamer assez.,"Formation continue, Tickets restaurant, Épargne entreprise",62000,"Report Writing, Team Leadership, Arabic/French Bilingual, Project Management, Microsoft Office",0,8
Team Leader,Sonatrach,General Management,Junior,2025-03-27,2025-05-21,2025-06-20,Renewable Energy,Oran,Licence,16,CDD,11,Bataille pourquoi livrer. Dans bas sommet appartement. Céder bas traiter croire vivre.,"Assurance maladie, Épargne entreprise, Tickets restaurant",65000,"Report Writing, Arabic/French Bilingual, Project Management, Microsoft Office, Team Leadership",5,3
Department Director,Turpin Pineau S.A. EURL,General Management,Lead,2025-04-04,2025-05-10,2025-06-09,Tourism & Hospitality,Saïda,Ingénieur d'État,15,Freelance,7,Chaise unique hier avouer travers semaine haine. Dimanche indiquer vieil entre revenir demain. Forcer comment puissant tracer naissance éclat. Séparer leur confier guère. Aimer respect sortir coucher disposer peuple preuve.,"Épargne entreprise, Tickets restaurant, Formation continue",91000,"Project Management, Team Leadership, Arabic/French Bilingual, Microsoft Office, Report Writing",2,10
Administrative Manager,Albert SA SARL,General Management,Senior,2025-03-28,2025-04-11,2025-05-11,Manufacturing,Sétif,Master,19,Stage,13,Nord extraordinaire qualité cependant personnage vite. Accuser premier abattre marier. Reprendre poser goût sorte. Peine approcher succès peur haïr pourquoi.,"Télétravail partiel, Formation continue, Épargne entreprise",82000,"Arabic/French Bilingual, Microsoft Office, Team Leadership, Report Writing, Project Management",2,4
Logistics Coordinator,SNVI,Operations,Junior,2025-04-15,2025-05-15,2025-06-14,Fisheries,Algiers,Ingénieur d'État,18,CDI,9,Cacher rideau événement oiseau silencieux. Ciel eaux verre respecter. Genou nature aimer à. Réserver dès toile quant à jeu. Apparence preuve époque chanter lune avance.,"Crèche d'entreprise, Télétravail partiel, Voiture de fonction",39000,"Project Management, Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing",2,13
Project Manager,Wagner S.A.S. SARL,Retail Banking,Junior,2025-04-20,2025-06-01,2025-07-01,Banking & Finance,Timimoun,Ingénieur d'État,18,CDD,13,Quelque changement réflexion par. Douceur compter sorte sourire enfermer. Apercevoir ajouter miser choix soin pur.,"Voiture de fonction, Télétravail partiel, Crèche d'entreprise",108000,"Report Writing, Team Leadership, Arabic/French Bilingual, Microsoft Office, Project Management",0,3
Department Director,Gaillard SARL,General Management,Junior,2025-03-27,2025-04-25,2025-05-25,Media & Entertainment,Ghardaïa,Licence,15,Freelance,13,Après lorsque loi. Avis gouvernement réfléchir mot ailleurs. Durer travailler oui chasse main moins tu dessiner. Saison voici tant convenir puisque voilà. Théâtre tout accuser sommeil rire y. Départ commun rire ancien rôle.,"Tickets restaurant, Formation continue, Prime de performance",99000,"Arabic/French Bilingual, Team Leadership, Microsoft Office, Project Management, Report Writing",3,8
Operations Manager,Martin Leblanc S.A. SARL,General Management,Mid,2025-04-18,2025-06-15,2025-07-15,Retail,Béjaïa,Licence,18,Alternance,12,Examiner car dégager dos jamais propre banc. Tirer cercle souvenir préférer soirée haine place. An amener vision garde. Apparaître couper poitrine partout.,"Formation continue, Épargne entreprise, Voiture de fonction",88000,"Report Writing, Project Management, Microsoft Office, Arabic/French Bilingual, Team Leadership",5,5
