job_Id,job title,department,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,technical_skills,experience_min_req,experience_max_req,salary
198,Instructional Designer,Curriculum Developer,2025-02-22,2025-03-15,2025-04-14,Education,Tébessa,Licence,15,Freelance,2,"Educational Data Mining, Data Privacy (FERPA), Hybrid Learning, Interactive Whiteboards, Student Information Systems (SIS), Learning Analytics, LMS (Moodle/Canvas), Plagiarism Detection (Turnitin), Educational Robotics",2,5,50000
199,Environmental Compliance Officer,Geologist,2025-04-28,2025-05-24,2025-06-23,Mining,Constantine,Doctorat,20,CDD,2,"Tailings Management, Mining Economics, Blasting Techniques, Drilling Operations, Mine Reclamation, Underground Mining Techniques, Mineral Exploration, Surface Mining, Geological Mapping, Mineralogy, Mine Ventilation, Rock Mechanics, Mining Automation, Environmental Impact of Mining, Slope Stability Analysis",8,13,160000
200,Medical Technologist,Clinical Researcher,2025-04-16,2025-04-30,2025-05-30,Healthcare,Skikda,Licence,15,CDD,9,"Telemedicine, Remote Monitoring, Surgical Robotics, Precision Medicine, Population Health, Stem Cell Research, Medical Simulation, Rehabilitation Tech, Mental Health Apps",2,5,67000
201,Farm Manager,Farm Manager,2025-04-07,2025-05-02,2025-06-01,Agriculture,Béjaïa,Baccalaureate,12,CDI,1,"Post-Harvest Technology, Agrochemical Knowledge, AgriTech Solutions, Crop Management, Agricultural Supply Chains, Agricultural Economics",0,1,30000
202,Curriculum Developer,Instructional Designer,2025-02-07,2025-03-05,2025-04-04,Education,Blida,Doctorat,20,Freelance,1,"Open Educational Resources (OER), Esports in Schools, E-Learning Tools (Articulate), LMS (Moodle/Canvas), Plagiarism Detection (Turnitin), MOOC Platforms (Coursera), Flipped Classroom Models, Peer Learning Platforms, Mental Health Tools, Hybrid Learning, AR/VR Learning, Educational Data Mining, Virtual Labs (Labster), Blockchain Credentials, Educational Robotics",8,12,60000
203,Clinical Researcher,Health Informatics Specialist,2025-03-08,2025-03-13,2025-04-12,Healthcare,Constantine,Baccalaureate,12,CDD,3,"Medical Imaging (MRI/CT), Mental Health Apps, Biomedical Engineering, Precision Medicine, Nursing Informatics, HIPAA Compliance, AI Diagnostics",0,2,54000
204,Systems Engineer,Avionics Engineer,2025-05-03,2025-05-09,2025-06-08,Aerospace & Defense,Constantine,Master,17,Alternance,1,"ITAR Compliance, Ground Control Systems, Aerodynamics Simulation, Radar Systems, Satellite Communications, Flight Control Systems, Aerospace Materials, Unmanned Aerial Systems",0,2,165000
205,QA Analyst,Clinical Trials Manager,2025-03-04,2025-03-09,2025-04-08,Pharmaceuticals,Skikda,Licence,15,CDD,6,"HPLC, Formulation Development, Pharmaceutical Sales, GMP Compliance, Pharmacovigilance, Pharmaceutical Marketing, Quality Assurance (QA), Stability Testing, Sterile Manufacturing",2,4,112000
206,Aquaculture Technician,Quality Assurance Officer,2025-05-04,2025-05-09,2025-06-08,Fisheries,Blida,Master,17,Freelance,1,"Fish Disease Management, Fish Stock Assessment, Net Design, Aquaponics, Cold Chain for Seafood, Fisheries Regulations, Fish Nutrition, Oceanographic Survey, Marine Biology, Seafood Traceability, Marine Ecosystem Monitoring, Aquaculture Management, Bycatch Reduction, Water Quality Management, Hatchery Operations",6,10,50000
207,Curriculum Developer,Instructional Designer,2025-04-20,2025-05-16,2025-06-15,Education,Algiers,Licence,15,CDI,8,"AI Tutoring, E-Learning Tools (Articulate), Special Ed Tech, Plagiarism Detection (Turnitin), Virtual Labs (Labster), AR/VR Learning, Hybrid Learning, Student Information Systems (SIS)",2,3,49000
208,Quality Assurance Officer,Marine Biologist,2025-02-22,2025-03-07,2025-04-06,Fisheries,Algiers,Ingénieur d'État,18,CDI,9,"Marine Biology, Fisheries Data Analysis, GPS for Fishing, Sustainable Fishing Techniques, Net Design, Bycatch Reduction, Cold Chain for Seafood, Fisheries Economics, Fish Disease Management, Fish Stock Assessment, Seafood Traceability",4,5,48000
209,Reservoir Engineer,Drilling Supervisor,2025-03-06,2025-04-04,2025-05-04,Energy & Petroleum,Annaba,Ingénieur d'État,18,Internship,9,"Well Logging, Energy Trading, Petroleum Engineering, Remote Sensing (LiDAR), Waste-to-Energy Tech, HSE Compliance, Reservoir Simulation",0,1,164000
210,Environmental Compliance Officer,Mine Engineer,2025-02-27,2025-03-15,2025-04-14,Mining,Biskra,Baccalaureate,12,Freelance,4,"Underground Mining Techniques, Blasting Techniques, Drilling Operations, Mine Ventilation, Mining Safety Standards, Geological Mapping",0,1,92000
211,Solar PV Technician,Energy Auditor,2025-02-26,2025-03-10,2025-04-09,Renewable Energy,Algiers,Master,17,CDI,4,"Hydropower Design, Smart Grid Systems, Grid Integration, Energy Efficiency Auditing, Sustainable Design, Power Purchase Agreements (PPAs), Wind Turbine Maintenance, Energy Simulation, Inverter Technology, Renewable Energy Site Assessment, Energy Management Systems, Net Metering, Load Flow Analysis, Renewable Energy Forecasting",6,9,130000
212,Billing Specialist,RF Technician,2025-03-28,2025-04-20,2025-05-20,Telecommunications,Algiers,Ingénieur d'État,18,CDD,4,"BSS/OSS Systems, Network Monitoring Tools, QoS Management, IP/MPLS, Telecom Regulations, RF Engineering, Microwave Engineering, Telecom Project Management, Mobile Core Networks, LTE/4G/5G Optimization, Fiber Optic Technology, VoIP Systems",4,7,118000
213,Wind Turbine Engineer,Energy Auditor,2025-03-03,2025-03-05,2025-04-04,Renewable Energy,Algiers,Licence,15,CDI,9,"Renewable Energy Economics, Wind Turbine Maintenance, Renewable Energy Site Assessment, Renewable Energy Forecasting, Power Purchase Agreements (PPAs), Energy Management Systems, Energy Policy, Battery Storage Systems, Inverter Technology",2,5,104000
214,Quality Control Inspector,Process Technician,2025-02-15,2025-03-07,2025-04-06,Manufacturing,Souk Ahras,Master,17,CDI,7,"Rapid Prototyping, Smart Factories, Production Planning, Energy Efficiency, 3D Printing, Waste Reduction, Additive Manufacturing, ERP (SAP), Factory Layout, Industrial Cybersecurity, Sustainable Practices, CAD/CAM, Robotics Programming, MES Systems",6,8,80000
215,Procurement Officer,Policy Analyst,2025-04-28,2025-05-11,2025-06-10,Public Sector,Batna,Ingénieur d'État,18,CDD,1,"Public Health Policy, Government CRM, Government Procurement, Freedom of Information, Public Sector Accounting, Municipal Budgeting, Digital Identity Systems, Open Data Platforms, IT for Government, E-Government Solutions, Citizen Engagement, Legislative Drafting, Regulatory Compliance",4,8,70000
216,Mine Engineer,Blasting Technician,2025-02-11,2025-02-11,2025-03-13,Mining,Béjaïa,Baccalaureate,12,Alternance,7,"GIS for Mining, Mine Planning, Rock Mechanics, Mineral Exploration, Slope Stability Analysis, Geological Mapping, Mining Safety Standards",0,2,95000
217,Medical Technologist,Medical Technologist,2025-03-11,2025-03-17,2025-04-16,Healthcare,Constantine,Ingénieur d'État,18,Alternance,2,"AI Drug Discovery, Telemedicine, Population Health, Rehabilitation Tech, Nursing Informatics, Healthcare Analytics, Clinical Trials, Stem Cell Research",0,2,70000
218,Drilling Supervisor,Petroleum Engineer,2025-04-09,2025-04-21,2025-05-21,Energy & Petroleum,Oran,Ingénieur d'État,18,CDD,9,"Wind Farm Design, Energy Economics, Solar Energy Systems, Carbon Credit Trading, Corrosion Engineering, Drilling Optimization, Refinery Process Engineering, Carbon Capture & Storage, SCADA Systems, Subsea Engineering, Well Logging",4,5,190000
219,Cybersecurity Analyst,Data Scientist,2025-02-22,2025-03-15,2025-04-14,Information Technology,Constantine,Master,17,Alternance,5,"Kafka, Spark, Kotlin, MongoDB, Burp Suite, GDPR, Flask, Vue.js",0,2,136000
220,Agri-Tech Developer,Agronomist,2025-04-01,2025-04-21,2025-05-21,Agriculture,Oran,Baccalaureate,12,Internship,10,"Remote Sensing for Crops, Seed Technology, Agricultural Economics, Soil Science, Agroforestry, Agricultural Policy",0,1,30000
221,QA Analyst,Formulation Scientist,2025-04-02,2025-04-02,2025-05-02,Pharmaceuticals,Algiers,Doctorat,20,Alternance,7,"Medical Writing, Biostatistics, Pharmacovigilance, FDA Submissions, Drug Formulation, Pharmaceutical Sales, Stability Testing, Analytical Chemistry, Sterile Manufacturing",0,2,136000
222,Guest Services Manager,Event Coordinator,2025-02-17,2025-02-20,2025-03-22,Tourism & Hospitality,Annaba,No Formal Education,0,CDI,10,"Hospitality Accounting, Tour Guiding, Culinary Arts",0,1,29000
223,Safety Officer,Quantity Surveyor,2025-05-03,2025-05-10,2025-06-09,Construction,Batna,Master,17,Internship,10,"Safety Audits, 3D Printing, Procore Software, Water Management, Safety Standards, HVAC Design, Risk Management",0,1,81000
224,Blasting Technician,Environmental Compliance Officer,2025-03-31,2025-04-01,2025-05-01,Mining,Oran,Doctorat,20,CDI,4,"Mine Ventilation, Rock Mechanics, Tailings Management, Mining Equipment Maintenance, Ore Processing, Geological Mapping, Mine Reclamation, Mining Automation, Mine Planning, GIS for Mining, Slope Stability Analysis, Blasting Techniques, Mining Economics, Mineralogy, Drilling Operations",8,9,160000
225,Video Editor,VFX Artist,2025-04-29,2025-05-16,2025-06-15,Media & Entertainment,El Oued,Master,17,Alternance,5,"Transmedia Storytelling, Influencer Partnerships, Video Editing (Premiere Pro), Sound Design (Pro Tools), Digital Journalism, Interactive Storytelling, Newsroom Automation",0,1,71000
226,Tour Guide,Tour Guide,2025-04-04,2025-04-30,2025-05-30,Tourism & Hospitality,Algiers,Licence,15,CDD,1,"Hospitality Accounting, Guest Services, Hospitality Branding, Hospitality Software (Opera), Tour Guiding, Front Office Operations, Hotel Operations, Travel Regulations, Cultural Tourism",2,4,48000
227,Energy Auditor,Energy Auditor,2025-02-21,2025-03-13,2025-04-12,Renewable Energy,Skikda,Master,17,CDD,10,"Load Flow Analysis, Solar PV Systems, Renewable Energy Forecasting, Inverter Technology, Green Building Codes, Renewable Energy Site Assessment, Wind Turbine Maintenance, Biomass Energy Systems, Power Purchase Agreements (PPAs), Energy Policy, Smart Grid Systems, Energy Simulation, Hydropower Design, Renewable Energy Economics, Sustainable Design",6,10,130000
228,Defense Analyst,Defense Analyst,2025-02-19,2025-02-21,2025-03-23,Aerospace & Defense,Blida,Master,17,Internship,8,"Military Standards (MIL-STD), Aerospace Materials, Flight Control Systems, Radar Systems, Thermal Analysis, Satellite Communications, Reliability Engineering",0,1,162000
229,Billing Specialist,Telecom Analyst,2025-03-08,2025-03-25,2025-04-24,Telecommunications,Saïda,Doctorat,20,CDI,5,"Microwave Engineering, Network Monitoring Tools, VoIP Systems, RF Engineering, QoS Management, Telecom Regulations, IP/MPLS, Network Provisioning, Telecom Billing Systems, BSS/OSS Systems, VSAT Systems, Telecom Project Management, Mobile Core Networks, Network Planning, Fiber Optic Technology",8,9,120000
230,Sales Associate,Sales Associate,2025-05-05,2025-05-06,2025-06-05,Retail,Annaba,Baccalaureate,12,Alternance,6,"Personal Shopping AI, CRM (Salesforce), Click-and-Collect, IoT, AR Shopping, Staff Training",0,1,36000
231,Urban Planner,Urban Planner,2025-05-05,2025-05-22,2025-06-21,Public Sector,Laghouat,Doctorat,20,Freelance,8,"Urban Planning, Social Program Management, E-Government Solutions, Government Procurement, Citizen Engagement, IT for Government, Open Data Platforms, Public Policy Analysis, Public Health Policy, Civic Tech, Government Auditing, Regulatory Compliance, Government CRM, Legislative Drafting, Public Sector Accounting",8,12,70000
232,Drilling Supervisor,Reservoir Engineer,2025-02-27,2025-03-11,2025-04-10,Energy & Petroleum,Oran,Master,17,Freelance,10,"Emissions Monitoring, Risk Assessment (HAZOP), Nuclear Safety Protocols, Thermal Modeling, Energy Trading, Solar Energy Systems, Power Plant Management, Predictive Maintenance AI, SCADA Systems, Carbon Credit Trading, Regulatory Compliance (EPA), Downstream Operations, Pipeline Leak Detection, Energy Auditing",6,9,200000
233,Risk Manager,Risk Manager,2025-04-12,2025-04-16,2025-05-16,Finance,Oran,Ingénieur d'État,18,CDD,9,"M&A, Economic Forecasting, IPO Preparation, CBDCs, Financial Modeling, Data Analytics (Power BI), Treasury Management, Audit Techniques, Regulatory Compliance (SOX), Behavioral Finance, Insurtech, Wealth Management",4,6,116000
234,Store Manager,Inventory Coordinator,2025-03-13,2025-04-09,2025-05-09,Retail,Oran,Doctorat,20,CDD,1,"Dynamic Pricing, Supply Chain Visibility, Omnichannel Strategy, Mobile POS, In-Store Analytics, Space Planning, Retail Automation, Pricing Strategy, Retail Chatbots, Consumer Behavior Analysis, Cashierless Checkout, Social Commerce, Click-and-Collect, Inventory Management, E-Commerce Integration",8,12,60000
235,Tour Guide,Tour Guide,2025-05-03,2025-05-22,2025-06-21,Tourism & Hospitality,Sétif,Licence,15,Freelance,9,"Hospitality Accounting, Destination Management, Sustainable Tourism, Revenue Management, Event Management, Culinary Arts, Hospitality Branding, Airline Reservations",2,3,47000
236,Content Producer,Sound Designer,2025-04-08,2025-04-15,2025-05-15,Media & Entertainment,Blida,Licence,15,Freelance,5,"Influencer Partnerships, Set Design, Localization/Dubbing, AR/VR Content, Scriptwriting, Metadata Tagging, Digital Journalism, Video Editing (Premiere Pro), VFX (Nuke/Houdini)",2,4,62000
237,Content Producer,Content Producer,2025-05-07,2025-05-18,2025-06-17,Media & Entertainment,Tizi Ouzou,No Formal Education,0,CDI,2,"Newsroom Automation, Localization/Dubbing, Scriptwriting",0,1,36000
238,Tour Guide,Hotel Manager,2025-05-01,2025-05-08,2025-06-07,Tourism & Hospitality,Tiaret,Licence,15,CDD,4,"Revenue Management, Hospitality Branding, Cultural Tourism, Event Management, Hotel Operations, Airline Reservations, Culinary Arts, Hospitality Software (Opera), Hospitality Accounting",2,5,49000
239,Inventory Coordinator,Sales Associate,2025-04-25,2025-05-03,2025-06-02,Retail,Constantine,Master,17,Alternance,8,"Personal Shopping AI, Pricing Strategy, AR Shopping, Consumer Behavior Analysis, Loss Prevention, CRM (Salesforce), Mobile POS, Loyalty Programs",0,2,55000
240,Quantity Surveyor,Site Manager,2025-05-03,2025-05-23,2025-06-22,Construction,Algiers,Master,17,CDD,6,"Concrete Tech, Water Management, Urban Planning, BIM (Revit), Land Surveying, 3D Printing, Safety Audits, Geotechnical Engineering, Road Engineering, Quantity Surveying, Bridge Engineering, Risk Management, HVAC Design",6,7,90000
241,Grid Integration Specialist,Grid Integration Specialist,2025-02-09,2025-02-17,2025-03-19,Renewable Energy,Blida,Ingénieur d'État,18,Internship,7,"Battery Storage Systems, Green Building Codes, Grid Integration, Energy Simulation, Renewable Energy Forecasting, Smart Grid Systems, Energy Management Systems",0,1,108000
242,Content Producer,Content Producer,2025-04-19,2025-05-05,2025-06-04,Media & Entertainment,Sétif,No Formal Education,0,Internship,10,"Transmedia Storytelling, Live Streaming (Twitch), Gaming Engines (Unity)",0,1,36000
243,E-Commerce Manager,SEO Specialist,2025-04-23,2025-05-12,2025-06-11,E-Commerce,Oran,Licence,15,Freelance,3,"Inventory Forecasting, AI Personalization, SEO/SEM, Heatmap Analysis, Product Information Management (PIM), Dynamic Pricing, Mobile App Development (React Native), Sustainable E-Commerce",2,3,78000
244,Marketplace Coordinator,E-Commerce Manager,2025-04-25,2025-05-07,2025-06-06,E-Commerce,Constantine,No Formal Education,0,Freelance,7,"Marketplace Management (Amazon/eBay), AR/VR Try-Ons, GDPR/CCPA Compliance",0,1,48000
245,Cybersecurity Analyst,Cybersecurity Analyst,2025-03-04,2025-03-11,2025-04-10,Information Technology,Blida,Doctorat,20,CDI,4,"Matplotlib, Jira, Lambda, GDPR, CI/CD, Penetration Testing, Firewalls, GitHub, Generative AI, Datadog, C#, PowerShell, NumPy, AKS, Django",8,13,150000
246,Quality Control Inspector,Maintenance Engineer,2025-04-24,2025-04-29,2025-05-29,Manufacturing,Algiers,Doctorat,20,CDD,2,"Industrial Automation (PLC), 3D Printing, Smart Factories, Supply Chain Optimization, CAD/CAM, Robotics (ROS), Process Engineering, Quality Control, Workforce Training, Lean Manufacturing, Rapid Prototyping, MES Systems, ERP (SAP), IIoT, Six Sigma",8,11,80000
247,Policy Analyst,Urban Planner,2025-03-16,2025-03-17,2025-04-16,Public Sector,Algiers,Baccalaureate,12,Freelance,3,"Public Health Policy, Urban Planning, Public Sector Accounting, Digital Identity Systems, Government CRM, Municipal Budgeting",0,1,43000
248,Marine Biologist,Fishery Inspector,2025-05-01,2025-05-23,2025-06-22,Fisheries,Blida,No Formal Education,0,Internship,8,"Biosecurity in Aquaculture, Fish Disease Management, Aquaponics",0,1,24000
249,Billing Specialist,Telecom Analyst,2025-02-28,2025-03-09,2025-04-08,Telecommunications,Constantine,Baccalaureate,12,Alternance,3,"VSAT Systems, SDN/NFV, IP/MPLS, 5G Network Design, Microwave Engineering, Carrier Ethernet, VoIP Systems",0,2,74000
250,Tour Guide,Event Coordinator,2025-04-27,2025-05-19,2025-06-18,Tourism & Hospitality,Algiers,Doctorat,20,Alternance,7,"Hospitality Branding, Destination Management, Culinary Arts, Tourism Policy, Hospitality Software (Opera), Travel Itinerary Planning, Sustainable Tourism, Front Office Operations",0,1,57000
251,Financial Analyst,Risk Manager,2025-03-12,2025-03-26,2025-04-25,Finance,Oran,Master,17,CDD,2,"Economic Forecasting, Insurtech, Algorithmic Trading, Fintech Development, Quantitative Finance, Forex, Financial Planning Software, Blockchain/Crypto, Financial Modeling, Portfolio Management, Behavioral Finance, Audit Techniques, Actuarial Science, Derivatives, Risk Management (FRM)",6,10,120000
252,Marketplace Coordinator,E-Commerce Manager,2025-04-27,2025-05-08,2025-06-07,E-Commerce,Algiers,Licence,15,CDI,4,"Warehouse Automation (WMS), API Integration (REST/SOAP), GDPR/CCPA Compliance, Marketplace Management (Amazon/eBay), Sustainable E-Commerce, Last-Mile Delivery, Social Commerce (TikTok/Instagram), Chatbot Development",2,3,78000
253,Blasting Technician,Environmental Compliance Officer,2025-02-28,2025-03-01,2025-03-31,Mining,Jijel,No Formal Education,0,CDD,3,"Underground Mining Techniques, Surface Mining, Slope Stability Analysis",0,1,72000
254,Telecom Analyst,Billing Specialist,2025-04-12,2025-04-21,2025-05-21,Telecommunications,Mostaganem,Ingénieur d'État,18,Alternance,4,"VSAT Systems, LTE/4G/5G Optimization, SDN/NFV, IP/MPLS, Telecom Regulations, Spectrum Management, 5G Network Design, Telecom Project Management",0,2,102000
255,Hotel Manager,Tour Guide,2025-03-17,2025-04-01,2025-05-01,Tourism & Hospitality,Sétif,No Formal Education,0,Freelance,4,"Front Office Operations, Hospitality Software (Opera), Cultural Tourism",0,1,29000
256,Flight Test Engineer,Systems Engineer,2025-03-06,2025-03-09,2025-04-08,Aerospace & Defense,Oran,Master,17,Freelance,10,"Defense Contracting, Radar Systems, Thermal Analysis, CAD for Aerospace, ITAR Compliance, Aerodynamics Simulation, Systems Engineering, Ground Control Systems, Weapon Systems Integration, Military Standards (MIL-STD), Mission Planning, Flight Testing, Jet Propulsion, Avionics Systems",6,9,180000
257,Telecom Analyst,Billing Specialist,2025-04-23,2025-05-06,2025-06-05,Telecommunications,Khenchela,Baccalaureate,12,CDD,10,"Telecom Billing Systems, Telecom Regulations, Fiber Optic Technology, Network Monitoring Tools, BSS/OSS Systems, RF Engineering",0,1,73000
258,Quality Assurance Officer,Aquaculture Technician,2025-03-13,2025-04-06,2025-05-06,Fisheries,Annaba,Ingénieur d'État,18,Freelance,7,"Marine Biology, Fish Disease Management, Fish Stock Assessment, Bycatch Reduction, Fisheries Regulations, Biosecurity in Aquaculture, Aquaponics, Fish Nutrition, Oceanographic Survey, Marine Ecosystem Monitoring, Cold Chain for Seafood, Water Quality Management",4,7,49000
259,Geologist,Geologist,2025-03-17,2025-04-12,2025-05-12,Mining,Blida,No Formal Education,0,Freelance,7,"Mining Economics, Mine Reclamation, Mineralogy",0,1,72000
260,Logistics Manager,Fleet Coordinator,2025-03-11,2025-03-12,2025-04-11,Transport & Logistics,Constantine,Licence,15,Alternance,8,"Supply Chain Optimization, Cold Chain Logistics, Route Optimization, Logistics Automation, Customs Compliance, Last-Mile Delivery, Logistics Analytics",0,2,65000
261,SEO Specialist,SEO Specialist,2025-02-18,2025-03-02,2025-04-01,E-Commerce,Sétif,No Formal Education,0,Freelance,2,"Conversion Rate Optimization, Dynamic Pricing, Product Information Management (PIM)",0,1,48000
262,Grid Integration Specialist,Wind Turbine Engineer,2025-02-24,2025-03-24,2025-04-23,Renewable Energy,Algiers,Doctorat,20,Alternance,9,"Wind Turbine Maintenance, Sustainable Design, Renewable Energy Economics, Renewable Energy Forecasting, Net Metering, Grid Integration, Energy Management Systems, Solar PV Systems",0,1,124000
263,Merchandiser,Store Manager,2025-03-04,2025-03-05,2025-04-04,Retail,Algiers,Licence,15,Internship,4,"Cashierless Checkout, Space Planning, AR Shopping, Staff Training, Consumer Behavior Analysis, CRM (Salesforce)",0,1,43000
264,Agri-Tech Developer,Farm Manager,2025-02-17,2025-03-17,2025-04-16,Agriculture,Algiers,Baccalaureate,12,Alternance,5,"Pest Control Strategies, Precision Agriculture, Genetically Modified Crops, Remote Sensing for Crops, Seed Technology, Agricultural Policy, AgriTech Solutions",0,2,30000
265,Marketplace Coordinator,UX/UI Designer,2025-03-21,2025-04-06,2025-05-06,E-Commerce,Algiers,Master,17,Freelance,4,"Omnichannel Strategy, Inventory Forecasting, GDPR/CCPA Compliance, Customer Segmentation, Warehouse Automation (WMS), Mobile App Development (React Native), Last-Mile Delivery, A/B Testing, Supply Chain Analytics, Product Information Management (PIM), AI Personalization, Cross-Border E-Commerce, Fraud Detection, API Integration (REST/SOAP), Chatbot Development",6,10,100000
266,Project Engineer,Project Engineer,2025-04-18,2025-05-03,2025-06-02,Construction,Biskra,Doctorat,20,Alternance,3,"Facility Management, Sustainable Design (LEED), Quantity Surveying, HVAC Design, Construction Law, Procore Software, Disaster-Resistant Design, Tunnel Construction",0,1,86000
267,Formulation Scientist,QA Analyst,2025-03-21,2025-04-19,2025-05-19,Pharmaceuticals,Batna,Licence,15,CDD,2,"Batch Record Review, Preclinical Research, Stability Testing, Sterile Manufacturing, Formulation Development, Pharmaceutical Marketing, GMP Compliance, Quality Assurance (QA)",2,3,110000
268,Safety Officer,Quantity Surveyor,2025-03-28,2025-04-02,2025-05-02,Construction,Constantine,Ingénieur d'État,18,Internship,8,"Green Certifications, Drone Surveying, Project Management (Primavera), Procore Software, Land Surveying, BIM (Revit), Structural Analysis",0,1,76000
269,Medical Technologist,Registered Nurse,2025-03-16,2025-04-12,2025-05-12,Healthcare,Constantine,Master,17,Alternance,8,"Mental Health Apps, Epidemiology, Remote Monitoring, Medical Imaging (MRI/CT), Digital Therapeutics, AI Drug Discovery, Medical Simulation",0,1,73000
270,Farm Manager,Agri-Tech Developer,2025-02-25,2025-03-09,2025-04-08,Agriculture,Tébessa,No Formal Education,0,CDD,9,"Remote Sensing for Crops, Sustainable Farming, Seed Technology",0,1,24000
271,Defense Analyst,Flight Test Engineer,2025-02-11,2025-03-04,2025-04-03,Aerospace & Defense,Sétif,Doctorat,20,CDD,7,"Unmanned Aerial Systems, Jet Propulsion, Mission Planning, Ground Control Systems, Radar Systems, Aerodynamics Simulation, Flight Control Systems, Flight Testing, Military Standards (MIL-STD), Defense Contracting, DO-178C Certification, Reliability Engineering, CAD for Aerospace, Aerospace Materials, Satellite Communications",8,14,180000
272,Systems Engineer,Defense Analyst,2025-02-07,2025-03-04,2025-04-03,Aerospace & Defense,Oran,Master,17,Freelance,3,"Mission Planning, Aerodynamics Simulation, Radar Systems, Unmanned Aerial Systems, Thermal Analysis, ITAR Compliance, Military Standards (MIL-STD), Flight Control Systems, Defense Contracting, Ground Control Systems, CAD for Aerospace, DO-178C Certification, Reliability Engineering",6,7,180000
273,RF Technician,RF Technician,2025-05-07,2025-06-02,2025-07-02,Telecommunications,Constantine,Licence,15,CDI,7,"IP/MPLS, Telecom Billing Systems, RF Engineering, Network Provisioning, BSS/OSS Systems, Telecom Regulations, 5G Network Design, Carrier Ethernet, QoS Management",2,5,97000
274,Digital Services Manager,Policy Analyst,2025-04-14,2025-04-23,2025-05-23,Public Sector,Laghouat,Licence,15,CDD,10,"Government CRM, Regulatory Compliance, Public Policy Analysis, Urban Planning, Open Data Platforms, Policy Impact Evaluation, Public Sector Accounting, Public Health Policy, Public Finance",2,4,56000
275,Site Manager,Quantity Surveyor,2025-03-14,2025-04-03,2025-05-03,Construction,Algiers,Baccalaureate,12,CDI,10,"Safety Standards, Cost Estimation, Lean Construction, Procore Software, Bridge Engineering, Water Management, Environmental Impact Assessment",0,2,58000
276,Blasting Technician,Mine Engineer,2025-02-13,2025-03-01,2025-03-31,Mining,Oran,Licence,15,Freelance,6,"Surface Mining, Geological Mapping, Environmental Impact of Mining, GIS for Mining, Mineral Exploration, Ore Processing, Mineralogy, Rock Mechanics, Underground Mining Techniques",2,4,125000
277,Registered Nurse,Registered Nurse,2025-04-08,2025-04-23,2025-05-23,Healthcare,Oran,Master,17,Alternance,5,"Health Insurance, Stem Cell Research, Digital Therapeutics, Surgical Robotics, HIPAA Compliance, Nursing Informatics, Medical Simulation, Population Health",0,2,74000
278,Tour Guide,Event Coordinator,2025-04-12,2025-04-18,2025-05-18,Tourism & Hospitality,Annaba,No Formal Education,0,CDI,1,"Hospitality Branding, Tourism Policy, Travel Regulations",0,1,29000
279,Supply Chain Analyst,Logistics Manager,2025-04-17,2025-05-01,2025-05-31,Transport & Logistics,Annaba,Doctorat,20,Freelance,5,"Logistics Analytics, Shipment Tracking, Inventory Control, Fleet Management, Transportation Modeling, Reverse Logistics, Warehouse Management Systems, Logistics Costing, Route Optimization, TMS Software, EDI Integration, SCM ERP Systems, Logistics Planning, Supply Chain Optimization, Cold Chain Logistics",8,11,90000
280,SEO Specialist,UX/UI Designer,2025-03-28,2025-04-12,2025-05-12,E-Commerce,Constantine,Doctorat,20,Internship,9,"Mobile App Development (React Native), Payment Gateways (Stripe/PayPal), Customer Segmentation, Cross-Border E-Commerce, Cryptocurrency Payments, Conversion Rate Optimization, Product Information Management (PIM), A/B Testing",0,1,96000
281,Quantity Surveyor,Site Manager,2025-04-12,2025-05-01,2025-05-31,Construction,Skikda,Ingénieur d'État,18,Alternance,3,"Quantity Surveying, Urban Planning, Facility Management, Project Management (Primavera), Structural Analysis, 3D Printing, Concrete Tech",0,1,76000
282,Flight Test Engineer,Systems Engineer,2025-03-10,2025-03-29,2025-04-28,Aerospace & Defense,Sétif,Ingénieur d'État,18,CDI,6,"Mission Planning, Unmanned Aerial Systems, Avionics Systems, Military Standards (MIL-STD), Jet Propulsion, Aerospace Materials, Systems Engineering, Weapon Systems Integration, Aerodynamics Simulation, Flight Control Systems, ITAR Compliance",4,5,172000
283,Agronomist,Agronomist,2025-04-15,2025-04-29,2025-05-29,Agriculture,Algiers,Ingénieur d'État,18,Internship,9,"Post-Harvest Technology, Crop Management, Soil Science, Agricultural Policy, Agricultural Data Analysis, Agroforestry, Precision Agriculture",0,1,42000
284,HSE Specialist,Drilling Supervisor,2025-04-01,2025-04-07,2025-05-07,Energy & Petroleum,Bejaïa,Ingénieur d'État,18,CDD,5,"Reservoir Simulation, Risk Assessment (HAZOP), HSE Compliance, Wind Farm Design, IoT for Oilfields, Energy Storage Solutions, Petroleum Engineering, Energy Auditing, Geospatial Analysis (GIS), Power Plant Management, Remote Sensing (LiDAR), Solar Energy Systems, Geothermal Systems",4,8,200000
285,Quality Control Inspector,Quality Control Inspector,2025-02-25,2025-03-17,2025-04-16,Manufacturing,Algiers,Licence,15,Alternance,6,"ERP (SAP), Industrial Automation (PLC), MES Systems, Energy Efficiency, Lean Manufacturing, Robotics (ROS)",0,1,56000
