job title,hiring organization,department,seniority level,date posted,valid through,sector,job location,education requirement,type of contract,available posts,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
General Director,Bertrand Caron SA SPA,Medical Research,Mid,2025-04-16,2025-06-30,Healthcare,Béjaïa,Ingénieur d'État,CDI,5,"Formation continue, Assurance maladie, Épargne entreprise",104000,"Medical Writing, Laboratory Management, Clinical Trials, Biostatistics, Epidemiology, Regulatory Affairs, Research Ethics",5,15
Team Leader,Lucas SPA,General Management,Lead,2025-04-24,2025-07-08,Telecommunications,Béjaïa,Ingénieur d'État,Stage,3,"Assurance maladie, Télétravail partiel, Voiture de fonction",112000,"Project Management, Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual",2,8
Supply Chain Manager,Ooredoo Algeria,Operations,Mid,2025-04-01,2025-06-04,Fisheries,El Oued,Doctorat,CDI,2,"Tickets restaurant, Assurance maladie, Télétravail partiel",126000,"Arabic/French Bilingual, Microsoft Office, Project Management, Report Writing, Team Leadership",0,12
Administrative Manager,Blanchard SPA,General Management,Senior,2025-04-14,2025-05-27,Retail,Ghardaïa,Licence,Alternance,5,"Tickets restaurant, Voiture de fonction, Prime de performance",93000,"Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual, Project Management",2,4
Operations Manager,Maurice Hoareau et Fils SPA,Operations,Mid,2025-04-04,2025-05-29,Public Sector,Mostaganem,Ingénieur d'État,CDI,3,"Assurance maladie, Tickets restaurant, Épargne entreprise",37000,"Arabic/French Bilingual, Project Management, Team Leadership, Report Writing, Microsoft Office",1,4
Supply Chain Manager,Duhamel S.A.R.L. SPA,Operations,Lead,2025-03-27,2025-06-22,Media & Entertainment,Batna,Master,Alternance,8,"Prime de performance, Voiture de fonction, Assurance maladie",42000,"Project Management, Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual",3,8
Department Director,Lévêque SARL,General Management,Mid,2025-04-17,2025-06-08,Construction,Ghardaïa,Ingénieur d'État,CDD,14,"Prime de performance, Voiture de fonction, Tickets restaurant",43000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership",0,10
Drilling Supervisor,Djezzy,Drilling Operations,Lead,2025-03-27,2025-05-07,Energy & Petroleum,Blida,Master,Stage,10,"Voiture de fonction, Télétravail partiel, Prime de performance",106000,"Team Leadership, Project Management, Microsoft Office, Arabic/French Bilingual, Report Writing",2,6
Logistics Coordinator,Roux SARL SPA,Operations,Senior,2025-03-26,2025-05-22,Tourism & Hospitality,Blida,Ingénieur d'État,Stage,11,"Prime de performance, Télétravail partiel, Tickets restaurant",28000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership",2,5
Environmental Compliance Officer,Loiseau et Fils EURL,"HSE (Health, Safety, Environment)",Mid,2025-04-08,2025-05-17,Energy & Petroleum,Tlemcen,Licence,CDD,13,"Voiture de fonction, Télétravail partiel, Assurance maladie",80000,"Team Leadership, Arabic/French Bilingual, Report Writing, Microsoft Office, Project Management",1,13
Team Leader,Loiseau et Fils EURL,Export Operations,Mid,2025-04-21,2025-06-28,Agriculture,Tamanrasset,Licence,Alternance,15,"Prime de performance, Épargne entreprise, Assurance maladie",40000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",5,3
Facilities Manager,Pereira SARL,Operations,Mid,2025-04-12,2025-07-02,Telecommunications,Adrar,Master,CDI,6,"Assurance maladie, Prime de performance, Épargne entreprise",133000,"Arabic/French Bilingual, Project Management, Report Writing, Microsoft Office, Team Leadership",0,12
General Director,Sauvage SARL,Research & Development,Chief,2025-04-15,2025-06-17,Education,Tamanrasset,Bac,CDI,10,"Télétravail partiel, Tickets restaurant, Crèche d'entreprise",129000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership",3,3
Supply Chain Manager,Pichon Maury S.A.S. SPA,Operations,Senior,2025-03-26,2025-06-08,Telecommunications,Chlef,Master,CDD,10,"Formation continue, Crèche d'entreprise, Télétravail partiel",101000,"Arabic/French Bilingual, Project Management, Report Writing, Microsoft Office, Team Leadership",2,14
Facilities Manager,Gilbert SA SPA,Operations,Lead,2025-04-24,2025-06-29,Telecommunications,Biskra,Ingénieur d'État,Stage,8,"Crèche d'entreprise, Voiture de fonction, Tickets restaurant",101000,"Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership",1,8
Administrative Manager,Besnard SARL SPA,International Relations,Junior,2025-04-14,2025-05-21,Education,Ouargla,Ingénieur d'État,Stage,14,"Voiture de fonction, Crèche d'entreprise, Prime de performance",47000,"Arabic/French Bilingual, Team Leadership, Project Management, Microsoft Office, Report Writing",5,8
Department Director,Gilbert SA SPA,General Management,Senior,2025-04-07,2025-06-05,Mining,Mostaganem,Licence,CDD,15,"Tickets restaurant, Télétravail partiel, Assurance maladie",52000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Project Management, Team Leadership",3,10
Operations Manager,Philippe Dias SARL EURL,General Management,Chief,2025-04-23,2025-06-21,E-Commerce,Naama,Bac,CDI,8,"Prime de performance, Crèche d'entreprise, Voiture de fonction",97000,"Project Management, Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual",4,15
Operations Manager,Cevital Agro-Industry,General Management,Mid,2025-04-24,2025-06-17,Manufacturing,Adrar,Bac,Stage,9,"Épargne entreprise, Tickets restaurant, Prime de performance",79000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Project Management, Team Leadership",2,9
Facilities Manager,Olivier SPA,Operations,Chief,2025-04-22,2025-06-10,Manufacturing,M'sila,Master,CDD,12,"Voiture de fonction, Prime de performance, Tickets restaurant",91000,"Project Management, Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual",2,7
Administrative Manager,Batimétal,General Management,Mid,2025-04-11,2025-06-21,Mining,Algiers,Doctorat,CDI,9,"Formation continue, Télétravail partiel, Prime de performance",122000,"Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual, Project Management",3,13
Administrative Manager,Gérard S.A.S. SARL,Investment Management,Junior,2025-03-26,2025-05-08,Banking & Finance,Skikda,Ingénieur d'État,Freelance,14,"Assurance maladie, Télétravail partiel, Voiture de fonction",73000,"Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual, Project Management",2,13
Team Leader,Sonatrach,General Management,Mid,2025-04-20,2025-07-19,Public Sector,Tlemcen,Doctorat,Freelance,6,"Crèche d'entreprise, Télétravail partiel, Voiture de fonction",63000,"Team Leadership, Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management",0,5
Project Manager,Mendès EURL,General Management,Senior,2025-03-30,2025-05-07,Manufacturing,Laghouat,Master,CDD,3,"Télétravail partiel, Tickets restaurant, Épargne entreprise",58000,"Microsoft Office, Team Leadership, Project Management, Report Writing, Arabic/French Bilingual",1,9
Facilities Manager,Loiseau et Fils EURL,Operations,Junior,2025-04-13,2025-05-28,Pharmaceuticals,Skikda,Ingénieur d'État,Stage,12,"Télétravail partiel, Prime de performance, Assurance maladie",72000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership",0,12
Project Manager,Sanchez SARL EURL,General Management,Lead,2025-04-13,2025-06-19,Transport & Logistics,Tiaret,Bac,Freelance,12,"Télétravail partiel, Assurance maladie, Tickets restaurant",81000,"Project Management, Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual",1,12
Operations Manager,Gomez SARL,Operations,Mid,2025-04-14,2025-06-13,Fisheries,Tébessa,Licence,Alternance,1,"Tickets restaurant, Télétravail partiel, Assurance maladie",51000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Team Leadership, Project Management",2,5
Production Supervisor,Algérie Télécom,Operations,Senior,2025-04-22,2025-06-25,Tourism & Hospitality,El Oued,Ingénieur d'État,CDD,14,"Prime de performance, Télétravail partiel, Épargne entreprise",63000,"Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership",5,6
Operations Manager,Camus S.A.R.L. SARL,Operations,Junior,2025-04-05,2025-05-25,Tourism & Hospitality,Batna,Bac,Freelance,8,"Crèche d'entreprise, Formation continue, Voiture de fonction",45000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Report Writing, Project Management",2,6
Quality Control Specialist,Leclercq SPA,Refining & Processing,Lead,2025-04-15,2025-05-31,Energy & Petroleum,Naama,Doctorat,Alternance,8,"Épargne entreprise, Voiture de fonction, Formation continue",131000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Project Management, Team Leadership",5,10
Logistics Coordinator,Gilbert SA SPA,Operations,Chief,2025-04-17,2025-06-22,Renewable Energy,Ouargla,Licence,CDI,5,"Formation continue, Épargne entreprise, Télétravail partiel",57000,"Project Management, Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual",1,13
Production Supervisor,Algérie Télécom,Operations,Lead,2025-04-01,2025-05-22,Tourism & Hospitality,Algiers,Ingénieur d'État,Freelance,13,"Crèche d'entreprise, Épargne entreprise, Formation continue",47000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Team Leadership, Project Management",2,11
Production Supervisor,Air Algérie,Operations,Chief,2025-04-14,2025-06-04,Fisheries,Chlef,Licence,Stage,8,"Télétravail partiel, Tickets restaurant, Épargne entreprise",49000,"Arabic/French Bilingual, Team Leadership, Project Management, Report Writing, Microsoft Office",4,15
Administrative Manager,SNVI,General Management,Mid,2025-04-08,2025-06-28,Public Sector,M'sila,Ingénieur d'État,CDD,11,"Formation continue, Voiture de fonction, Assurance maladie",75000,"Team Leadership, Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management",2,5
Operations Manager,Bigot Henry SARL EURL,Medical Equipment Maintenance,Lead,2025-04-09,2025-05-16,Healthcare,Tamanrasset,Doctorat,CDD,11,"Formation continue, Télétravail partiel, Épargne entreprise",68000,"Report Writing, Arabic/French Bilingual, Team Leadership, Project Management, Microsoft Office",2,12
Chemical Engineer,Barbier SPA,Refining & Processing,Lead,2025-04-03,2025-06-05,Energy & Petroleum,Sétif,Master,Stage,3,"Crèche d'entreprise, Épargne entreprise, Prime de performance",84000,"Project Management, Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual",0,10
Project Manager,Air Algérie,Pharmaceutical Development,Lead,2025-04-19,2025-06-11,Healthcare,Aïn Témouchent,Master,Freelance,5,"Télétravail partiel, Prime de performance, Assurance maladie",106000,"Team Leadership, Project Management, Report Writing, Microsoft Office, Arabic/French Bilingual",2,13
Team Leader,Lévêque SARL,General Management,Chief,2025-04-02,2025-06-25,Aerospace & Defense,Timimoun,Master,CDD,9,"Assurance maladie, Prime de performance, Crèche d'entreprise",81000,"Report Writing, Microsoft Office, Team Leadership, Project Management, Arabic/French Bilingual",4,15
General Director,Gautier SARL,Food Processing,Lead,2025-04-14,2025-06-16,Agriculture,Tiaret,Master,Alternance,12,"Crèche d'entreprise, Prime de performance, Tickets restaurant",87000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Team Leadership, Project Management",4,11
Project Manager,Mobilis,General Management,Lead,2025-03-28,2025-06-08,Renewable Energy,Béchar,Licence,Freelance,12,"Formation continue, Voiture de fonction, Tickets restaurant",38000,"Microsoft Office, Arabic/French Bilingual, Report Writing, Project Management, Team Leadership",2,13
Production Supervisor,Garcia EURL,Operations,Mid,2025-04-03,2025-05-26,Public Sector,Timimoun,Master,Alternance,5,"Télétravail partiel, Assurance maladie, Tickets restaurant",138000,"Microsoft Office, Report Writing, Team Leadership, Project Management, Arabic/French Bilingual",3,3
Administrative Manager,Pichon Maury S.A.S. SPA,General Management,Junior,2025-04-19,2025-07-02,Telecommunications,Ouargla,Licence,CDD,10,"Épargne entreprise, Voiture de fonction, Télétravail partiel",74000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing",3,6
Facilities Manager,Lefèvre Couturier S.A.R.L. EURL,Operations,Junior,2025-03-29,2025-05-21,Media & Entertainment,El Tarf,Bac,CDD,10,"Voiture de fonction, Épargne entreprise, Crèche d'entreprise",131000,"Arabic/French Bilingual, Project Management, Microsoft Office, Team Leadership, Report Writing",5,5
General Director,Lucas EURL,Export Operations,Junior,2025-04-02,2025-06-12,Agriculture,Chlef,Bac,Stage,11,"Télétravail partiel, Tickets restaurant, Épargne entreprise",107000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Team Leadership, Project Management",2,15
Supply Chain Manager,Gilbert SA SPA,Operations,Senior,2025-04-12,2025-06-15,Tourism & Hospitality,Skikda,Licence,CDI,14,"Assurance maladie, Crèche d'entreprise, Télétravail partiel",114000,"Project Management, Arabic/French Bilingual, Report Writing, Microsoft Office, Team Leadership",0,11
Facilities Manager,Sonalgaz,Operations,Senior,2025-04-01,2025-06-09,Construction,Biskra,Master,CDI,9,"Épargne entreprise, Assurance maladie, Prime de performance",54000,"Project Management, Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual",3,9
Facilities Manager,Barbier Guillot S.A.R.L. SPA,Operations,Chief,2025-04-02,2025-05-29,Tourism & Hospitality,Ouargla,Doctorat,CDI,12,"Assurance maladie, Formation continue, Voiture de fonction",30000,"Report Writing, Team Leadership, Arabic/French Bilingual, Project Management, Microsoft Office",1,9
Team Leader,Sauvage SARL,General Management,Lead,2025-03-28,2025-05-10,Transport & Logistics,Sétif,Master,CDI,14,"Voiture de fonction, Épargne entreprise, Formation continue",66000,"Report Writing, Project Management, Microsoft Office, Team Leadership, Arabic/French Bilingual",0,3
Geophysicist,Louis SARL,Exploration & Production,Lead,2025-03-30,2025-06-07,Energy & Petroleum,Algiers,Master,Stage,6,"Voiture de fonction, Épargne entreprise, Prime de performance",116000,"Reservoir Simulation, Geological Modeling, HYSYS, Drilling Optimization, Petrel Software, Well Logging, Enhanced Oil Recovery",4,8
Operations Manager,Louis SARL,General Management,Senior,2025-04-10,2025-06-29,Transport & Logistics,Tamanrasset,Ingénieur d'État,CDI,12,"Épargne entreprise, Voiture de fonction, Crèche d'entreprise",35000,"Microsoft Office, Team Leadership, Project Management, Arabic/French Bilingual, Report Writing",1,13
Administrative Manager,Maillard S.A. SPA,General Management,Chief,2025-04-11,2025-06-16,Mining,Oran,Doctorat,CDD,14,"Tickets restaurant, Crèche d'entreprise, Épargne entreprise",71000,"Report Writing, Microsoft Office, Team Leadership, Project Management, Arabic/French Bilingual",3,10
Operations Manager,Cevital Agro-Industry,Irrigation Technology,Lead,2025-04-15,2025-07-07,Agriculture,Blida,Licence,Freelance,4,"Crèche d'entreprise, Formation continue, Épargne entreprise",97000,"Project Management, Microsoft Office, Report Writing, Arabic/French Bilingual, Team Leadership",2,6
Supply Chain Manager,Gomez SARL,Operations,Senior,2025-03-27,2025-05-09,Fisheries,Chlef,Bac,Freelance,7,"Assurance maladie, Tickets restaurant, Crèche d'entreprise",128000,"Microsoft Office, Project Management, Arabic/French Bilingual, Report Writing, Team Leadership",0,8
Administrative Manager,Djezzy,General Management,Chief,2025-04-01,2025-05-23,Public Sector,Béjaïa,Bac,CDD,5,"Formation continue, Voiture de fonction, Télétravail partiel",61000,"Report Writing, Arabic/French Bilingual, Team Leadership, Microsoft Office, Project Management",0,9
General Director,Delmas et Fils EURL,General Management,Senior,2025-03-27,2025-06-22,Pharmaceuticals,Saïda,Master,Stage,13,"Assurance maladie, Prime de performance, Télétravail partiel",115000,"Team Leadership, Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management",0,11
Department Director,Delmas S.A. EURL,General Management,Junior,2025-04-23,2025-07-10,Telecommunications,Algiers,Doctorat,Freelance,12,"Prime de performance, Assurance maladie, Épargne entreprise",79000,"Arabic/French Bilingual, Team Leadership, Report Writing, Project Management, Microsoft Office",1,11
General Director,Delmas S.A. EURL,International Relations,Lead,2025-04-03,2025-06-06,Education,Chlef,Licence,Stage,1,"Voiture de fonction, Prime de performance, Télétravail partiel",123000,"Arabic/French Bilingual, Team Leadership, Microsoft Office, Project Management, Report Writing",2,5
Drilling Engineer,Lucas EURL,Drilling Operations,Chief,2025-03-30,2025-06-23,Energy & Petroleum,M'sila,Master,Stage,10,"Télétravail partiel, Prime de performance, Crèche d'entreprise",104000,"Project Management, Arabic/French Bilingual, Report Writing, Microsoft Office, Team Leadership",2,9
Facilities Manager,Algérie Télécom,Operations,Chief,2025-04-01,2025-05-15,Retail,Tlemcen,Licence,Freelance,7,"Assurance maladie, Prime de performance, Épargne entreprise",111000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",3,7
Production Supervisor,Pereira SARL,Operations,Senior,2025-04-18,2025-05-29,Construction,Annaba,Ingénieur d'État,Alternance,1,"Formation continue, Crèche d'entreprise, Prime de performance",127000,"Report Writing, Team Leadership, Microsoft Office, Project Management, Arabic/French Bilingual",4,6
Operations Manager,Mahe Boyer S.A.R.L. SARL,Operations,Junior,2025-04-15,2025-06-06,Media & Entertainment,Naama,Ingénieur d'État,Stage,13,"Crèche d'entreprise, Formation continue, Prime de performance",143000,"Team Leadership, Report Writing, Arabic/French Bilingual, Project Management, Microsoft Office",4,5
Department Director,Bigot Henry SARL EURL,General Management,Mid,2025-04-10,2025-05-30,Manufacturing,Annaba,Ingénieur d'État,CDI,11,"Crèche d'entreprise, Épargne entreprise, Tickets restaurant",138000,"Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management, Report Writing",0,3
Operations Manager,Cevital Agro-Industry,Operations,Junior,2025-04-04,2025-05-18,Public Sector,Constantine,Doctorat,Stage,4,"Voiture de fonction, Télétravail partiel, Assurance maladie",51000,"Team Leadership, Microsoft Office, Project Management, Arabic/French Bilingual, Report Writing",0,11
General Director,Marchal S.A.S. SPA,General Management,Senior,2025-04-10,2025-06-19,Manufacturing,In Salah,Licence,Alternance,15,"Prime de performance, Épargne entreprise, Assurance maladie",119000,"Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office, Team Leadership",5,14
Team Leader,Pichon Maury S.A.S. SPA,General Management,Mid,2025-04-03,2025-06-24,Aerospace & Defense,Tamanrasset,Bac,CDI,13,"Assurance maladie, Crèche d'entreprise, Épargne entreprise",35000,"Report Writing, Microsoft Office, Project Management, Team Leadership, Arabic/French Bilingual",4,7
Mud Engineer,Olivier SPA,Drilling Operations,Junior,2025-04-24,2025-06-07,Energy & Petroleum,Batna,Bac,Alternance,12,"Épargne entreprise, Formation continue, Voiture de fonction",41000,"Team Leadership, Arabic/French Bilingual, Project Management, Microsoft Office, Report Writing",5,5
Department Director,Barbier SPA,General Management,Lead,2025-04-10,2025-05-22,Telecommunications,Aïn Témouchent,Master,CDD,3,"Formation continue, Crèche d'entreprise, Tickets restaurant",63000,"Report Writing, Arabic/French Bilingual, Team Leadership, Microsoft Office, Project Management",5,11
Operations Manager,Manadjim El Djazaïr,Pediatric Care,Chief,2025-04-17,2025-07-08,Healthcare,Mostaganem,Doctorat,CDI,12,"Voiture de fonction, Tickets restaurant, Assurance maladie",97000,"Team Leadership, Microsoft Office, Report Writing, Arabic/French Bilingual, Project Management",5,13
Production Supervisor,Sonatrach,Operations,Lead,2025-03-27,2025-06-07,Pharmaceuticals,Béjaïa,Doctorat,CDI,1,"Crèche d'entreprise, Assurance maladie, Formation continue",55000,"Team Leadership, Project Management, Microsoft Office, Report Writing, Arabic/French Bilingual",0,5
Supply Chain Manager,Batimétal,Operations,Lead,2025-03-27,2025-05-31,Mining,Algiers,Bac,Stage,14,"Formation continue, Tickets restaurant, Prime de performance",61000,"Microsoft Office, Project Management, Arabic/French Bilingual, Report Writing, Team Leadership",4,8
HSE Manager,Lucas SPA,"HSE (Health, Safety, Environment)",Junior,2025-04-10,2025-06-24,Energy & Petroleum,Aïn Témouchent,Doctorat,Alternance,9,"Tickets restaurant, Assurance maladie, Formation continue",25000,"Microsoft Office, Project Management, Arabic/French Bilingual, Report Writing, Team Leadership",5,9
Department Director,Manadjim El Djazaïr,Islamic Finance,Chief,2025-03-26,2025-05-20,Banking & Finance,Jijel,Bac,CDI,13,"Voiture de fonction, Formation continue, Crèche d'entreprise",89000,"Islamic Banking Products, Takaful Operations, Sukuk Structuring, Murabaha Transactions, Risk Sharing Models, Sharia Compliance",1,3
Operations Manager,Barbier SPA,Operations,Chief,2025-04-10,2025-06-25,Renewable Energy,Tamanrasset,Master,CDI,4,"Crèche d'entreprise, Assurance maladie, Formation continue",43000,"Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management",0,4
Supply Chain Manager,CEVITAL,Operations,Mid,2025-04-02,2025-06-18,Retail,Tiaret,Master,CDI,9,"Assurance maladie, Tickets restaurant, Télétravail partiel",53000,"Project Management, Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing",2,10
Department Director,Schmitt SARL EURL,General Management,Lead,2025-04-22,2025-06-01,Transport & Logistics,Mostaganem,Ingénieur d'État,Stage,8,"Prime de performance, Voiture de fonction, Assurance maladie",137000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Team Leadership, Project Management",2,12
CISO,Seguin et Fils EURL,Cybersecurity,Lead,2025-04-23,2025-07-10,Information Technology,Annaba,Bac,CDI,5,"Prime de performance, Voiture de fonction, Formation continue",38000,"GDPR Compliance, Cryptography, Ethical Hacking, SIEM Tools, Network Security, SOC Operations, Incident Response, Firewall Configuration",0,15
Administrative Manager,Sanchez SARL EURL,General Management,Senior,2025-04-11,2025-06-16,Construction,Tizi Ouzou,Master,CDI,7,"Formation continue, Tickets restaurant, Épargne entreprise",27000,"Arabic/French Bilingual, Team Leadership, Report Writing, Microsoft Office, Project Management",5,3
Project Manager,Manadjim El Djazaïr,General Management,Mid,2025-04-16,2025-06-08,Fisheries,Algiers,Bac,Alternance,1,"Crèche d'entreprise, Télétravail partiel, Voiture de fonction",37000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Team Leadership, Project Management",5,8
Petroleum Engineer,Louis SARL,Exploration & Production,Chief,2025-04-12,2025-06-07,Energy & Petroleum,Algiers,Licence,Stage,1,"Télétravail partiel, Tickets restaurant, Voiture de fonction",86000,"Geological Modeling, HYSYS, Petrel Software, Well Logging, Enhanced Oil Recovery, Reservoir Simulation, Drilling Optimization",0,13
General Director,Naftal,General Management,Chief,2025-03-30,2025-05-25,Telecommunications,Illizi,Master,CDD,6,"Épargne entreprise, Prime de performance, Tickets restaurant",137000,"Report Writing, Arabic/French Bilingual, Project Management, Team Leadership, Microsoft Office",3,9
General Director,Loiseau et Fils EURL,General Management,Junior,2025-04-09,2025-06-25,Aerospace & Defense,Laghouat,Licence,Stage,1,"Voiture de fonction, Crèche d'entreprise, Prime de performance",80000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Report Writing, Project Management",1,5
Administrative Manager,Gomez SARL,Investment Management,Chief,2025-04-09,2025-07-02,Banking & Finance,Biskra,Licence,Stage,9,"Épargne entreprise, Formation continue, Télétravail partiel",49000,"Arabic/French Bilingual, Project Management, Report Writing, Microsoft Office, Team Leadership",4,15
Service Desk Manager,Sonalgaz,IT Support,Mid,2025-04-18,2025-05-27,Information Technology,Laghouat,Licence,CDD,14,"Voiture de fonction, Télétravail partiel, Assurance maladie",63000,"Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership",3,11
Production Supervisor,Olivier SPA,Operations,Senior,2025-04-14,2025-06-15,Mining,Tiaret,Licence,Freelance,8,"Voiture de fonction, Assurance maladie, Crèche d'entreprise",56000,"Arabic/French Bilingual, Team Leadership, Report Writing, Microsoft Office, Project Management",0,3
General Director,Philippe Dias SARL EURL,General Management,Mid,2025-04-05,2025-06-29,Aerospace & Defense,Sétif,Ingénieur d'État,Alternance,13,"Tickets restaurant, Formation continue, Assurance maladie",28000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Team Leadership, Project Management",0,3
Project Manager,Djezzy,General Management,Chief,2025-03-30,2025-06-20,E-Commerce,Laghouat,Doctorat,Stage,12,"Crèche d'entreprise, Voiture de fonction, Prime de performance",131000,"Team Leadership, Arabic/French Bilingual, Project Management, Microsoft Office, Report Writing",5,7
Production Supervisor,Garcia EURL,Operations,Mid,2025-03-28,2025-05-24,E-Commerce,Timimoun,Ingénieur d'État,CDD,15,"Tickets restaurant, Prime de performance, Épargne entreprise",65000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership",4,12
Operations Manager,Sauvage SARL,Retail Banking,Junior,2025-04-20,2025-06-06,Banking & Finance,Tizi Ouzou,Ingénieur d'État,Alternance,6,"Assurance maladie, Prime de performance, Voiture de fonction",30000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Team Leadership, Project Management",3,3
General Director,CNAN,General Management,Mid,2025-04-07,2025-05-31,Media & Entertainment,Laghouat,Doctorat,CDI,4,"Assurance maladie, Crèche d'entreprise, Épargne entreprise",39000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership",4,14
Facilities Manager,Maillard S.A. SPA,Operations,Chief,2025-04-17,2025-06-10,Tourism & Hospitality,Oran,Doctorat,Alternance,12,"Tickets restaurant, Prime de performance, Formation continue",131000,"Report Writing, Microsoft Office, Project Management, Team Leadership, Arabic/French Bilingual",5,5
Facilities Manager,Buisson SPA,Operations,Lead,2025-03-26,2025-06-06,Renewable Energy,Tlemcen,Licence,CDD,9,"Tickets restaurant, Assurance maladie, Télétravail partiel",47000,"Report Writing, Arabic/French Bilingual, Team Leadership, Project Management, Microsoft Office",4,11
Project Manager,Boutin S.A. SARL,International Relations,Junior,2025-04-04,2025-06-27,Education,Tamanrasset,Licence,Stage,9,"Formation continue, Épargne entreprise, Crèche d'entreprise",57000,"Team Leadership, Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management",4,14
Project Manager,Duhamel S.A.R.L. SPA,Research & Development,Mid,2025-03-29,2025-06-14,Education,Tamanrasset,Master,Alternance,8,"Épargne entreprise, Voiture de fonction, Télétravail partiel",105000,"Team Leadership, Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office",3,4
Administrative Manager,Ooredoo Algeria,General Management,Junior,2025-04-05,2025-05-18,Transport & Logistics,Adrar,Ingénieur d'État,CDI,3,"Assurance maladie, Épargne entreprise, Voiture de fonction",53000,"Team Leadership, Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office",2,7
Team Leader,Bigot Henry SARL EURL,Hospital Administration,Senior,2025-04-16,2025-06-16,Healthcare,Jijel,Ingénieur d'État,Alternance,14,"Tickets restaurant, Crèche d'entreprise, Assurance maladie",88000,"Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership, Report Writing",3,7
Project Manager,Lévêque SARL,General Management,Senior,2025-04-16,2025-06-02,E-Commerce,Béjaïa,Licence,Freelance,6,"Formation continue, Assurance maladie, Épargne entreprise",67000,"Team Leadership, Report Writing, Arabic/French Bilingual, Microsoft Office, Project Management",3,8
Facilities Manager,Gilbert SA SPA,Operations,Senior,2025-03-31,2025-05-07,Construction,Naama,Licence,CDD,9,"Télétravail partiel, Formation continue, Tickets restaurant",125000,"Report Writing, Project Management, Microsoft Office, Team Leadership, Arabic/French Bilingual",2,8
Operations Manager,Camus S.A.R.L. SARL,Operations,Chief,2025-04-06,2025-06-04,Pharmaceuticals,Tlemcen,Doctorat,CDI,7,"Voiture de fonction, Assurance maladie, Télétravail partiel",129000,"Project Management, Microsoft Office, Report Writing, Arabic/French Bilingual, Team Leadership",2,11
Department Director,Air Algérie,General Management,Mid,2025-03-29,2025-06-18,Transport & Logistics,Adrar,Doctorat,CDD,15,"Prime de performance, Formation continue, Crèche d'entreprise",67000,"Arabic/French Bilingual, Report Writing, Team Leadership, Microsoft Office, Project Management",2,8
Supply Chain Manager,Sanchez SARL EURL,Operations,Junior,2025-03-27,2025-05-19,Mining,Tiaret,Doctorat,Freelance,1,"Assurance maladie, Télétravail partiel, Prime de performance",83000,"Report Writing, Team Leadership, Project Management, Arabic/French Bilingual, Microsoft Office",1,15
