job_Id,job title,department,date posted,application deadline,valid through,sector,job location,education requirement,edu_value,type of contract,available posts,technical_skills,experience_min_req,experience_max_req,salary
153,Clinical Researcher,Clinical Researcher,2025-03-26,2025-04-18,2025-05-18,Healthcare,Blida,Master,17,Freelance,10,,6,8,80000
154,QA Analyst,Clinical Trials Manager,2025-02-27,2025-03-18,2025-04-17,Pharmaceuticals,Constantine,Doctorat,20,Freelance,2,,8,15,140000
155,Maintenance Engineer,Maintenance Engineer,2025-05-05,2025-05-07,2025-06-06,Manufacturing,Tizi Ouzou,Doctorat,20,Freelance,6,"SCADA, Digital Twin, Python, 3D Printing, Lean Six Sigma",8,10,80000
156,Process Technician,Maintenance Engineer,2025-02-22,2025-03-12,2025-04-11,Manufacturing,Oran,No Formal Education,0,CDD,5,"SCADA, Digital Twin, MES, 3D Printing, CAD Software",0,1,36000
157,DevOps Engineer,Cybersecurity Analyst,2025-02-07,2025-02-25,2025-03-27,Information Technology,Chlef,No Formal Education,0,Freelance,5,"JavaScript, Kubernetes, TypeScript, Debugging, Ruby, R",0,1,71000
158,Curriculum Developer,Teacher,2025-03-04,2025-03-26,2025-04-25,Education,Algiers,Baccalaureate,12,CDD,3,"Academic Research, IB Program, Grant Writing, Flipped Classroom, Career Counseling, Pedagogy",0,2,40000
159,Network Engineer,Network Engineer,2025-03-06,2025-03-26,2025-04-25,Telecommunications,Ghardaïa,Baccalaureate,12,CDD,10,,0,2,74000
160,Site Manager,Project Engineer,2025-04-15,2025-05-11,2025-06-10,Construction,Sétif,Ingénieur d'État,19,Internship,9,,0,1,76000
161,Marine Biologist,Quality Assurance Officer,2025-04-12,2025-05-05,2025-06-04,Fisheries,Bouira,Licence,15,Alternance,9,"Processing Technology, Aquaculture, Export Compliance, Fish Husbandry",0,2,36000
162,Irrigation Specialist,Agronomist,2025-02-22,2025-03-03,2025-04-02,Agriculture,Constantine,No Formal Education,0,CDD,4,"Precision Agriculture, Agroforestry, Aquaponics, Post-Harvest Technology, Regenerative Agriculture",0,1,24000
163,DevOps Engineer,DevOps Engineer,2025-03-07,2025-03-17,2025-04-16,Information Technology,Algiers,Doctorat,20,Freelance,10,"Cybersecurity, UI/UX Design, Machine Learning, C#, Big Data",8,13,150000
164,Tour Guide,Tour Guide,2025-02-12,2025-03-12,2025-04-11,Tourism & Hospitality,Skikda,Doctorat,20,CDD,6,,8,10,60000
165,QA Analyst,Formulation Scientist,2025-04-19,2025-05-15,2025-06-14,Pharmaceuticals,Constantine,Doctorat,20,Alternance,10,,0,1,134000
166,Auditor,Risk Manager,2025-02-12,2025-02-27,2025-03-29,Finance,Oran,Master,17,CDD,6,"Financial Modeling, Blockchain, Python, R, Excel, QuickBooks",6,9,120000
167,Teacher,Teacher,2025-02-12,2025-02-14,2025-03-16,Education,Tiaret,Master,17,Internship,3,"Data-Driven Instruction, Special Education, Standardized Testing, Teacher Training",0,1,55000
168,Video Editor,Sound Designer,2025-04-04,2025-04-27,2025-05-27,Media & Entertainment,Algiers,Licence,15,Freelance,2,"Screenwriting, Cinematography, AI in Media, Social Media Management, Content Strategy, Festival Management",2,3,61000
169,Regulatory Affairs Specialist,QA Analyst,2025-03-27,2025-04-21,2025-05-21,Pharmaceuticals,Constantine,Licence,15,CDI,6,,2,4,112000
170,Logistics Manager,Customs Compliance Officer,2025-02-22,2025-02-24,2025-03-26,Transport & Logistics,Oran,Licence,15,Alternance,8,,0,1,64000
171,Quality Assurance Officer,Quality Assurance Officer,2025-03-28,2025-03-31,2025-04-30,Fisheries,Batna,No Formal Education,0,Alternance,7,"Supply Chain, Community Fisheries, Cold Storage, Marine Safety",0,2,24000
172,Sales Associate,Merchandiser,2025-04-30,2025-05-09,2025-06-08,Retail,Algiers,Baccalaureate,12,CDI,2,"Retail Store Design, Retail Expansion, Merchandising, Retail Media Networks",0,1,36000
173,Urban Planner,Policy Analyst,2025-02-13,2025-03-13,2025-04-12,Public Sector,Tizi Ouzou,Baccalaureate,12,Alternance,10,,0,1,43000
174,VFX Artist,Content Producer,2025-02-13,2025-02-24,2025-03-26,Media & Entertainment,Constantine,Master,17,Freelance,6,"Media Planning, NFTs in Entertainment, Storyboarding, Content Licensing, Cinematography",6,10,80000
175,Mine Engineer,Mine Engineer,2025-03-18,2025-03-23,2025-04-22,Mining,Oran,Licence,15,Alternance,6,,0,2,115000
176,UX/UI Designer,Marketplace Coordinator,2025-05-04,2025-05-31,2025-06-30,E-Commerce,Blida,No Formal Education,0,Internship,5,,0,1,48000
177,Quantity Surveyor,Safety Officer,2025-03-02,2025-03-30,2025-04-29,Construction,Bejaïa,Licence,15,Internship,10,,0,1,66000
178,Financial Analyst,Auditor,2025-04-05,2025-04-06,2025-05-06,Finance,Souk Ahras,Master,17,CDD,9,"Python, Financial Modeling, R, Excel, SQL, Blockchain",6,8,120000
179,Drilling Supervisor,HSE Specialist,2025-04-08,2025-04-11,2025-05-11,Energy & Petroleum,Bouira,Doctorat,20,CDD,8,"HSE Management, Petroleum Accounting, Well Logging, Rotating Equipment, Digital Oilfield",8,11,200000
180,Petroleum Engineer,Reservoir Engineer,2025-03-19,2025-04-16,2025-05-16,Energy & Petroleum,Oran,Ingénieur d'État,19,Alternance,1,"Artificial Lift Systems, Seismic Interpretation, Directional Drilling, Reservoir Engineering, Formation Evaluation, HSE Management",0,2,168000
181,Teacher,Academic Advisor,2025-04-02,2025-04-27,2025-05-27,Education,Sétif,Ingénieur d'État,19,CDI,8,"Literacy Instruction, Bloom's Taxonomy, Classroom Technology, STEM Education, Teacher Training, Maker Education",4,7,59000
182,Site Manager,Safety Officer,2025-03-09,2025-03-21,2025-04-20,Construction,Sétif,Licence,15,Internship,7,,0,1,66000
183,Wind Turbine Engineer,Energy Auditor,2025-02-26,2025-03-13,2025-04-12,Renewable Energy,Oran,Doctorat,20,CDD,5,,8,14,130000
184,Mine Engineer,Environmental Compliance Officer,2025-03-02,2025-03-14,2025-04-13,Mining,Annaba,Master,17,CDI,7,,6,10,160000
185,E-Commerce Manager,UX/UI Designer,2025-03-17,2025-03-23,2025-04-22,E-Commerce,Batna,Baccalaureate,12,CDD,10,,0,1,60000
186,Wind Turbine Engineer,Energy Auditor,2025-04-13,2025-04-27,2025-05-27,Renewable Energy,Algiers,Master,17,Alternance,4,,0,1,116000
187,Marketplace Coordinator,Marketplace Coordinator,2025-03-23,2025-04-07,2025-05-07,E-Commerce,Tébessa,Doctorat,20,Alternance,10,,0,2,97000
188,Registered Nurse,Medical Technologist,2025-04-20,2025-04-23,2025-05-23,Healthcare,Oran,Ingénieur d'État,19,CDI,7,,4,5,77000
189,Procurement Officer,Procurement Officer,2025-02-07,2025-03-01,2025-03-31,Public Sector,Algiers,Ingénieur d'État,19,Internship,2,,0,1,59000
190,Medical Technologist,Clinical Researcher,2025-04-08,2025-05-05,2025-06-04,Healthcare,Saïda,Licence,15,Freelance,7,,2,3,65000
191,Instructional Designer,Curriculum Developer,2025-02-16,2025-02-19,2025-03-21,Education,Oran,Doctorat,20,CDI,2,"AR/VR in Education, Gamification, Literacy Instruction, Faculty Development, Robotics Education, Pedagogy",8,12,60000
192,Drilling Supervisor,Drilling Supervisor,2025-03-31,2025-04-10,2025-05-10,Energy & Petroleum,Bejaïa,Master,17,Internship,10,"Reservoir Engineering, Core Analysis, Production Engineering, Offshore Drilling, Asset Integrity",0,1,177000
193,Digital Services Manager,Procurement Officer,2025-03-28,2025-04-09,2025-05-09,Public Sector,Oran,Licence,15,CDI,3,,2,5,57000
194,Instructional Designer,Instructional Designer,2025-02-19,2025-03-07,2025-04-06,Education,Algiers,Baccalaureate,12,Freelance,6,"Pedagogy, Inquiry-Based Learning, Project-Based Learning, Classroom Management, Gamification",0,2,40000
195,Drilling Supervisor,Reservoir Engineer,2025-05-03,2025-05-06,2025-06-05,Energy & Petroleum,Laghouat,Ingénieur d'État,19,CDI,8,"Completion Design, Workover Operations, Midstream Operations, Energy Transition",4,7,197000
196,Flight Test Engineer,Avionics Engineer,2025-05-03,2025-05-14,2025-06-13,Aerospace & Defense,Laghouat,Licence,15,CDI,7,,2,5,148000
197,Flight Test Engineer,Defense Analyst,2025-03-14,2025-03-27,2025-04-26,Aerospace & Defense,Sétif,Doctorat,20,CDI,2,,8,11,180000
198,Instructional Designer,Curriculum Developer,2025-02-22,2025-03-15,2025-04-14,Education,Tébessa,Licence,15,Freelance,2,"AR/VR in Education, Gamification, Education Advocacy, Flipped Classroom",2,5,50000
199,Environmental Compliance Officer,Geologist,2025-04-28,2025-05-24,2025-06-23,Mining,Constantine,Doctorat,20,CDD,2,,8,13,160000
200,Medical Technologist,Clinical Researcher,2025-04-16,2025-04-30,2025-05-30,Healthcare,Skikda,Licence,15,CDD,9,,2,5,67000
201,Farm Manager,Farm Manager,2025-04-07,2025-05-02,2025-06-01,Agriculture,Béjaïa,Baccalaureate,12,CDI,1,"Regenerative Agriculture, Agricultural Marketing, GIS Applications, Food Processing, Agricultural Data Science",0,1,30000
202,Curriculum Developer,Instructional Designer,2025-02-07,2025-03-05,2025-04-04,Education,Blida,Doctorat,20,Freelance,1,"Literacy Instruction, Python, Educational Technology, Educational Psychology, Special Education, Pedagogy",8,12,60000
203,Clinical Researcher,Health Informatics Specialist,2025-03-08,2025-03-13,2025-04-12,Healthcare,Constantine,Baccalaureate,12,CDD,3,,0,2,54000
204,Systems Engineer,Avionics Engineer,2025-05-03,2025-05-09,2025-06-08,Aerospace & Defense,Constantine,Master,17,Alternance,1,,0,2,165000
205,QA Analyst,Clinical Trials Manager,2025-03-04,2025-03-09,2025-04-08,Pharmaceuticals,Skikda,Licence,15,CDD,6,,2,4,112000
206,Aquaculture Technician,Quality Assurance Officer,2025-05-04,2025-05-09,2025-06-08,Fisheries,Blida,Master,17,Freelance,1,"Fisheries Technology, Fishing Gear, Processing Technology, Market Analysis, Food Safety, Traceability",6,10,50000
207,Curriculum Developer,Instructional Designer,2025-04-20,2025-05-16,2025-06-15,Education,Algiers,Licence,15,CDI,8,"Standardized Testing, Gifted Education, Differentiated Instruction, STEM Education, Inquiry-Based Learning",2,3,49000
208,Quality Assurance Officer,Marine Biologist,2025-02-22,2025-03-07,2025-04-06,Fisheries,Algiers,Ingénieur d'État,19,CDI,9,"Feed Formulation, Marine Conservation, Stock Enhancement, Supply Chain, Ecosystem Management, Fisheries Policy",4,5,48000
209,Reservoir Engineer,Drilling Supervisor,2025-03-06,2025-04-04,2025-05-04,Energy & Petroleum,Annaba,Ingénieur d'État,19,Internship,9,"Refinery Operations, Well Testing, Computational Fluid Dynamics, Pipeline Engineering",0,1,164000
210,Environmental Compliance Officer,Mine Engineer,2025-02-27,2025-03-15,2025-04-14,Mining,Biskra,Baccalaureate,12,Freelance,4,,0,1,92000
211,Solar PV Technician,Energy Auditor,2025-02-26,2025-03-10,2025-04-09,Renewable Energy,Algiers,Master,17,CDI,4,,6,9,130000
212,Billing Specialist,RF Technician,2025-03-28,2025-04-20,2025-05-20,Telecommunications,Algiers,Ingénieur d'État,19,CDD,4,,4,7,118000
213,Wind Turbine Engineer,Energy Auditor,2025-03-03,2025-03-05,2025-04-04,Renewable Energy,Algiers,Licence,15,CDI,9,,2,5,104000
214,Quality Control Inspector,Process Technician,2025-02-15,2025-03-07,2025-04-06,Manufacturing,Souk Ahras,Master,17,CDI,7,"3D Printing, PLC Programming, ERP, Lean Six Sigma, Digital Twin, Python",6,8,80000
215,Procurement Officer,Policy Analyst,2025-04-28,2025-05-11,2025-06-10,Public Sector,Batna,Ingénieur d'État,19,CDD,1,,4,8,70000
216,Mine Engineer,Blasting Technician,2025-02-11,2025-02-11,2025-03-13,Mining,Béjaïa,Baccalaureate,12,Alternance,7,,0,2,95000
217,Medical Technologist,Medical Technologist,2025-03-11,2025-03-17,2025-04-16,Healthcare,Constantine,Ingénieur d'État,19,Alternance,2,,0,2,70000
218,Drilling Supervisor,Petroleum Engineer,2025-04-09,2025-04-21,2025-05-21,Energy & Petroleum,Oran,Ingénieur d'État,19,CDD,9,"Petroleum Data Science, Petrophysics, Energy Policy, Production Engineering",4,5,190000
219,Cybersecurity Analyst,Data Scientist,2025-02-22,2025-03-15,2025-04-14,Information Technology,Constantine,Master,17,Alternance,5,"Linux, Data Structures, Mobile Development, Agile Methodologies, Swift",0,2,136000
220,Agri-Tech Developer,Agronomist,2025-04-01,2025-04-21,2025-05-21,Agriculture,Oran,Baccalaureate,12,Internship,10,"Agricultural Marketing, Bioenergy, Fisheries Management, Agricultural Biotechnology, Agronomy",0,1,30000
221,QA Analyst,Formulation Scientist,2025-04-02,2025-04-02,2025-05-02,Pharmaceuticals,Algiers,Doctorat,20,Alternance,7,,0,2,136000
222,Guest Services Manager,Event Coordinator,2025-02-17,2025-02-20,2025-03-22,Tourism & Hospitality,Annaba,No Formal Education,0,CDI,10,,0,1,29000
223,Safety Officer,Quantity Surveyor,2025-05-03,2025-05-10,2025-06-09,Construction,Batna,Master,17,Internship,10,,0,1,81000
224,Blasting Technician,Environmental Compliance Officer,2025-03-31,2025-04-01,2025-05-01,Mining,Oran,Doctorat,20,CDI,4,,8,9,160000
225,Video Editor,VFX Artist,2025-04-29,2025-05-16,2025-06-15,Media & Entertainment,El Oued,Master,17,Alternance,5,"Virtual Production, Metaverse Development, Audio Engineering, Public Relations",0,1,71000
226,Tour Guide,Tour Guide,2025-04-04,2025-04-30,2025-05-30,Tourism & Hospitality,Algiers,Licence,15,CDD,1,,2,4,48000
227,Energy Auditor,Energy Auditor,2025-02-21,2025-03-13,2025-04-12,Renewable Energy,Skikda,Master,17,CDD,10,,6,10,130000
228,Defense Analyst,Defense Analyst,2025-02-19,2025-02-21,2025-03-23,Aerospace & Defense,Blida,Master,17,Internship,8,,0,1,162000
229,Billing Specialist,Telecom Analyst,2025-03-08,2025-03-25,2025-04-24,Telecommunications,Saïda,Doctorat,20,CDI,5,,8,9,120000
230,Sales Associate,Sales Associate,2025-05-05,2025-05-06,2025-06-05,Retail,Annaba,Baccalaureate,12,Alternance,6,"Retail IoT, Retail Expansion, Retail Analytics, RFID Systems",0,1,36000
231,Urban Planner,Urban Planner,2025-05-05,2025-05-22,2025-06-21,Public Sector,Laghouat,Doctorat,20,Freelance,8,,8,12,70000
232,Drilling Supervisor,Reservoir Engineer,2025-02-27,2025-03-11,2025-04-10,Energy & Petroleum,Oran,Master,17,Freelance,10,"Petroleum Economics, Computational Fluid Dynamics, Downstream Operations, Petrophysics, Offshore Drilling, Renewable Integration",6,9,200000
233,Risk Manager,Risk Manager,2025-04-12,2025-04-16,2025-05-16,Finance,Oran,Ingénieur d'État,19,CDD,9,"Risk Analysis Tools, Excel, Python, Financial Modeling, Blockchain, Tableau",4,6,116000
234,Store Manager,Inventory Coordinator,2025-03-13,2025-04-09,2025-05-09,Retail,Oran,Doctorat,20,CDD,1,"Retail Technology, Merchandising, Retail Banking, Pricing Strategy",8,12,60000
235,Tour Guide,Tour Guide,2025-05-03,2025-05-22,2025-06-21,Tourism & Hospitality,Sétif,Licence,15,Freelance,9,,2,3,47000
236,Content Producer,Sound Designer,2025-04-08,2025-04-15,2025-05-15,Media & Entertainment,Blida,Licence,15,Freelance,5,"Cinematography, Color Grading, Audience Analytics, Set Design",2,4,62000
237,Content Producer,Content Producer,2025-05-07,2025-05-18,2025-06-17,Media & Entertainment,Tizi Ouzou,No Formal Education,0,CDI,2,"Motion Graphics, AI in Media, Media Buying, Public Relations, Influencer Marketing",0,1,36000
238,Tour Guide,Hotel Manager,2025-05-01,2025-05-08,2025-06-07,Tourism & Hospitality,Tiaret,Licence,15,CDD,4,,2,5,49000
239,Inventory Coordinator,Sales Associate,2025-04-25,2025-05-03,2025-06-02,Retail,Constantine,Master,17,Alternance,8,"Retail Technology, Retail KPIs, Shopper Marketing, Retail Data Privacy",0,2,55000
240,Quantity Surveyor,Site Manager,2025-05-03,2025-05-23,2025-06-22,Construction,Algiers,Master,17,CDD,6,,6,7,90000
241,Grid Integration Specialist,Grid Integration Specialist,2025-02-09,2025-02-17,2025-03-19,Renewable Energy,Blida,Ingénieur d'État,19,Internship,7,,0,1,108000
242,Content Producer,Content Producer,2025-04-19,2025-05-05,2025-06-04,Media & Entertainment,Sétif,No Formal Education,0,Internship,10,"Entertainment Law, OTT Platforms, Virtual Production, AR/VR Development, Screenwriting",0,1,36000
243,E-Commerce Manager,SEO Specialist,2025-04-23,2025-05-12,2025-06-11,E-Commerce,Oran,Licence,15,Freelance,3,,2,3,78000
244,Marketplace Coordinator,E-Commerce Manager,2025-04-25,2025-05-07,2025-06-06,E-Commerce,Constantine,No Formal Education,0,Freelance,7,,0,1,48000
245,Cybersecurity Analyst,Cybersecurity Analyst,2025-03-04,2025-03-11,2025-04-10,Information Technology,Blida,Doctorat,20,CDI,4,"JavaScript, CI/CD, Python, Frontend Development, TypeScript, PowerShell",8,13,150000
246,Quality Control Inspector,Maintenance Engineer,2025-04-24,2025-04-29,2025-05-29,Manufacturing,Algiers,Doctorat,20,CDD,2,"3D Printing, MES, PLC Programming, CAD Software, Python, Lean Six Sigma",8,11,80000
247,Policy Analyst,Urban Planner,2025-03-16,2025-03-17,2025-04-16,Public Sector,Algiers,Baccalaureate,12,Freelance,3,,0,1,43000
248,Marine Biologist,Fishery Inspector,2025-05-01,2025-05-23,2025-06-22,Fisheries,Blida,No Formal Education,0,Internship,8,"Hatchery Management, Fisheries Extension, Stock Enhancement, Vessel Operations",0,1,24000
249,Billing Specialist,Telecom Analyst,2025-02-28,2025-03-09,2025-04-08,Telecommunications,Constantine,Baccalaureate,12,Alternance,3,,0,2,74000
250,Tour Guide,Event Coordinator,2025-04-27,2025-05-19,2025-06-18,Tourism & Hospitality,Algiers,Doctorat,20,Alternance,7,,0,1,57000
251,Financial Analyst,Risk Manager,2025-03-12,2025-03-26,2025-04-25,Finance,Oran,Master,17,CDD,2,"Python, Power BI, Excel, QuickBooks, Tableau, R",6,10,120000
252,Marketplace Coordinator,E-Commerce Manager,2025-04-27,2025-05-08,2025-06-07,E-Commerce,Algiers,Licence,15,CDI,4,,2,3,78000
253,Blasting Technician,Environmental Compliance Officer,2025-02-28,2025-03-01,2025-03-31,Mining,Jijel,No Formal Education,0,CDD,3,,0,1,72000
254,Telecom Analyst,Billing Specialist,2025-04-12,2025-04-21,2025-05-21,Telecommunications,Mostaganem,Ingénieur d'État,19,Alternance,4,,0,2,102000
255,Hotel Manager,Tour Guide,2025-03-17,2025-04-01,2025-05-01,Tourism & Hospitality,Sétif,No Formal Education,0,Freelance,4,,0,1,29000
256,Flight Test Engineer,Systems Engineer,2025-03-06,2025-03-09,2025-04-08,Aerospace & Defense,Oran,Master,17,Freelance,10,,6,9,180000
257,Telecom Analyst,Billing Specialist,2025-04-23,2025-05-06,2025-06-05,Telecommunications,Khenchela,Baccalaureate,12,CDD,10,,0,1,73000
258,Quality Assurance Officer,Aquaculture Technician,2025-03-13,2025-04-06,2025-05-06,Fisheries,Annaba,Ingénieur d'État,19,Freelance,7,"GIS Applications, Fish Health, Fisheries Biology, Small-Scale Fisheries, Market Analysis, Aquaponics",4,7,49000
259,Geologist,Geologist,2025-03-17,2025-04-12,2025-05-12,Mining,Blida,No Formal Education,0,Freelance,7,,0,1,72000
260,Logistics Manager,Fleet Coordinator,2025-03-11,2025-03-12,2025-04-11,Transport & Logistics,Constantine,Licence,15,Alternance,8,,0,2,65000
261,SEO Specialist,SEO Specialist,2025-02-18,2025-03-02,2025-04-01,E-Commerce,Sétif,No Formal Education,0,Freelance,2,,0,1,48000
262,Grid Integration Specialist,Wind Turbine Engineer,2025-02-24,2025-03-24,2025-04-23,Renewable Energy,Algiers,Doctorat,20,Alternance,9,,0,1,124000
263,Merchandiser,Store Manager,2025-03-04,2025-03-05,2025-04-04,Retail,Algiers,Licence,15,Internship,4,"Last-Mile Delivery, Retail IoT, Pricing Strategy, Consumer Behavior, Retail Analytics, Loyalty Programs",0,1,43000
264,Agri-Tech Developer,Farm Manager,2025-02-17,2025-03-17,2025-04-16,Agriculture,Algiers,Baccalaureate,12,Alternance,5,"Regenerative Agriculture, Climate-Smart Agriculture, Blockchain in Agriculture, Animal Nutrition, Vertical Farming",0,2,30000
265,Marketplace Coordinator,UX/UI Designer,2025-03-21,2025-04-06,2025-05-06,E-Commerce,Algiers,Master,17,Freelance,4,,6,10,100000
266,Project Engineer,Project Engineer,2025-04-18,2025-05-03,2025-06-02,Construction,Biskra,Doctorat,20,Alternance,3,,0,1,86000
267,Formulation Scientist,QA Analyst,2025-03-21,2025-04-19,2025-05-19,Pharmaceuticals,Batna,Licence,15,CDD,2,,2,3,110000
268,Safety Officer,Quantity Surveyor,2025-03-28,2025-04-02,2025-05-02,Construction,Constantine,Ingénieur d'État,19,Internship,8,,0,1,76000
269,Medical Technologist,Registered Nurse,2025-03-16,2025-04-12,2025-05-12,Healthcare,Constantine,Master,17,Alternance,8,,0,1,73000
270,Farm Manager,Agri-Tech Developer,2025-02-25,2025-03-09,2025-04-08,Agriculture,Tébessa,No Formal Education,0,CDD,9,"Agricultural Waste Management, Climate-Smart Agriculture, Agricultural Law, Poultry Science",0,1,24000
271,Defense Analyst,Flight Test Engineer,2025-02-11,2025-03-04,2025-04-03,Aerospace & Defense,Sétif,Doctorat,20,CDD,7,,8,14,180000
272,Systems Engineer,Defense Analyst,2025-02-07,2025-03-04,2025-04-03,Aerospace & Defense,Oran,Master,17,Freelance,3,,6,7,180000
273,RF Technician,RF Technician,2025-05-07,2025-06-02,2025-07-02,Telecommunications,Constantine,Licence,15,CDI,7,,2,5,97000
274,Digital Services Manager,Policy Analyst,2025-04-14,2025-04-23,2025-05-23,Public Sector,Laghouat,Licence,15,CDD,10,,2,4,56000
275,Site Manager,Quantity Surveyor,2025-03-14,2025-04-03,2025-05-03,Construction,Algiers,Baccalaureate,12,CDI,10,,0,2,58000
276,Blasting Technician,Mine Engineer,2025-02-13,2025-03-01,2025-03-31,Mining,Oran,Licence,15,Freelance,6,,2,4,125000
277,Registered Nurse,Registered Nurse,2025-04-08,2025-04-23,2025-05-23,Healthcare,Oran,Master,17,Alternance,5,,0,2,74000
278,Tour Guide,Event Coordinator,2025-04-12,2025-04-18,2025-05-18,Tourism & Hospitality,Annaba,No Formal Education,0,CDI,1,,0,1,29000
279,Supply Chain Analyst,Logistics Manager,2025-04-17,2025-05-01,2025-05-31,Transport & Logistics,Annaba,Doctorat,20,Freelance,5,,8,11,90000
280,SEO Specialist,UX/UI Designer,2025-03-28,2025-04-12,2025-05-12,E-Commerce,Constantine,Doctorat,20,Internship,9,,0,1,96000
281,Quantity Surveyor,Site Manager,2025-04-12,2025-05-01,2025-05-31,Construction,Skikda,Ingénieur d'État,19,Alternance,3,,0,1,76000
282,Flight Test Engineer,Systems Engineer,2025-03-10,2025-03-29,2025-04-28,Aerospace & Defense,Sétif,Ingénieur d'État,19,CDI,6,,4,5,172000
283,Agronomist,Agronomist,2025-04-15,2025-04-29,2025-05-29,Agriculture,Algiers,Ingénieur d'État,19,Internship,9,"Livestock Management, Land Use Planning, Agricultural Extension, Commodity Trading",0,1,42000
284,HSE Specialist,Drilling Supervisor,2025-04-01,2025-04-07,2025-05-07,Energy & Petroleum,Bejaïa,Ingénieur d'État,19,CDD,5,"Drilling Engineering, Rotating Equipment, Well Intervention, Process Safety, Production Engineering",4,8,200000
285,Quality Control Inspector,Quality Control Inspector,2025-02-25,2025-03-17,2025-04-16,Manufacturing,Algiers,Licence,15,Alternance,6,"Lean Six Sigma, PLC Programming, ERP, SCADA, Digital Twin",0,1,56000
286,QA Analyst,Regulatory Affairs Specialist,2025-04-12,2025-04-30,2025-05-30,Pharmaceuticals,Medea,Doctorat,20,Freelance,5,,8,14,140000
287,Event Coordinator,Event Coordinator,2025-04-13,2025-04-21,2025-05-21,Tourism & Hospitality,Tizi Ouzou,Baccalaureate,12,Freelance,6,,0,1,36000
288,Supply Chain Analyst,Logistics Manager,2025-04-07,2025-05-04,2025-06-03,Transport & Logistics,El Oued,Doctorat,20,CDI,6,,8,15,90000
289,Wind Turbine Engineer,Wind Turbine Engineer,2025-03-08,2025-03-27,2025-04-26,Renewable Energy,Algiers,Doctorat,20,CDI,10,,8,11,130000
290,Site Manager,Project Engineer,2025-04-01,2025-04-01,2025-05-01,Construction,Constantine,Ingénieur d'État,19,Alternance,5,,0,1,76000
291,Guest Services Manager,Tour Guide,2025-03-08,2025-03-21,2025-04-20,Tourism & Hospitality,Sétif,No Formal Education,0,Freelance,9,,0,1,29000
292,Environmental Compliance Officer,Blasting Technician,2025-02-27,2025-03-19,2025-04-18,Mining,Béjaïa,Ingénieur d'État,19,Internship,7,,0,1,132000
293,Project Engineer,Site Manager,2025-04-24,2025-05-22,2025-06-21,Construction,Algiers,Doctorat,20,CDI,3,,8,10,90000
294,Data Scientist,Cybersecurity Analyst,2025-04-06,2025-04-21,2025-05-21,Information Technology,Algiers,Master,17,Internship,4,"Database Design, Python, Linux, Java, Ruby, Object-Oriented Programming",0,1,134000
295,Content Producer,Sound Designer,2025-03-24,2025-04-14,2025-05-14,Media & Entertainment,Ghardaïa,Master,17,CDI,9,"DJing, Storyboarding, Stunt Coordination, Public Relations, Motion Graphics",6,8,80000
296,Maintenance Engineer,Quality Control Inspector,2025-03-21,2025-03-31,2025-04-30,Manufacturing,Algiers,Doctorat,20,Alternance,5,"ERP, Robotics, Python, MES, PLC Programming",0,1,76000
297,Content Producer,Video Editor,2025-03-28,2025-04-19,2025-05-19,Media & Entertainment,Batna,Licence,15,CDD,10,"Film Financing, Public Relations, Broadcast Engineering, Content Strategy, OTT Platforms",2,4,62000
298,Cybersecurity Analyst,Data Scientist,2025-04-25,2025-05-03,2025-06-02,Information Technology,Algiers,Licence,15,CDI,3,"Agile Methodologies, DevOps, C#, Java",2,4,118000
299,Teacher,Curriculum Developer,2025-04-11,2025-04-15,2025-05-15,Education,Ghardaïa,Master,17,Internship,5,"Python, Grant Writing, ESL Instruction, Gifted Education, Differentiated Instruction",0,1,55000
300,Network Engineer,Network Engineer,2025-03-06,2025-03-31,2025-04-30,Telecommunications,Sétif,Master,17,Alternance,5,,0,2,110000
301,Auditor,Financial Analyst,2025-04-12,2025-04-28,2025-05-28,Finance,Algiers,Baccalaureate,12,CDI,7,"SQL, QuickBooks, Tableau, Financial Modeling, Risk Analysis Tools, Power BI",0,2,74000
302,Hotel Manager,Hotel Manager,2025-02-16,2025-02-27,2025-03-29,Tourism & Hospitality,Oran,Master,17,CDD,7,,6,7,60000
303,UX/UI Designer,UX/UI Designer,2025-04-13,2025-04-28,2025-05-28,E-Commerce,Bejaïa,No Formal Education,0,Freelance,5,,0,1,48000
304,Curriculum Developer,Instructional Designer,2025-02-28,2025-03-09,2025-04-08,Education,Annaba,Doctorat,20,CDI,8,"Educational Technology, 3D Printing, Gifted Education, Andragogy, AR/VR in Education, School Administration",8,9,60000
305,Agri-Tech Developer,Agri-Tech Developer,2025-02-21,2025-02-22,2025-03-24,Agriculture,Mostaganem,Ingénieur d'État,19,CDI,9,"Drone Technology, Poultry Science, Supply Chain, Animal Nutrition, Livestock Management, Regenerative Agriculture",4,8,50000
306,Quality Control Inspector,Quality Control Inspector,2025-02-11,2025-02-22,2025-03-24,Manufacturing,Algiers,Ingénieur d'État,19,CDD,5,"CAD Software, Digital Twin, ERP, Lean Six Sigma, Robotics, Python",4,7,79000
307,Energy Auditor,Grid Integration Specialist,2025-03-25,2025-04-23,2025-05-23,Renewable Energy,Medea,Licence,15,CDI,6,,2,5,104000
308,Safety Officer,Site Manager,2025-04-30,2025-05-03,2025-06-02,Construction,Tipaza,Master,17,CDI,4,,6,8,90000
