job title,hiring organization,department,seniority level,date posted,application deadline,valid through,sector,job location,experience required,education requirement,education_years,type of contract,available posts,description,benefits,predicted_salary_dzd,inferred_skills
Accountant,TechSphere,Sales,Chief,12 May 2024,2024-05-23,2024-05-23,Marketing,Télétravail,4-14 ans,Doctorat,20,CDI,3,"As Chief Accountant, you'll design strategic projects. Contrat: CDI. Localisation: Télétravail. Département: Sales. En tant que Chief Accountant, vous serez amené à développer l’équipe.",,À négocier,"Risk Management, SAP, Audit, Budgeting"
QA Engineer,EcoCorp,HR,Chief,04/08/2024,25 September 2024,2024-09-25,Santé,Hybride,9-13 ans,Bac,12,Volontariat,3,"As Chief QA Engineer, you'll manage critical projects. Contrat: Volontariat. Localisation: Hybride. Département: HR. En tant que Chief QA Engineer, vous serez amené à gérer les systèmes.","Participation bénéfices, Télétravail partiel, Ticket Restaurant",266740-418398 DZD,"Network Security, Docker, Java, C++, Cloud Computing, SQL"
Exec. Assistant,FinServe,Engineering,Lead,"Jun 05, 2024",25/06/2024,2024-06-25,Ingénierie,Sétif,9-9 ans,Bac,12,CDD,3,"Profil recherché (EN):
Responsabilités:
- Graphic Design
- Customer Service
Profil:
- Cloud
- Strategic Planning
Compétences:
- Logistics
- CAD
- Digital Marketing
- Maintenance
Avantages: Excel; Blockchain
",,À négocier,"Office Management, Scheduling, Document Control, Data Entry, Customer Service"
Graphic Designer,EduPrime,Operations,Chief,2024-07-02,06/09/2024,2024-09-06,RH,Saïda,0-6 ans,Bac,12,CDD,2,"En tant que Chief Graphic Designer, vous serez amené à coordonner les relations clients. Contrat: CDD. Localisation: Saïda. Département: Operations. Expérience requise: 0-6 ans. Éducation: Bac, 12 ans.","Participation bénéfices, Voiture de fonction, Formation continue",618871 DZD,"Adobe Photoshop, Illustrator, Color Theory, Typography, Figma, UX Research"
PR Officer,Global Solutions,Engineering,Senior,2024-07-08,2024-07-15,2024-07-15,Admin,Béjaïa,8-14 ans,Doctorat,20,CDI,3,"Profil recherché (FR):
Responsabilités: Teamwork, Project Mgmt
Profil:
- CAD
- Negotiation
- Excel
Compétences: UX/UI, Data Analysis, Strategic Planning, Compliance
Avantages: CAD, Budgeting, Organization, Negotiation
",Ticket Restaurant,329364-583585 DZD,"Problem Solving, Communication, Teamwork, Adaptability, Critical Thinking"
Bioengineer,EduPrime,Legal,Lead,2024-06-18,30/08/2024,2024-08-30,Informatique,Sétif,3-3 ans,Licence,16,Temps partiel,1,"Expérience requise: 3-3 ans. Éducation: Licence, 16 ans. As Lead Bioengineer, you'll design innovative projects. Contrat: Temps partiel. Localisation: Sétif. Département: Legal.",Participation bénéfices,À négocier,"SQL, Cloud Computing, Python, Network Security, Kubernetes"
PR Officer,NextGen Robotics,Legal,Senior,27/08/2024,2024-09-28,2024-09-28,Ventes,Tlemcen,3-11 ans,Doctorat,20,CDD,1,"Profil recherché (EN):
Responsabilités: Technical Writing; Organization; Data Analysis; Communication
Profil: Negotiation; Python; Cloud; Leadership
Compétences: Data Analysis; SQL
Avantages: Communication, Logistics, CAD, Python
","Télétravail partiel, Assurance santé",730560 DZD,"Problem Solving, Communication, Teamwork, Critical Thinking, Adaptability"
CMO,MediHealth,Marketing,Lead,27 February 2025,2025-04-20,2025-04-20,Juridique,El Oued,5-8 ans,Doctorat,20,CDI,5,"Contrat: CDI. Localisation: El Oued. Département: Marketing. Expérience requise: 5-8 ans. Éducation: Doctorat, 20 ans. En tant que Lead CMO, vous serez amené à gérer les systèmes.",,961216 DZD,"Time Management, Teamwork, Problem Solving, Communication, Adaptability, Critical Thinking"
Pharmacist,HealthPlus,Finance,Chief,13/09/2024,20/10/2024,2024-10-20,Informatique,Blida,8-15 ans,Doctorat,20,Temporaire,10,"Contrat: Temporaire. Localisation: Blida. Département: Finance. Expérience requise: 8-15 ans. Éducation: Doctorat, 20 ans. En tant que Chief Pharmacist, vous serez amené à coordonner les systèmes.","Ticket Restaurant, Assurance santé",855835 DZD,"Clinical Trials, Patient Care, HIPAA Compliance, Pharmacovigilance, Medical Terminology"
Video Editor,NextGen Robotics,Finance,Junior,09/08/2024,06 September 2024,2024-09-06,Ingénierie,Blida,8-17 ans,Bac,12,CDD,10,"Contrat: CDD. Localisation: Blida. Département: Finance. En tant que Junior Video Editor, vous serez amené à développer les systèmes. As Junior Video Editor, you'll perform innovative projects.",Prime performance,À négocier,"SQL, Docker, Cloud Computing, Network Security, DevOps, Machine Learning, Java"
Restaurant Manager,BioGenix,Finance,Senior,19/06/2024,2024-09-01,2024-09-01,Ingénierie,Tizi Ouzou,7-12 ans,None,0,Temporaire,1,"Contrat: Temporaire. Localisation: Tizi Ouzou. Département: Finance. As Senior Restaurant Manager, you'll manage critical projects. En tant que Senior Restaurant Manager, vous serez amené à développer les relations clients.",,32% commission,"Process Optimization, Lean Management, Supply Chain Management, Inventory Control"
Civil Engineer,AgriGrow,Finance,Lead,2024-12-26,12 January 2025,2025-01-12,Marketing,Télétravail,8-15 ans,Licence,16,Alternance,2,"Contrat: Alternance. Localisation: Télétravail. Département: Finance. Expérience requise: 8-15 ans. Éducation: Licence, 16 ans. As Lead Civil Engineer, you'll lead critical projects.",,463688 DZD,"Cloud Computing, Docker, Machine Learning, DevOps, Python"
HR Coordinator,CryptoStart,Legal,Mid,2024-12-07,2025-01-11,2025-01-11,Informatique,Hybride,9-16 ans,Licence,16,Temps partiel,1,"Profil recherché (EN):
Responsabilités:
- Research
- Teamwork
- Negotiation
- UX/UI
- Customer Service
Profil:
- Coordination
- Network Security
- Strategic Planning
Compétences: SEO, Customer Service
Avantages: Budgeting; Organization; Logistics; Digital Marketing
",Prime performance,57% commission,"Employee Relations, HRIS, Performance Management, Onboarding, Payroll, Training & Development, Recruitment"
AI Ethics Consultant,AgriGrow,IT,Senior,2025-01-12,25/02/2025,2025-02-25,Marketing,Tizi Ouzou,1-2 ans,Bac,12,CDD,3,"As Senior AI Ethics Consultant, you'll design key projects. Expérience requise: 1-2 ans. Éducation: Bac, 12 ans. Contrat: CDD. Localisation: Tizi Ouzou. Département: IT.",,923376 DZD,"Problem Solving, Adaptability, Time Management, Teamwork, Critical Thinking, Communication"
Digital Marketer,NextGen Robotics,HR,Chief,07 March 2025,05 April 2025,2025-04-05,Finance,Blida,7-8 ans,Licence,16,Temporaire,1,"En tant que Chief Digital Marketer, vous serez amené à développer l’équipe. As Chief Digital Marketer, you'll lead key projects. Contrat: Temporaire. Localisation: Blida. Département: HR.","Ticket Restaurant, Horaires flexibles, Voiture de fonction",747607 DZD,"DevOps, Docker, Java, Python"
CTO,TechSphere,Operations,Junior,2025-03-09,2025-05-19,2025-05-19,Santé,Alger,2-10 ans,Master,18,CDD,5,"As Junior CTO, you'll lead key projects. Contrat: CDD. Localisation: Alger. Département: Operations. Expérience requise: 2-10 ans. Éducation: Master, 18 ans.","Ticket Restaurant, Prime performance",404324 DZD,"Adaptability, Communication, Teamwork, Critical Thinking, Problem Solving"
Marketing Manager,MediHealth,IT,Senior,14/01/2025,16/03/2025,2025-03-16,Ventes,Oran,9-15 ans,Doctorat,20,Temps plein,5,"En tant que Senior Marketing Manager, vous serez amené à développer les systèmes. As Senior Marketing Manager, you'll perform critical projects. Contrat: Temps plein. Localisation: Oran. Département: IT.",,90% commission,"Brand Management, Campaign Planning, Email Marketing, Content Strategy, Google Analytics, Social Media"
CTO,Creative Minds,Sales,Mid,"Oct 23, 2024",25/11/2024,2024-11-25,Finance,Annaba,0-4 ans,Bac,12,Alternance,2,"Profil recherché (MIX):
Responsabilités:
- Data Analysis
- Java
Profil: Digital Marketing, Strategic Planning, Research, CAD
Compétences: Technical Writing; Teamwork; Research; SEO
Avantages: Python, Strategic Planning, Machine Learning, UX/UI
",,606680 DZD,"Critical Thinking, Teamwork, Time Management, Adaptability"
QA Engineer,Innova Group,Engineering,Chief,"Apr 02, 2025",01/06/2025,2025-06-01,Logistique,Béjaïa,7-15 ans,Master,18,Freelance,1,"Expérience requise: 7-15 ans. Éducation: Master, 18 ans. As Chief QA Engineer, you'll manage key projects. Contrat: Freelance. Localisation: Béjaïa. Département: Engineering.","Télétravail partiel, Participation bénéfices, Prime performance",418385-739479 DZD,"Cloud Computing, Docker, Network Security, SQL, Kubernetes"
Legal Advisor,TechSphere,HR,Chief,21/05/2024,17/08/2024,2024-08-17,Logistique,Tlemcen,5-6 ans,Doctorat,20,Freelance,1,"Profil recherché (EN):
Responsabilités:
- Java
- Coordination
Profil:
- SQL
- SEO
- Coordination
- Network Security
- Graphic Design
Compétences:
- CAD
- Organization
- SEO
Avantages: Technical Writing; Java; Strategic Planning; UX/UI
","Formation continue, Horaires flexibles, Voiture de fonction",52% commission,"Negotiation, Contract Drafting, Legal Research, Regulatory Affairs, Litigation Support, Compliance"
Civil Engineer,NextGen Robotics,Finance,Chief,2025-01-21,26/02/2025,2025-02-26,Logistique,Hybride,8-13 ans,Licence,16,Freelance,5,"Profil recherché (EN):
Responsabilités: Budgeting, Coordination
Profil: Logistics; Leadership; UX/UI
Compétences:
- Maintenance
- Strategic Planning
- Compliance
- Negotiation
Avantages: Network Security, Python, Research, Maintenance
","Télétravail partiel, Horaires flexibles, Assurance santé",À négocier,"Kubernetes, Java, Cloud Computing, Network Security, DevOps"
Logistics Coord.,BlueWave,Finance,Lead,29/05/2024,2024-08-18,2024-08-18,Juridique,Ghardaïa,4-10 ans,None,0,CDI,10,"As Lead Logistics Coord., you'll lead strategic projects. En tant que Lead Logistics Coord., vous serez amené à gérer les systèmes. Contrat: CDI. Localisation: Ghardaïa. Département: Finance.",Assurance santé,À négocier,"Logistics, Lean Management, Process Optimization, Quality Control"
CTO,BlueWave,HR,Lead,02/07/2024,2024-09-19,2024-09-19,Ventes,Saïda,0-9 ans,None,0,Freelance,2,"Profil recherché (EN):
Responsabilités:
- UX/UI
- CAD
- Java
- Project Mgmt
Profil:
- UX/UI
- Digital Marketing
- Project Mgmt
Compétences:
- CAD
- Network Security
Avantages: SEO; Technical Writing; Negotiation; Teamwork; CAD
",Ticket Restaurant,760519 DZD,"Problem Solving, Communication, Adaptability, Teamwork, Time Management, Critical Thinking"
IT Intern,TransLogistics,Engineering,Chief,"Apr 18, 2025",2025-06-27,2025-06-27,Ingénierie,Télétravail,3-8 ans,Bac,12,Temps plein,3,"Profil recherché (EN):
Responsabilités: Research, Leadership, Machine Learning, Strategic Planning
Profil: Logistics; SEO; Leadership; UX/UI
Compétences:
- Maintenance
- Data Analysis
- Teamwork
- Research
Avantages:
- Excel
- Strategic Planning
",,29% commission,"DevOps, C++, Network Security, Cloud Computing, Java"
Legal Advisor,BlueWave,Marketing,Mid,"Dec 31, 2024",2025-03-13,2025-03-13,Finance,Annaba,8-16 ans,Bac,12,Temps plein,2,"Profil recherché (MIX):
Responsabilités:
- Compliance
- Leadership
Profil: Strategic Planning, Organization, Customer Service
Compétences:
- Organization
- SQL
- SEO
- Data Analysis
Avantages: Cloud, Negotiation, Blockchain, Graphic Design, Java
","Horaires flexibles, Participation bénéfices, Voiture de fonction",96% commission,"Compliance, Legal Research, Regulatory Affairs, Negotiation, Contract Drafting, Litigation Support"
Graphic Designer,NextGen Robotics,IT,Senior,26 November 2024,2024-12-29,2024-12-29,Finance,Sétif,2-3 ans,Bac,12,CDI,10,"Profil recherché (MIX):
Responsabilités: Technical Writing; Logistics; Communication; Research
Profil: Data Analysis; SEO; Machine Learning; SQL
Compétences:
- Python
- Organization
- Research
- Project Mgmt
Avantages: Digital Marketing; CAD
",,249058-444184 DZD,"Illustrator, Adobe Photoshop, UX Research, Prototyping"
Chem. Engineer,FutureVision,IT,Lead,2025-03-06,09 May 2025,2025-05-09,Juridique,Hybride,8-8 ans,Bac,12,Stage,10,"Profil recherché (EN):
Responsabilités: Python, Budgeting, Compliance, Leadership
Profil: Leadership, Excel, Data Analysis, SQL
Compétences: Data Analysis, Network Security
Avantages: Maintenance, Java, Excel, Cloud, UX/UI
",Participation bénéfices,10% commission,"DevOps, Java, Kubernetes, Docker, Network Security"
Logistics Coord.,AlphaTech,Legal,Mid,04/05/2024,14 July 2024,2024-07-14,Informatique,Constantine,3-5 ans,Master,18,Temps plein,2,"Profil recherché (FR):
Responsabilités: Network Security; Cloud; Leadership
Profil:
- Compliance
- Project Mgmt
- Communication
- Coordination
- Blockchain
Compétences: Python, Coordination, SEO, Compliance
Avantages: Machine Learning; Logistics; Strategic Planning; SEO; Python
","Ticket Restaurant, Assurance santé, Participation bénéfices",À négocier,"Supply Chain Management, Quality Control, Process Optimization, Inventory Control, Lean Management"
AI Ethics Consultant,EduLearn,HR,Chief,2024-08-10,20/09/2024,2024-09-20,Santé,Hybride,3-11 ans,Licence,16,Temps plein,3,"Profil recherché (FR):
Responsabilités: UX/UI; Maintenance; Communication; Java; SEO
Profil: Data Analysis; Teamwork; Python; SQL
Compétences: Negotiation; SQL; Organization; UX/UI; Maintenance
Avantages:
- Negotiation
- CAD
- Project Mgmt
- Maintenance
- SQL
","Ticket Restaurant, Voiture de fonction, Télétravail partiel",À négocier,"Time Management, Adaptability, Critical Thinking, Communication, Problem Solving, Teamwork"
Sales Rep,AeroSpace,Marketing,Chief,09/08/2024,2024-10-06,2024-10-06,Marketing,Télétravail,2-7 ans,Master,18,Temporaire,2,"Profil recherché (FR):
Responsabilités: Research, Negotiation, Communication, Digital Marketing
Profil: Strategic Planning, Leadership
Compétences: Communication, Cloud, Budgeting, SEO
Avantages: Organization, UX/UI
","Voiture de fonction, Télétravail partiel",517918 DZD,"Adaptability, Critical Thinking, Problem Solving, Time Management, Communication"
Bioengineer,Quantum Dynamics,Operations,Lead,10 December 2024,2025-01-25,2025-01-25,RH,Blida,5-9 ans,None,0,CDD,10,"Profil recherché (EN):
Responsabilités:
- Communication
- Graphic Design
- Digital Marketing
Profil: Python, Coordination, CAD, Digital Marketing, Research
Compétences:
- Communication
- Data Analysis
- Java
- Leadership
Avantages: Machine Learning, Teamwork, Blockchain
","Participation bénéfices, Prime performance",69% commission,"Python, Kubernetes, Network Security, SQL"
Financial Analyst,Quantum Dynamics,Operations,Lead,30 May 2024,28 June 2024,2024-06-28,Finance,Télétravail,0-3 ans,Doctorat,20,Alternance,5,"Profil recherché (MIX):
Responsabilités: Network Security, Data Analysis, Teamwork
Profil: Coordination; Project Mgmt; SQL
Compétences:
- Project Mgmt
- Graphic Design
Avantages: Leadership, Cloud, Java
","Assurance santé, Prime performance, Formation continue",À négocier,"Audit, Excel, Financial Analysis, Budgeting, Accounting"
SEO Specialist,FinServe,IT,Chief,24 February 2025,20/03/2025,2025-03-20,Admin,Alger,6-12 ans,Licence,16,Alternance,10,"Profil recherché (MIX):
Responsabilités: Logistics; Customer Service
Profil: Negotiation, Technical Writing, Communication, Graphic Design, Python
Compétences: Maintenance, Leadership
Avantages: Organization, Technical Writing, Maintenance
","Voiture de fonction, Télétravail partiel",296047 DZD,"Google Analytics, SEO, Email Marketing, Social Media, Public Relations, Content Strategy"
Risk Manager,AlphaTech,Engineering,Mid,2024-12-31,03 March 2025,2025-03-03,Ingénierie,Ghardaïa,10-11 ans,Master,18,CDI,5,"Contrat: CDI. Localisation: Ghardaïa. Département: Engineering. En tant que Mid Risk Manager, vous serez amené à gérer les processus. Expérience requise: 10-11 ans. Éducation: Master, 18 ans.",Formation continue,13% commission,"Inventory Control, Supply Chain Management, Quality Control, Logistics, Lean Management, Process Optimization"
Security Officer,MarketMinds,Finance,Lead,2024-11-11,14 December 2024,2024-12-14,Finance,El Oued,10-20 ans,Licence,16,Freelance,3,"Contrat: Freelance. Localisation: El Oued. Département: Finance. As Lead Security Officer, you'll lead key projects. En tant que Lead Security Officer, vous serez amené à développer les systèmes.","Prime performance, Horaires flexibles, Assurance santé",À négocier,"Cloud Computing, C++, SQL, Machine Learning, Java"
Supply Chain Analyst,LogiTech,Marketing,Senior,15/12/2024,16 January 2025,2025-01-16,Informatique,Constantine,7-16 ans,None,0,Temporaire,5,"Profil recherché (FR):
Responsabilités:
- Research
- Excel
- Strategic Planning
- Logistics
Profil: Python, Network Security, Organization, Blockchain
Compétences: Strategic Planning, Java, Python, SEO
Avantages: Blockchain, Strategic Planning, Logistics, Research, Data Analysis
",,À négocier,"Excel, Accounting, Forecasting, Budgeting, SAP, Audit, Financial Analysis"
Data Engineer,LogiTech,Finance,Mid,07 March 2025,01/05/2025,2025-05-01,RH,El Oued,10-14 ans,None,0,Alternance,3,"Contrat: Alternance. Localisation: El Oued. Département: Finance. As Mid Data Engineer, you'll lead critical projects. En tant que Mid Data Engineer, vous serez amené à coordonner les processus.","Télétravail partiel, Prime performance",12% commission,"DevOps, Kubernetes, Network Security, C++, SQL, Java"
Exec. Assistant,MediHealth,Sales,Senior,06/06/2024,2024-07-02,2024-07-02,Admin,Sétif,6-13 ans,None,0,Stage,2,"Profil recherché (EN):
Responsabilités: Maintenance; Java; SEO; Organization
Profil:
- Graphic Design
- Maintenance
- Machine Learning
Compétences:
- Network Security
- UX/UI
- Cloud
- Java
- Project Mgmt
Avantages: Leadership; SEO; Machine Learning
",,344648-612818 DZD,"Document Control, Customer Service, Scheduling, Office Management, Data Entry"
Pharmacist,Innova Group,Engineering,Junior,08 February 2025,01 March 2025,2025-03-01,Marketing,Annaba,8-17 ans,Doctorat,20,Volontariat,5,"Expérience requise: 8-17 ans. Éducation: Doctorat, 20 ans. As Junior Pharmacist, you'll manage key projects. Contrat: Volontariat. Localisation: Annaba. Département: Engineering.","Voiture de fonction, Ticket Restaurant, Horaires flexibles",347180-795659 DZD,"HIPAA Compliance, Clinical Trials, Medical Terminology, Pharmacovigilance"
Project Manager,MediHealth,Finance,Lead,"Jun 03, 2024",2024-08-15,2024-08-15,Ventes,Blida,8-13 ans,Master,18,Freelance,1,"En tant que Lead Project Manager, vous serez amené à coordonner les relations clients. Expérience requise: 8-13 ans. Éducation: Master, 18 ans. As Lead Project Manager, you'll design key projects.","Formation continue, Ticket Restaurant",478366-776542 DZD,"Quality Control, Logistics, Lean Management, Inventory Control, Process Optimization, Supply Chain Management"
Fashion Designer,GreenEnergy,Engineering,Lead,16/09/2024,02 December 2024,2024-12-02,Finance,Ghardaïa,3-9 ans,Doctorat,20,Stage,10,"Profil recherché (EN):
Responsabilités:
- Data Analysis
- Cloud
- Machine Learning
- Logistics
Profil: Graphic Design; Excel; Technical Writing; Data Analysis
Compétences:
- Customer Service
- Research
- Coordination
- Teamwork
- Negotiation
Avantages: Maintenance, Leadership, Organization, Strategic Planning, Budgeting
","Prime performance, Horaires flexibles, Voiture de fonction",429320-832849 DZD,"Figma, Illustrator, Color Theory, UX Research, Adobe Photoshop, Sketch, Typography"
Content Writer,Innova Group,Marketing,Chief,"Feb 23, 2025",18 March 2025,2025-03-18,Santé,Alger,10-10 ans,Doctorat,20,Stage,3,"Profil recherché (MIX):
Responsabilités: UX/UI, SEO
Profil:
- Communication
- Excel
Compétences: Cloud, Logistics, Project Mgmt, Blockchain, Customer Service
Avantages: Cloud; Excel; Compliance
","Participation bénéfices, Assurance santé",53% commission,"Machine Learning, Network Security, Kubernetes, Docker, Python, Cloud Computing, DevOps"
Cloud Architect,FutureVision,Engineering,Mid,04 March 2025,28/03/2025,2025-03-28,Ingénierie,Tlemcen,0-8 ans,None,0,CDD,5,"En tant que Mid Cloud Architect, vous serez amené à développer les systèmes. As Mid Cloud Architect, you'll perform key projects. Expérience requise: 0-8 ans. Éducation: None, 0 ans.","Horaires flexibles, Ticket Restaurant, Formation continue",73% commission,"Docker, Kubernetes, Java, Network Security"
Accountant,GreenEnergy,Finance,Mid,20 May 2024,2024-07-06,2024-07-06,Logistique,Hybride,4-12 ans,Licence,16,Temps plein,5,"Expérience requise: 4-12 ans. Éducation: Licence, 16 ans. Contrat: Temps plein. Localisation: Hybride. Département: Finance. As Mid Accountant, you'll manage strategic projects.",,À négocier,"Excel, Audit, Investment Strategies, Budgeting, Risk Management, Accounting"
Cloud Architect,UrbanDev,Engineering,Lead,"Aug 15, 2024",05/10/2024,2024-10-05,Ventes,Oran,2-6 ans,Master,18,CDI,1,"Expérience requise: 2-6 ans. Éducation: Master, 18 ans. Contrat: CDI. Localisation: Oran. Département: Engineering. As Lead Cloud Architect, you'll design critical projects.",,51% commission,"SQL, Network Security, C++, Docker"
Business Analyst,Quantum Dynamics,Sales,Chief,2024-05-03,2024-05-26,2024-05-26,Ventes,El Oued,9-11 ans,Bac,12,CDI,3,"En tant que Chief Business Analyst, vous serez amené à coordonner les systèmes. Expérience requise: 9-11 ans. Éducation: Bac, 12 ans. Contrat: CDI. Localisation: El Oued. Département: Sales.",Participation bénéfices,166187-422772 DZD,"SAP, Accounting, Forecasting, Excel, Investment Strategies"
Financial Analyst,UrbanDev,Operations,Mid,"May 20, 2024",12/08/2024,2024-08-12,Ingénierie,Tizi Ouzou,0-10 ans,None,0,Volontariat,1,"As Mid Financial Analyst, you'll perform strategic projects. Expérience requise: 0-10 ans. Éducation: None, 0 ans. En tant que Mid Financial Analyst, vous serez amené à coordonner l’équipe.",,187396-391352 DZD,"Accounting, Financial Analysis, SAP, Budgeting, Excel, Risk Management"
Business Analyst,AgriGrow,Operations,Lead,2024-07-03,2024-09-15,2024-09-15,RH,Annaba,7-13 ans,Bac,12,Volontariat,2,"Expérience requise: 7-13 ans. Éducation: Bac, 12 ans. Contrat: Volontariat. Localisation: Annaba. Département: Operations. As Lead Business Analyst, you'll perform innovative projects.",,224781-496844 DZD,"Financial Analysis, Accounting, SAP, Investment Strategies, Forecasting, Budgeting, Risk Management"
Fashion Designer,LogiTech,Sales,Mid,23 August 2024,2024-09-27,2024-09-27,Marketing,Hybride,9-16 ans,Master,18,Volontariat,10,"Profil recherché (EN):
Responsabilités: Budgeting; Customer Service; UX/UI; Leadership
Profil: Network Security; Technical Writing
Compétences: Technical Writing, Negotiation, Data Analysis, Python, Network Security
Avantages: Machine Learning; Digital Marketing; Research; Teamwork
",,720359 DZD,"UX Research, Figma, Illustrator, Typography"
Operations Manager,CryptoStart,IT,Junior,01 September 2024,30 October 2024,2024-10-30,Logistique,Ghardaïa,3-12 ans,Doctorat,20,Temps plein,5,"As Junior Operations Manager, you'll perform innovative projects. Contrat: Temps plein. Localisation: Ghardaïa. Département: IT. En tant que Junior Operations Manager, vous serez amené à superviser les relations clients.","Formation continue, Horaires flexibles",66% commission,"Lean Management, Inventory Control, Quality Control, Logistics, Process Optimization, Supply Chain Management"
Investment Banker,AeroSpace,Engineering,Senior,2024-08-20,02/10/2024,2024-10-02,Ventes,Constantine,4-5 ans,Bac,12,Temporaire,1,"Profil recherché (EN):
Responsabilités: Research, Excel, Teamwork, Logistics
Profil: Cloud, Teamwork, Maintenance, Research, Negotiation
Compétences:
- Graphic Design
- Teamwork
- Strategic Planning
Avantages:
- Excel
- Communication
- Python
- Research
",Télétravail partiel,344036 DZD,"Accounting, Budgeting, Forecasting, Investment Strategies, Risk Management, Excel"
Content Writer,AlphaTech,Marketing,Lead,06/11/2024,15 January 2025,2025-01-15,Ingénierie,Télétravail,1-6 ans,Master,18,Volontariat,5,"Profil recherché (FR):
Responsabilités: Digital Marketing, Technical Writing, Communication, Coordination
Profil: Graphic Design; Logistics; Coordination; Strategic Planning
Compétences: Organization, Excel, Digital Marketing, Network Security, Cloud
Avantages: Cloud; Blockchain; Negotiation; Excel; Coordination
",Formation continue,433543-825286 DZD,"Python, Cloud Computing, Kubernetes, C++, DevOps, Docker, Java"
CTO,HealthPlus,IT,Mid,17/03/2025,17 May 2025,2025-05-17,Ingénierie,Béjaïa,0-3 ans,Licence,16,Stage,5,"En tant que Mid CTO, vous serez amené à développer les relations clients. Expérience requise: 0-3 ans. Éducation: Licence, 16 ans. Contrat: Stage. Localisation: Béjaïa. Département: IT.","Voiture de fonction, Télétravail partiel, Participation bénéfices",417975-811448 DZD,"Time Management, Critical Thinking, Problem Solving, Adaptability, Communication, Teamwork"
Financial Analyst,CryptoStart,HR,Lead,25/04/2024,22 May 2024,2024-05-22,Ingénierie,Ghardaïa,0-2 ans,Doctorat,20,Temps partiel,1,"Contrat: Temps partiel. Localisation: Ghardaïa. Département: HR. As Lead Financial Analyst, you'll perform critical projects. Expérience requise: 0-2 ans. Éducation: Doctorat, 20 ans.",Participation bénéfices,3% commission,"Excel, Risk Management, Budgeting, Accounting, Financial Analysis"
Restaurant Manager,NextGen Robotics,IT,Chief,"Aug 20, 2024",13 October 2024,2024-10-13,Logistique,Béjaïa,2-6 ans,Doctorat,20,Volontariat,1,"As Chief Restaurant Manager, you'll perform innovative projects. Contrat: Volontariat. Localisation: Béjaïa. Département: IT. En tant que Chief Restaurant Manager, vous serez amené à développer les relations clients.",Horaires flexibles,45% commission,"Process Optimization, Quality Control, Inventory Control, Logistics, Lean Management"
Marketing Manager,MarketMinds,Marketing,Chief,2024-06-21,23 July 2024,2024-07-23,Santé,Tlemcen,10-12 ans,Master,18,Volontariat,5,"Expérience requise: 10-12 ans. Éducation: Master, 18 ans. Contrat: Volontariat. Localisation: Tlemcen. Département: Marketing. En tant que Chief Marketing Manager, vous serez amené à superviser les relations clients.","Assurance santé, Ticket Restaurant",40% commission,"Social Media, Google Analytics, Email Marketing, Content Strategy"
Product Manager,AgriGrow,Finance,Lead,"Jul 21, 2024",04 October 2024,2024-10-04,RH,Hybride,8-11 ans,Licence,16,CDI,5,"Profil recherché (EN):
Responsabilités:
- Compliance
- Network Security
- Organization
- Strategic Planning
Profil: CAD; Communication; Graphic Design
Compétences: Digital Marketing; Organization; Blockchain; Strategic Planning; Budgeting
Avantages: Technical Writing, Network Security, Excel, Communication
",,À négocier,"Inventory Control, Quality Control, Lean Management, Process Optimization"
Financial Analyst,Innova Group,Finance,Lead,31/10/2024,18/01/2025,2025-01-18,Ventes,Ghardaïa,7-11 ans,None,0,Volontariat,3,"Profil recherché (MIX):
Responsabilités:
- Project Mgmt
- UX/UI
- Coordination
- Leadership
Profil: Network Security; UX/UI; Graphic Design; Python
Compétences: Organization; Customer Service; Machine Learning; Leadership
Avantages: Coordination, Leadership, Machine Learning, Communication, Graphic Design
",,À négocier,"Financial Analysis, Accounting, SAP, Risk Management"
Data Scientist,Innova Group,Engineering,Junior,"May 12, 2024",09 July 2024,2024-07-09,Ventes,El Oued,2-8 ans,Doctorat,20,CDD,10,"Expérience requise: 2-8 ans. Éducation: Doctorat, 20 ans. As Junior Data Scientist, you'll lead critical projects. En tant que Junior Data Scientist, vous serez amené à développer les systèmes.",,À négocier,"SQL, C++, Cloud Computing, Machine Learning"
Business Analyst,AgriGrow,Legal,Lead,16 February 2025,13 March 2025,2025-03-13,Finance,El Oued,3-13 ans,Licence,16,Volontariat,3,"En tant que Lead Business Analyst, vous serez amené à développer les processus. Expérience requise: 3-13 ans. Éducation: Licence, 16 ans. Contrat: Volontariat. Localisation: El Oued. Département: Legal.","Voiture de fonction, Assurance santé",295090-511155 DZD,"Forecasting, SAP, Investment Strategies, Budgeting, Excel, Accounting, Financial Analysis"
DB Admin,FinServe,Finance,Mid,01/09/2024,2024-09-26,2024-09-26,Ingénierie,Tizi Ouzou,9-18 ans,None,0,Alternance,10,"As Mid DB Admin, you'll lead strategic projects. Contrat: Alternance. Localisation: Tizi Ouzou. Département: Finance. Expérience requise: 9-18 ans. Éducation: None, 0 ans.","Voiture de fonction, Formation continue, Assurance santé",232002 DZD,"Office Management, Document Control, Scheduling, Data Entry, Customer Service"
Maintenance Tech,RetailSync,Finance,Chief,"Jun 11, 2024",08 September 2024,2024-09-08,Informatique,Annaba,6-16 ans,Master,18,Stage,3,"Expérience requise: 6-16 ans. Éducation: Master, 18 ans. As Chief Maintenance Tech, you'll perform critical projects. En tant que Chief Maintenance Tech, vous serez amené à développer les systèmes.",,212087 DZD,"Time Management, Communication, Problem Solving, Adaptability"
